sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_gpt2,metric_icl_E_rate_gpt2,metric_icl_C_gpt2,metric_icl_D_gpt2,metric_icl_D_rate_gpt2,metric_icl_E_gpt2_std,metric_icl_E_rate_gpt2_std,metric_icl_C_gpt2_std,metric_icl_D_gpt2_std,metric_icl_D_rate_gpt2_std
test.enc.prompt.txt::01257,Don't you think,1.0,content_diversity,you should check?,you should hear him out?,you've done enough?,it's time to quit?,it's time to try again?,-0.051,0.890,-0.390,-0.716,-0.380,13.150721,0.696442,0.467599,6.149262,0.325656,33.842191,1.635566,0.000000,15.824568,0.764789
test.enc.prompt.txt::01258,You know what,1.0,content_diversity,"I've had enough, I'm, out of here.",I really think I like the bigger one better than the smaller one.,you have some knid of nerve coming here today.,"I think you are really, really dumb.",this is used for? I bet you can't guess.,-0.025,0.951,-0.092,-0.675,-0.204,6.485132,-0.029947,0.385290,2.498657,-0.011538,73.211004,1.755384,0.000000,28.207473,0.676332
test.enc.prompt.txt::01258,You know what,0.0,content_diversity,I'd go for the big one over the small one.,I think the small one isn't as good as the bigger one.,I really think the bigger one is the best of the two.,I would choose the big one over the small one every time.,"I like the bigger one much better than the smaller one,",-0.185,0.782,-0.537,-0.935,-0.584,6.485132,-0.029947,0.385290,2.498657,-0.011538,73.211004,1.755384,0.000000,28.207473,0.676332
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,-0.089,0.885,-0.266,-0.667,-0.282,10.009615,0.389646,0.535426,5.359406,0.208626,22.405236,1.023764,0.000000,11.996341,0.548150
test.enc.prompt.txt::01260,May I ask,1.0,content_diversity,where did you get this number?,how did you find me,how did you get your driving license,how didn't you see him crossing the road,do you like eggs,-0.087,0.888,-0.297,-0.675,-0.250,5.099167,-0.227313,0.549512,2.802055,-0.124912,46.121266,1.798755,0.000000,25.344207,0.988438
test.enc.prompt.txt::01262,How many questions,1.0,content_diversity,can you possibly have?,are on the test?,are on the intake form?,does she have for me?,am I allowed to ask?,-0.033,0.936,-0.317,-0.715,-0.403,15.736703,0.753315,0.406935,6.403808,0.306550,31.062306,1.300394,0.000000,12.640326,0.529175
test.enc.prompt.txt::01264,Maybe you're fed,0.0,content_diversity,payment will be processed quickly,money will show in your bank account by the end of the day,cash will arrive soon,credit will not give you reason for patience,advance will get to you within the hour,-0.035,0.963,-0.321,-0.781,-0.413,9.522794,0.326919,0.529597,5.043243,0.173136,64.590492,1.266383,0.000000,34.206932,0.670673
test.enc.prompt.txt::01265,"Eve, I don't",1.0,content_diversity,think you have the skills for the job.,think you want to make any hasty decisions.,want you to leave.,think you should stay with your husband.,think you should keep using drugs.,-0.084,0.896,-0.323,-0.768,-0.121,7.618112,0.324893,0.498573,3.798189,0.161983,35.455029,0.694054,0.000000,17.676938,0.346037
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,-0.147,0.774,-0.476,-0.934,-0.636,7.618112,0.324893,0.498573,3.798189,0.161983,35.455029,0.694054,0.000000,17.676938,0.346037
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",0.000,1.000,-0.242,-0.670,-0.221,8.964254,0.971090,0.308280,2.763497,0.299367,49.150546,1.876394,0.000000,15.152110,0.578454
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,-0.013,0.974,-0.003,-0.644,-0.158,0.610085,0.015584,0.395800,0.241472,0.006168,73.447281,1.459397,0.000000,29.070441,0.577630
test.enc.prompt.txt::01268,What's wrong with,0.0,content_diversity,"you, has your dog died?","your face, you look so sad, has someone croaked?",your eyes? Are you crying? Did he die?,"You, you lost a relative or something?","you, why so sad? Did something bad happen?",-0.027,0.957,-0.214,-0.709,-0.591,40.830351,1.075259,0.323603,13.212817,0.347957,50.491830,0.747100,0.000000,16.339299,0.241764
test.enc.prompt.txt::01269,Yes! Yes! The,1.0,content_diversity,others said the same thing,boss said we are gonna leave soon,dinner is almost ready,same thing happened to me,light is still on,-0.021,0.958,-0.199,-0.593,-0.237,6.088923,0.136389,0.571257,3.478338,0.077913,39.107750,0.840292,0.000000,22.340561,0.480023
test.enc.prompt.txt::01270,I don't have,0.0,content_diversity,anything to give you.,what you're asking for.,whatever it is you are looking for.,what you need.,anything you want.,-0.046,0.943,-0.344,-0.826,-0.603,11.341816,0.477640,0.579327,6.570621,0.276710,24.069241,0.814698,0.000000,13.943962,0.471976
test.enc.prompt.txt::01272,I think it's,1.0,content_diversity,gonna rain,the best film i've seen,more than complicated,impossible to travel on mars,so ugly sweater,0.000,1.000,-0.085,-0.521,-0.138,2.435950,-0.287256,0.370081,0.901499,-0.106308,37.919822,1.957062,0.000000,14.033408,0.724272
test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,-0.094,0.517,-0.515,-0.766,-0.382,14.582682,1.255465,0.299354,4.365382,0.375828,21.812680,1.300499,0.000000,6.529710,0.389309
test.enc.prompt.txt::01273,Watching television in,0.0,content_diversity,my panties.,my boxers.,my undergarments.,my skivvies.,my briefs.,-0.100,0.320,-0.615,-0.783,-0.448,14.582682,1.255465,0.299354,4.365382,0.375828,21.812680,1.300499,0.000000,6.529710,0.389309
test.enc.prompt.txt::01274,Why not buy,1.0,content_diversity,in bulk,more toilet paper,his product,new book for uni,this fancy phone,0.000,0.800,-0.223,-0.582,-0.153,-1.884009,-0.132613,0.378131,-0.712403,-0.050145,37.231998,1.984632,0.000000,14.078589,0.750452
test.enc.prompt.txt::01274,Why not buy,0.0,content_diversity,new textbook,this book that is for your course,textbook for university,this new book that will help you at uni,textbook for your course at uni,-0.079,0.854,-0.285,-0.917,-0.673,-1.884009,-0.132613,0.378131,-0.712403,-0.050145,37.231998,1.984632,0.000000,14.078589,0.750452
test.enc.prompt.txt::01276,Adam? Don't even,1.0,content_diversity,think about it!,utter his name!,know who that is.,tell me.,want to see him.,0.000,0.800,-0.343,-0.687,-0.407,5.615619,0.337341,0.566046,3.178697,0.190950,14.175044,0.571882,0.000000,8.023722,0.323711
test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,-0.056,0.942,-0.218,-0.668,-0.176,3.881833,0.537130,0.440503,1.709959,0.236607,94.642818,2.095180,0.000000,41.690437,0.922933
test.enc.prompt.txt::01279,It didn't used,1.0,content_diversity,to be that way,work before so i see why,to go out all of the time,get so cold this time of the year,"begin that way, it kinda happened",-0.022,0.954,-0.022,-0.672,-0.288,7.429450,0.446403,0.353012,2.622686,0.157586,56.354585,1.469475,0.000000,19.893857,0.518743
test.enc.prompt.txt::01279,It didn't used,0.0,content_diversity,why is it already getting col,it got cold faster than usual,its pretty cold out so sonn,its really cool already,i cant believe how cold it is already,-0.036,0.947,-0.083,-0.754,-0.339,7.429450,0.446403,0.353012,2.622686,0.157586,56.354585,1.469475,0.000000,19.893857,0.518743
test.enc.prompt.txt::01280,He has a,1.0,content_diversity,medical issue.,wife at home.,huge problem with me.,girlfriend already.,mental problem.,-0.007,0.785,-0.442,-0.656,-0.157,11.711104,0.646892,0.550829,6.450813,0.356327,22.884890,1.304395,0.000000,12.605655,0.718498
test.enc.prompt.txt::01281,The guy with,0.0,content_diversity,the playful german shepherd,the hyperactive large canine,the frisbee playing golden retriever,that really happy great pyrennees,a smiling poodle that is light on it's feet,-0.017,0.978,-0.152,-0.566,-0.257,16.340702,0.672291,0.290285,4.743453,0.195156,91.648603,2.398311,0.000000,26.604171,0.696193
test.enc.prompt.txt::01282,"Yep. You know,",1.0,content_diversity,they always act like that,I feel the same way,the beach is relaxing,having a job is a good thing,this pandemic has been bizarre,-0.008,0.977,-0.143,-0.575,-0.238,-12.948381,-0.261621,0.477923,-6.188325,-0.125035,64.926743,1.817626,0.000000,31.029962,0.868685
test.enc.prompt.txt::01282,"Yep. You know,",0.0,content_diversity,this virus has not followed norms in any way at all,there are just no models to predict how this epidemic will be,the things everyone is doing for this illness are just stranger than strange,I have never seen anything like covid-19,everything that has been happening with the pandemic has us in a new normal society,-0.016,0.969,-0.057,-0.638,-0.355,-12.948381,-0.261621,0.477923,-6.188325,-0.125035,64.926743,1.817626,0.000000,31.029962,0.868685
test.enc.prompt.txt::01283,Then just help,1.0,content_diversity,me instead,everyone please,if you can,as best as you can,all of the kids only,-0.016,0.948,-0.136,-0.623,-0.370,-6.975751,-0.244615,0.542082,-3.781426,-0.132601,43.870617,1.858883,0.000000,23.781456,1.007666
test.enc.prompt.txt::01284,I thought I,1.0,content_diversity,knew you i guess not,could trust you,called you this morning,told you about it,confirmed everything,-0.031,0.967,-0.068,-0.661,-0.364,3.903270,0.208256,0.531104,2.073042,0.110606,52.049609,2.572952,0.000000,27.643754,1.366505
test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,-0.019,0.960,-0.241,-0.593,-0.194,9.135583,0.001116,0.452432,4.133228,0.000505,38.626642,1.805215,0.000000,17.475917,0.816736
test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,0.000,1.000,-0.034,-0.548,-0.180,1.134371,0.000077,0.542087,0.614928,0.000042,29.885801,1.866968,0.000000,16.200716,1.012060
test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,-0.042,0.750,-0.272,-0.717,-0.552,4.763592,0.235113,0.561296,2.673784,0.131968,27.154693,1.165348,0.000000,15.241814,0.654105
test.enc.prompt.txt::01287,No. I admire,0.0,content_diversity,the things you do are cool,"everything you do, its unique",how come everything you do is awesome?,very cool things that you do,everything you do seems cool,-0.122,0.865,-0.383,-0.870,-0.705,4.763592,0.235113,0.561296,2.673784,0.131968,27.154693,1.165348,0.000000,15.241814,0.654105
test.enc.prompt.txt::01289,"Adam...dumb question, but",1.0,content_diversity,do you like me as a friend,do you think we could be together,do you believe in ghosts,do you think trump should resign,do you believe in karma,-0.161,0.827,-0.349,-0.699,-0.270,6.182107,0.169053,0.547132,3.382428,0.092495,39.629272,1.087003,0.000000,21.682440,0.594734
test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,-0.416,0.579,-0.770,-0.973,-0.816,6.182107,0.169053,0.547132,3.382428,0.092495,39.629272,1.087003,0.000000,21.682440,0.594734
test.enc.prompt.txt::01292,We can make,1.0,content_diversity,the project work.,dinner together.,our kids happy.,everything better.,our love last.,-0.007,0.585,-0.417,-0.676,-0.245,4.099806,0.205372,0.366926,1.504325,0.075356,36.779153,2.678666,0.000000,13.495224,0.982872
test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,-0.018,0.760,-0.435,-0.791,-0.507,4.099806,0.205372,0.366926,1.504325,0.075356,36.779153,2.678666,0.000000,13.495224,0.982872
test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,-0.054,0.941,-0.612,-0.821,-0.641,23.176675,1.542144,0.322245,7.468579,0.496949,27.867949,1.945873,0.000000,8.980320,0.627049
test.enc.prompt.txt::01296,This is great,0.0,content_diversity,"film, so enjoyable","movie, i enjoyed watching it","movie, everyone should give it a try","movie, i really liked it","film, i think it is worth watching",-0.055,0.924,-0.423,-0.958,-0.646,19.144835,0.656424,0.488134,9.345240,0.320423,25.288531,1.068747,0.000000,12.344185,0.521691
test.enc.prompt.txt::01297,You have very,1.0,content_diversity,pretty eyes,longing smile,soft hands,well got to be kidding me,tall friends,0.000,1.000,-0.131,-0.607,-0.295,6.020032,0.417560,0.476435,2.868155,0.198940,42.550873,1.211088,0.000000,20.272735,0.577005
test.enc.prompt.txt::01297,You have very,0.0,content_diversity,your friends are really tall,they are really tall,"everyone you know, are so tall",how come your friends are so tall,they are very tall,-0.150,0.796,-0.505,-0.955,-0.696,6.020032,0.417560,0.476435,2.868155,0.198940,42.550873,1.211088,0.000000,20.272735,0.577005
test.enc.prompt.txt::01298,I've got goose-bumps,1.0,content_diversity,just thinking about it,from this weather,talking about the past,all over me,from drinking cold water,-0.011,0.778,-0.144,-0.623,-0.242,-0.514910,0.024050,0.529970,-0.272887,0.012746,26.865481,1.906096,0.000000,14.237898,1.010174
test.enc.prompt.txt::01299,"Oh, yes. It",0.0,content_diversity,hard to stay friends with you,is hard to be your friend,is really hard to be a friend of yours,is impossible to be your friend,is kinda hard to be your pal,-0.200,0.775,-0.544,-0.919,-0.796,22.123663,0.646371,0.419720,9.285752,0.271295,33.346321,1.188401,0.000000,13.996130,0.498796
test.enc.prompt.txt::01301,How old are,1.0,content_diversity,these puppies,your parents,these dirty socks,"people in japan, on average",these tomatoes,-0.026,0.971,-0.270,-0.567,-0.087,9.975061,0.557236,0.457235,4.560944,0.254787,66.477746,1.811653,0.000000,30.395933,0.828351
test.enc.prompt.txt::01302,He seems to,1.0,content_diversity,be sicker than we originally thought.,really like his date.,like driving trucks.,want a dog for his next pet.,hate his job.,-0.020,0.974,-0.302,-0.591,-0.079,18.948401,0.803862,0.385955,7.313234,0.310255,58.940046,0.966728,0.000000,22.748218,0.373114
test.enc.prompt.txt::01303,...and his church,1.0,content_diversity,fought the shooter off quickly,defied the orders on social distancing,became a cult group,snubbed a family that wanted to join,isn't really spiritual it's more a social gathering place,-0.016,0.974,-0.095,-0.551,-0.225,-9.732722,0.158489,0.453822,-4.416920,0.071926,61.947985,0.428168,0.000000,28.113338,0.194312
test.enc.prompt.txt::01303,...and his church,0.0,content_diversity,congregation got together regardless of the rules,refused to comply with the governor's orders,had a large meeting in spite of the virus situation,angrily said they will stay open no matter what,infected a large amount of people due to their actions,-0.026,0.957,-0.227,-0.610,-0.194,-9.732722,0.158489,0.453822,-4.416920,0.071926,61.947985,0.428168,0.000000,28.113338,0.194312
test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",-0.045,0.922,-0.267,-0.657,-0.276,5.654124,0.433344,0.375699,2.124249,0.162807,45.612661,0.771422,0.000000,17.136630,0.289822
test.enc.prompt.txt::01306,"So...you...survived the blast,",1.0,content_diversity,are you ok after that?,that is insane,how does that happen?,wow how did you do that,that is impressive,-0.056,0.930,-0.200,-0.621,-0.385,5.226100,0.265790,0.567636,2.966524,0.150872,13.652895,0.466612,0.000000,7.749879,0.264866
test.enc.prompt.txt::01309,"Hi, honey! Feeling",1.0,content_diversity,frisky?,hungry?,like going out?,happy today?,like doing the taxes today?,-0.011,0.967,-0.391,-0.710,-0.239,1.721720,0.854573,0.415086,0.714662,0.354721,69.552884,2.351594,0.000000,28.870441,0.976114
test.enc.prompt.txt::01309,"Hi, honey! Feeling",0.0,content_diversity,like going to do something?,like going on a date?,like getting out and having fun?,letting me take you out?,stepping out with me?,-0.024,0.958,-0.262,-0.806,-0.390,1.721720,0.854573,0.415086,0.714662,0.354721,69.552884,2.351594,0.000000,28.870441,0.976114
test.enc.prompt.txt::01310,We have to,1.0,content_diversity,think logically,go soon,believe in each other,be more clear next time,call again,0.000,1.000,-0.137,-0.693,-0.278,7.354751,0.393143,0.470594,3.461099,0.185010,33.052342,2.557005,0.000000,15.554219,1.203310
test.enc.prompt.txt::01311,Get the presents,1.0,content_diversity,for our family,and pack them,"into car, we'll deliver them",for my orphans,and put them on the table,-0.025,0.960,-0.194,-0.680,-0.227,18.312683,1.014446,0.389192,7.127156,0.394815,45.513826,1.989267,0.000000,17.713632,0.774208
test.enc.prompt.txt::01311,Get the presents,0.0,content_diversity,for our relatives,for the kids,for my parents,for my grandparents,our siblings,-0.065,0.506,-0.521,-0.748,-0.426,18.312683,1.014446,0.389192,7.127156,0.394815,45.513826,1.989267,0.000000,17.713632,0.774208
test.enc.prompt.txt::01312,"Yes, yes it",0.0,content_diversity,will be sure to put your mind to the test.,is the determining factor of whether you go to the next grade or not!,is an important achievement to accomplish.,is up to you what you do with the knowledge you have acquired.,but I have faith you will perform wonderfully.,-0.042,0.937,-0.190,-0.760,-0.354,8.079104,0.102073,0.503040,4.064115,0.051347,48.065330,0.471600,0.000000,24.178801,0.237234
test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",-0.032,0.961,0.002,-0.634,-0.140,2.692155,0.133655,0.397246,1.069447,0.053094,71.270994,0.786386,0.000000,28.312099,0.312389
test.enc.prompt.txt::01313,We stay down,0.0,content_diversity,"south for a while then head north,",south first and the north.,south for a while then go north.,south for 7 days and then north for another 7.,south to begin with then move north.,-0.124,0.819,-0.384,-0.965,-0.730,2.692155,0.133655,0.397246,1.069447,0.053094,71.270994,0.786386,0.000000,28.312099,0.312389
test.enc.prompt.txt::01315,How long will,0.0,content_diversity,spending time at your mothers be,the doctor appointment last,we spend at the funeral home visitation,you stay over at her house,she sit on my couch today,-0.013,0.979,-0.159,-0.657,-0.297,16.629006,0.337895,0.378447,6.293191,0.127875,33.091081,1.071276,0.000000,12.523207,0.405421
test.enc.prompt.txt::01316,What are you,1.0,content_diversity,thinking about,doing tonight,gonna do about this,having for dinner tonight,calling this now,-0.020,0.760,-0.097,-0.681,-0.312,13.242677,0.647431,0.546543,7.237692,0.353849,31.748782,1.591376,0.000000,17.352074,0.869756
test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,-0.051,0.931,-0.339,-0.790,-0.690,27.474755,1.227121,0.411483,11.305382,0.504939,27.073221,1.072969,0.000000,11.140158,0.441508
test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,-0.015,0.967,-0.168,-0.672,-0.224,8.348984,0.167110,0.497790,4.156041,0.083186,61.405671,2.733305,0.000000,30.567127,1.360612
test.enc.prompt.txt::01320,It means that,0.0,content_diversity,try harder,make an effirt again,be gentle and try another time,try to do it again,maybe have another go again,-0.032,0.955,-0.253,-0.804,-0.573,8.348984,0.167110,0.497790,4.156041,0.083186,61.405671,2.733305,0.000000,30.567127,1.360612
test.enc.prompt.txt::01322,Are you kidding?!,1.0,content_diversity,I can't believe it!,I had no idea.,She said what?,I have to see it!,What?!,-0.018,0.965,-0.132,-0.650,-0.413,10.402478,0.574701,0.506996,5.274016,0.291371,30.981707,1.405947,0.000000,15.707606,0.712810
test.enc.prompt.txt::01322,Are you kidding?!,0.0,content_diversity,Show me!,Let me see!,Let's have a look.,I want to see it.,I must see this.,-0.009,0.978,-0.299,-0.742,-0.673,10.402478,0.574701,0.506996,5.274016,0.291371,30.981707,1.405947,0.000000,15.707606,0.712810
test.enc.prompt.txt::01323,Go to the,1.0,content_diversity,mall and get me some clothes,store and buy me cigarettes,frank's house,gas station and pick me up,post office and get the package for me,-0.045,0.939,-0.171,-0.632,-0.238,19.981344,1.000699,0.396484,7.922292,0.396761,33.695985,0.946220,0.000000,13.359934,0.375162
test.enc.prompt.txt::01324,Or pee in,1.0,content_diversity,the glass,the field,the sea,a restaurant toilet,"there, behind that bush",-0.030,0.769,-0.065,-0.596,-0.156,-9.423577,0.139628,0.386910,-3.646075,0.054023,51.876387,0.686845,0.000000,20.071486,0.265747
test.enc.prompt.txt::01326,And if we,0.0,content_diversity,Take a different route we can save time.,want to save time we can go by the river.,need to get there on time we can take the river route.,"go by the river we will get there faster,",take the river road we will save time.,-0.145,0.804,-0.505,-0.961,-0.648,57.394257,1.248162,0.389446,22.351951,0.486091,22.372973,0.306842,0.000000,8.713060,0.119498
test.enc.prompt.txt::01327,Millions upon millions,1.0,content_diversity,of dollars constantly wasted,and its mine,of money,is great,would be cool,-0.007,0.786,-0.222,-0.574,-0.318,1.678098,0.654874,0.370529,0.621783,0.242650,62.412648,2.032039,0.000000,23.125678,0.752929
