sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_gpt2,metric_icl_E_rate_gpt2,metric_icl_C_gpt2,metric_icl_D_gpt2,metric_icl_D_rate_gpt2,metric_icl_E_gpt2_std,metric_icl_E_rate_gpt2_std,metric_icl_C_gpt2_std,metric_icl_D_gpt2_std,metric_icl_D_rate_gpt2_std
test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,2.611,0.875,-0.054,0.941,-0.612,-0.821,-0.641,23.176675,1.542144,0.322245,7.468579,0.496949,27.867949,1.945873,0.000000,8.980320,0.627049
test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",4.611,0.393,-0.045,0.922,-0.267,-0.657,-0.276,5.654124,0.433344,0.375699,2.124249,0.162807,45.612661,0.771422,0.000000,17.136630,0.289822
test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",4.333,0.527,-0.032,0.961,0.002,-0.634,-0.140,2.692155,0.133655,0.397246,1.069447,0.053094,71.270994,0.786386,0.000000,28.312099,0.312389
test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,1.444,0.369,-0.051,0.931,-0.339,-0.790,-0.690,27.474755,1.227121,0.411483,11.305382,0.504939,27.073221,1.072969,0.000000,11.140158,0.441508
test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,3.889,0.875,-0.015,0.967,-0.168,-0.672,-0.224,8.348984,0.167110,0.497790,4.156041,0.083186,61.405671,2.733305,0.000000,30.567127,1.360612
test.enc.prompt.txt::01331,"To your health,",0.0,content_diversity,you should avoid junk food,you need to avoid burgers,you shouldn't be eating fast food,don't eat junk food,you better avoid processed food,2.167,0.408,-0.070,0.918,-0.569,-0.866,-0.754,11.596084,0.477776,0.524196,6.078622,0.250448,31.607978,0.942732,0.000000,16.568780,0.494177
test.enc.prompt.txt::01332,"Frank, I have",1.0,content_diversity,a question for you,been waiting for you 30 minutes,something to tell you,a juicy gossip to tell you,a practice today so I can't go with you,3.611,0.393,-0.082,0.902,-0.121,-0.726,-0.198,-12.696924,-0.149644,0.512562,-6.507964,-0.076702,97.422540,2.106489,0.000000,49.935116,1.079706
test.enc.prompt.txt::01337,Yes it's me!!!,1.0,content_diversity,i am here,who did it,i am the 1,hello everyone,hi there,3.611,1.021,-0.020,0.749,-0.283,-0.617,-0.437,7.113015,0.641235,0.479528,3.410891,0.307490,23.907464,2.443504,0.000000,11.464304,1.171729
test.enc.prompt.txt::00350,"Yeah, I study",0.0,content_diversity,to get an A,To have the highest score possible,to get good grades,for my exams,for better grade in my exam,2.250,0.433,-0.026,0.954,-0.287,-0.775,-0.412,1.139944,0.362838,0.419551,0.478265,0.152229,48.840805,1.208340,0.000000,20.491228,0.506961
test.enc.prompt.txt::00352,"Mr. President, it's",1.0,content_diversity,raining outside,time to go,not within your jurisdiction,the President of France,wife on the phone,4.389,0.657,-0.005,0.788,-0.144,-0.544,-0.109,4.049998,0.121156,0.615220,2.491640,0.074538,33.222329,0.843169,0.000000,20.439043,0.518734
test.enc.prompt.txt::00354,"Uh, we got",1.0,content_diversity,a ticket from that cop that pulled us over.,suspended from school for our senior day prank.,two tickets for the Superbowl so only we can go.,arrested for drinking in public in San Antonio last weekend.,in trouble for getting bad grades and now we are both grounded.,4.312,0.827,-0.019,0.967,-0.189,-0.630,-0.209,7.849779,0.297886,0.432427,3.394458,0.128814,70.412467,1.014265,0.000000,30.448268,0.438596
test.enc.prompt.txt::00369,Thank you for,1.0,content_diversity,Telling me I have the best smile you have seen all day,Stopping to help that older woman cross the street,Helping to watch the kids while I run errands,taking me out to dinner,all the work you have done for the team.,4.688,0.556,-0.038,0.940,-0.057,-0.586,-0.112,14.114147,0.350097,0.491669,6.939494,0.172132,70.054621,0.793231,0.000000,34.443714,0.390008
test.enc.prompt.txt::00371,With all due,1.0,content_diversity,"respect, no.","respect, you are wrong.","respect, that's a lie.","respect, you are a robot.","respect, that isn't a car.",3.786,0.647,-0.095,0.873,-0.448,-0.897,-0.559,12.723911,0.616212,0.387066,4.924993,0.238515,36.923901,1.148468,0.000000,14.291984,0.444533
test.enc.prompt.txt::00373,It's got to,1.0,content_diversity,"be right, I mean I went over it a hundred times.",the biggest highlight of my career.,be perfect with 100% precision.,the most hilarious thing I've ever seen.,be drilled into your mind that that is the way it's done.,4.389,0.698,-0.014,0.971,-0.145,-0.674,-0.361,-9.246513,0.171857,0.471610,-4.360752,0.081049,91.263006,1.314576,0.000000,43.040590,0.619968
test.enc.prompt.txt::00374,His name's David,1.0,content_diversity,so he must be the one we are looking for,he was named from the Bible,he is named after his father,that must be a family name because it is not a modern name,he is the convict I heard about,4.000,0.624,-0.044,0.932,-0.077,-0.661,-0.286,-1.556011,-0.124398,0.500529,-0.778829,-0.062265,58.873580,1.293887,0.000000,29.467931,0.647628
test.enc.prompt.txt::00376,I've never used,0.0,content_diversity,I get lost a lot but still haven't take the time to figure out the GPS.,I use maps instead of the GPS.,"I sometimes pull up Google maps on my phone, but don't use the GPS.","I have a great sense of direction, so I just drive off and don't try to figure out how to get somewhere.",I need to have my brother show me how to set up the GPS in my car.,2.389,1.074,-0.079,0.901,-0.347,-0.887,-0.299,26.318295,0.446844,0.397637,10.465118,0.177682,86.866101,0.555904,0.000000,34.541141,0.221048
test.enc.prompt.txt::00381,For the best,0.0,content_diversity,i have no choice but to go to gym,i have some new clothes i must try on not with all this fat,well the physiotherapist recommended it,at least the ladies will love my new abs,my self esteem would finally be restored after this,3.778,0.533,-0.015,0.960,-0.115,-0.608,-0.242,18.577979,0.484129,0.411572,7.646185,0.199254,85.758267,0.962412,0.000000,35.295743,0.396102
test.enc.prompt.txt::00388,A couple eggs,1.0,content_diversity,hatched yesterday on the farm.,would make the perfect size omelette.,will be needed for this cake.,were violently thrown at the house.,were colored by the kids for Easter.,4.500,0.527,-0.026,0.967,-0.224,-0.548,-0.155,4.121768,0.204338,0.430218,1.773260,0.087910,45.451025,0.956885,0.000000,19.553860,0.411669
test.enc.prompt.txt::00389,He's carrying a,0.0,content_diversity,bag of enchanted stones out of plain view,bag of unusual trinkets unbeknownst to his peers,bag with high quality items in a secret compartment,bag with sacred jewels hidden,"bag with ideal jewels, stowed away",2.444,0.598,-0.055,0.936,-0.252,-0.877,-0.587,23.085301,0.471841,0.379348,8.757361,0.178992,61.217348,1.340668,0.000000,23.222673,0.508580
test.enc.prompt.txt::00392,"Say, isn't that",0.0,content_diversity,something you've told me a million times.,information which is of no use to me at all.,interesting and absolutely worthless.,about the dumbest thing I've ever heard.,"nice, if it actually had any impact on me whatsoever.",3.333,0.816,-0.007,0.989,-0.124,-0.627,-0.343,-1.899039,0.097616,0.550000,-1.044472,0.053689,63.594294,0.906374,0.000000,34.976888,0.498506
test.enc.prompt.txt::00396,...but after...awhile...you begin,1.0,content_diversity,to get tired of the whole thing,"to get used to it, and it gets easier and easier","to bleed, and you have to go to the hospital",to understand why she did the things she did,to know what your true life's passion is,4.333,0.624,-0.051,0.923,-0.219,-0.678,-0.162,5.820120,0.049687,0.491599,2.861166,0.024426,53.634502,1.262114,0.000000,26.366680,0.620454
test.enc.prompt.txt::00407,"Excuse me, sir.",1.0,content_diversity,You said I was mad.,You wanted to have a good time with me.,You asked me what to do around here.,Please stop staring at me.,I have a weight issues.,4.222,0.533,-0.033,0.943,-0.337,-0.679,-0.188,5.671363,-0.100109,0.475762,2.698217,-0.047628,39.466609,1.955782,0.000000,18.776699,0.930486
test.enc.prompt.txt::00417,She's going to,0.0,content_diversity,makes me cry when i see the faul ball.,take my innerds and make curry of them all.,teach my that crying is for kids.,why i should choose gum as i cry.,Why i don't go to a ball game.,4.111,0.657,-0.018,0.971,-0.180,-0.686,-0.186,32.866132,0.894014,0.269560,8.859385,0.240990,92.213705,1.758543,0.000000,24.857100,0.474032
test.enc.prompt.txt::00426,"First squad up,",0.0,content_diversity,this is going to be a festive time.,this will be enjoyable.,i am very happy about this.,we are excited about this.,I can't wait to make this happen.,2.389,0.614,-0.049,0.945,-0.359,-0.809,-0.642,9.399565,0.459929,0.516131,4.851405,0.237383,30.913743,0.664251,0.000000,15.955535,0.342841
test.enc.prompt.txt::00427,Flame-units only. I,0.0,content_diversity,Smoke extends into the atmosphere.,Crowds gather to watch the spectacle as firemen arrive.,People stand in awe and smoke escapes from the residence.,An ambulance arrives promptly at the scene.,People are dismayed as they hear sirens in the distance.,2.667,0.816,-0.032,0.966,-0.313,-0.721,-0.296,24.540426,0.459936,0.485429,11.912628,0.223266,47.086458,0.477803,0.000000,22.857119,0.231939
test.enc.prompt.txt::00435,You've been doing,0.0,content_diversity,good therapy with the sad family members.,"a sort of Karma building thing, helping people who have dead relatives.","helping behavior, allowing people to work through stages of death.","family therapy, focusing on profound loss.","something to help pastors, add support to those left by dead.",2.778,1.030,-0.014,0.970,-0.268,-0.822,-0.376,16.936746,0.265294,0.386902,6.552855,0.102643,102.936775,1.036790,0.000000,39.826411,0.401136
test.enc.prompt.txt::00437,Looks like you,1.0,content_diversity,did not get the memo!,got up on the wrong side of the bed today,have your work cut out for you with this one,could use a big hug,had a fun weekend,4.750,0.433,-0.010,0.982,0.010,-0.603,-0.157,16.154856,0.205652,0.470489,7.600680,0.096757,43.586526,0.522690,0.000000,20.506975,0.245920
test.enc.prompt.txt::00446,They'd be here,1.0,content_diversity,if they weren't dead.,if they really cared.,again.,if you let them.,tomorrow.,3.889,0.809,-0.027,0.735,-0.432,-0.691,-0.301,10.340691,0.752030,0.515909,5.334854,0.387979,38.622560,1.864022,0.000000,19.925723,0.961665
test.enc.prompt.txt::00792,I want you,1.0,content_diversity,to know,more than anything,LIKE YESTERDAY,to tell me the time,to call me later,3.889,1.197,-0.022,0.963,0.002,-0.652,-0.327,3.140499,0.189815,0.521158,1.636697,0.098923,24.001224,1.091751,0.000000,12.508431,0.568975
test.enc.prompt.txt::00795,May I help,1.0,content_diversity,with that heavy box,you with your homework,his dad? he looks tired,building new house,with food rationing? I could volunteer,4.500,0.667,-0.013,0.982,-0.118,-0.577,-0.138,-5.311722,0.268480,0.391697,-2.080583,0.105163,78.677184,1.630574,0.000000,30.817579,0.638690
test.enc.prompt.txt::00806,Not so much,1.0,content_diversity,lately,"sugar, it is too sweet","time, you should be done sooner","perfume, it doesn't smell good","money, it is too expensive",4.667,0.471,-0.037,0.925,-0.264,-0.670,-0.212,25.615488,0.912927,0.573465,14.689590,0.523532,48.236198,1.515958,0.000000,27.661779,0.869349
test.enc.prompt.txt::00811,The Prospero Project,0.0,content_diversity,isn't good at all,in my honest opinion is worthless,isn't relevant,shouldn't be considered good,is not worth at all,2.214,0.647,-0.030,0.940,-0.238,-0.710,-0.683,13.904114,0.643677,0.439836,6.115527,0.283112,34.088094,1.027851,0.000000,14.993164,0.452085
test.enc.prompt.txt::00824,Privately owned by,1.0,content_diversity,the Gates family.,whoever wants to own it.,them and you cannot trespass.,that old family and rumored to be haunted.,the people that lost their son in the war.,4.389,0.774,-0.020,0.960,-0.206,-0.612,-0.177,9.012983,0.273129,0.386978,3.487826,0.105695,59.778901,1.752909,0.000000,23.133118,0.678337
test.enc.prompt.txt::00825,You're not venturing,0.0,content_diversity,around the forest without me.,into the woods alone without protection.,around the wilds of Alaska without the rest of the team.,"out, into the wilderness, alone.","alone, into a wild area filled with bears.",2.562,0.464,-0.060,0.918,-0.431,-0.810,-0.602,22.627800,0.486073,0.447004,10.114707,0.217276,60.341696,0.796496,0.000000,26.972952,0.356036
test.enc.prompt.txt::00827,I was hoping,1.0,content_diversity,you could take me out for a dinner,i wouldn't have to see him,you could borrow me some money,he has changed,i wouldn't have to do whole project by myself,4.750,0.250,-0.045,0.897,-0.175,-0.630,-0.187,-1.673218,0.291208,0.483677,-0.809297,0.140850,69.630055,0.933983,0.000000,33.678448,0.451746
test.enc.prompt.txt::00827,I was hoping,0.0,content_diversity,you could lend me money,i could borrow money from you,you can give me some money,"you can lend me money, I'll pay you back",you can give me money and I'll pay back,1.833,0.745,-0.133,0.819,-0.558,-0.963,-0.820,-1.673218,0.291208,0.483677,-0.809297,0.140850,69.630055,0.933983,0.000000,33.678448,0.451746
test.enc.prompt.txt::00833,I don't want,0.0,content_diversity,to be with you,go out on a date with you,to date you,have a date with you,to go anywhere with you,1.857,0.515,-0.158,0.788,-0.407,-0.839,-0.548,13.319837,0.894238,0.457275,6.090834,0.408913,24.238201,1.491079,0.000000,11.083533,0.681834
test.enc.prompt.txt::00834,I'm ready to,0.0,content_diversity,let it go when you apologise,forgive when you say sorry,forgive when you apologise to me,let it go once you apologise,let it go if you say sorry first,1.643,0.350,-0.178,0.758,-0.507,-0.906,-0.742,33.674243,1.189955,0.432338,14.558648,0.514463,36.737258,1.061436,0.000000,15.882905,0.458899
test.enc.prompt.txt::00841,"Cole, we've got",1.0,content_diversity,a big problem.,lots of money on hand.,a ton of vacation time to take.,to fire him.,the crown jewels.,4.857,0.226,-0.012,0.971,-0.262,-0.622,-0.210,16.592855,0.467043,0.395288,6.558957,0.184617,42.672717,1.556670,0.000000,16.868014,0.615333
test.enc.prompt.txt::00857,Screw you... Screw,0.0,content_diversity,screw all of the existence of everything i guess,you and everyone else can go away,"screw me, i did it again","you, you'r a screw up","i cant , so screw you",3.375,1.083,-0.030,0.958,-0.012,-0.768,-0.391,0.229468,-0.024098,0.334316,0.076715,-0.008056,44.932796,2.107044,0.000000,15.021771,0.704419
test.enc.prompt.txt::00859,Sounds swell... I'm,1.0,content_diversity,heading there myself,gonna get going,not very interested..,really tired so goodbye,really hungry,4.000,0.408,-0.007,0.787,-0.107,-0.633,-0.259,12.440312,0.549908,0.494333,6.149657,0.271837,43.219825,1.512191,0.000000,21.364986,0.747526
test.enc.prompt.txt::00859,Sounds swell... I'm,0.0,content_diversity,on my way there,going there myself,leaving to go there right after,going up there too,leaving to go there too,1.938,0.165,-0.107,0.809,-0.246,-0.870,-0.556,12.440312,0.549908,0.494333,6.149657,0.271837,43.219825,1.512191,0.000000,21.364986,0.747526
test.enc.prompt.txt::00862,What can I,1.0,content_diversity,"say, I've got the best family",do to help out a little more,give you to find out about the hotel,"have, are there choices?",every do to repay you?,4.500,0.471,-0.022,0.959,-0.090,-0.656,-0.251,8.189130,0.015942,0.345547,2.829728,0.005509,17.520050,1.441454,0.000000,6.053999,0.498090
test.enc.prompt.txt::00864,You want to,1.0,content_diversity,put all the ingredients in the bowl first.,go to the park while it's warm out?,go to dinner with all of us?,make sure the edges are straight before cutting.,do all that you can to make sure it's correct.,4.611,0.393,-0.041,0.935,-0.080,-0.653,-0.198,18.224101,0.740765,0.451322,8.224942,0.334324,18.644808,0.799147,0.000000,8.414816,0.360673
test.enc.prompt.txt::00867,You're all under,0.0,content_diversity,the insurance coverage,protection in time of need.,the insurance protection,the same plan,the protection of your policy,1.778,0.416,-0.070,0.912,-0.226,-0.813,-0.393,13.076052,0.678954,0.454602,5.944400,0.308654,33.599160,2.009125,0.000000,15.274248,0.913353
test.enc.prompt.txt::00869,I'm not really,0.0,content_diversity,interested in buying this,in the market for your product,considering buying,in a position to buy anything,seeing a need to buy this,1.938,0.165,-0.037,0.931,-0.262,-0.854,-0.649,12.164593,0.490498,0.516864,6.287435,0.253521,38.242674,1.350827,0.000000,19.766246,0.698193
test.enc.prompt.txt::00872,How the hell,1.0,content_diversity,did he get here before me,do you lose a dog,is this possible,can you be late every single day,did he break free from solitary,4.722,0.342,-0.014,0.969,-0.148,-0.596,-0.318,-5.400972,0.013802,0.434507,-2.346760,0.005997,47.450668,1.420568,0.000000,20.617647,0.617247
test.enc.prompt.txt::00880,"Jesus, it's too",1.0,content_diversity,"big, it's not going to fit.",much to do in a short time,hard to make them all straight,cold to do anything outside,long of a show to sit through,4.389,0.515,-0.043,0.954,-0.117,-0.632,-0.343,-3.726247,-0.127586,0.471009,-1.755095,-0.060094,34.504812,1.098126,0.000000,16.252074,0.517227
test.enc.prompt.txt::00884,"-- Stephen, wait",0.0,content_diversity,your doing it wrong,you didn't do it right,that's not how you do it,it's not correct,your doing it incorretly.,1.938,0.726,-0.076,0.875,-0.301,-0.795,-0.671,-2.937900,0.025118,0.466083,-1.369306,0.011707,91.901385,3.436389,0.000000,42.833682,1.601643
test.enc.prompt.txt::00885,Don't tell them,0.0,content_diversity,no problem my lips are sealed,cool i get to keep a secret,ok no telling from me,why can't i tell again?,i will definetly not tell anyone,3.000,0.577,-0.017,0.972,-0.102,-0.709,-0.379,10.555722,0.664450,0.385649,4.070803,0.256245,24.021463,0.779743,0.000000,9.263852,0.300707
test.enc.prompt.txt::00889,Will you please,0.0,content_diversity,quit bothering me,end your constant attempts to upset me,desist in attacking my emotions,leave me alone,kill all the annoying things your are doing,2.889,0.614,-0.018,0.977,-0.195,-0.729,-0.504,5.569143,0.393035,0.507608,2.826942,0.199508,82.770983,1.548420,0.000000,42.015219,0.785990
test.enc.prompt.txt::01574,"Oh, I'm sorry.",1.0,content_diversity,I shouldn't have said that,I didn't know that,"however, you can still help",i thought that was your grandma,i will never do it again,3.944,0.797,-0.020,0.969,-0.097,-0.602,-0.227,1.473290,0.018281,0.584166,0.860646,0.010679,35.382180,0.821176,0.000000,20.669065,0.479703
test.enc.prompt.txt::01574,"Oh, I'm sorry.",0.0,content_diversity,I could apologise,I should have rephrased it,i should have wrapped it up different,It would be better if I kept my mouth shut,I had to be quiet,3.500,0.782,-0.041,0.945,-0.211,-0.693,-0.345,1.473290,0.018281,0.584166,0.860646,0.010679,35.382180,0.821176,0.000000,20.669065,0.479703
test.enc.prompt.txt::01578,I just thought,0.0,content_diversity,it would be my secret forever.,I could take it to my grave,it was long buried and gone.,the vault would keep it safe.,it was between me and my gods.,2.833,0.943,-0.054,0.936,-0.255,-0.732,-0.278,20.958218,0.768903,0.395829,8.295864,0.304354,19.933070,0.704975,0.000000,7.890081,0.279049
test.enc.prompt.txt::01586,Most guys tuck,1.0,content_diversity,"their shirt in these days, its the fashion.",into their food too quickly.,their gear under the bed but you can use that cupboard as well.,like this just before they jump.,the envelope in rather than lick it and seal it.,4.778,0.478,-0.015,0.971,-0.134,-0.551,-0.161,1.081051,-0.027066,0.377028,0.407586,-0.010205,97.228617,0.928326,0.000000,36.657874,0.350005
test.enc.prompt.txt::01588,Can... can... Can,1.0,content_diversity,he still see?,you shut up?,you make dinner?,you go away?,you tell me more?,4.556,0.550,-0.037,0.762,-0.351,-0.702,-0.237,8.022277,0.669142,0.301450,2.418317,0.201713,27.865615,2.187593,0.000000,8.400095,0.659450
test.enc.prompt.txt::01592,What the hell,0.0,content_diversity,choice can I make at this stage!,can I reasonably be expected to accomplish with this?,direction do I move in now?,would Jesus do?,should someone in my position do?,3.611,0.965,-0.022,0.960,-0.193,-0.745,-0.465,16.009967,0.648348,0.375087,6.005138,0.243187,29.614018,1.604021,0.000000,11.107846,0.601648
test.enc.prompt.txt::01597,Maybe it went,0.0,content_diversity,extinct after being in existence for so long.,to the archives to remain a thing of the past,obsolete while we weren't paying attention,on to become useless to us,away from the marketplace.,3.375,0.650,-0.013,0.971,-0.114,-0.646,-0.493,20.889197,0.492660,0.469253,9.802314,0.231182,55.696094,1.353407,0.000000,26.135548,0.635090
test.enc.prompt.txt::01603,But Sacha always,1.0,content_diversity,is on time,lies to everyone,trusts everyone,calls me after work,tells everyone's business,4.286,0.749,-0.008,0.787,-0.206,-0.626,-0.272,-1.191959,0.119110,0.494568,-0.589505,0.058908,33.551700,2.119714,0.000000,16.593588,1.048342
test.enc.prompt.txt::01604,I'd better be,0.0,content_diversity,studying hard,learning and trying hard,trying my best to learn,studying for the exam,studying as much as possible,2.222,0.820,-0.028,0.950,-0.119,-0.866,-0.567,4.440451,0.255052,0.625704,2.778406,0.159587,20.774276,0.625513,0.000000,12.998541,0.391386
test.enc.prompt.txt::01608,Shall we draw,0.0,content_diversity,arbitrarily,whatever we want,what we wish to draw,something we like,anything we would like to draw,2.722,0.786,-0.047,0.918,-0.389,-0.838,-0.422,10.644565,0.618425,0.680800,7.246821,0.421024,19.012463,0.851066,0.000000,12.943686,0.579406
test.enc.prompt.txt::01621,Do I have,1.0,content_diversity,to repeat myself?,to tell you every thing to do?,to do my homework.,something between my teeth?,something wrong with me?,4.333,0.687,-0.030,0.955,-0.148,-0.661,-0.212,15.534693,0.711090,0.492806,7.655594,0.350430,35.373044,1.374204,0.000000,17.432058,0.677216
test.enc.prompt.txt::01624,This time they,0.0,content_diversity,guys that was too far,you went way too far,that was too much,they definetely went to far with this,its going too far,1.444,0.437,-0.099,0.875,-0.412,-0.776,-0.685,18.008795,0.688839,0.459892,8.282093,0.316791,70.329506,1.291544,0.000000,32.343947,0.593970
