sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v2,metric_icl_E_rate_qwen25_completion_v2,metric_icl_C_qwen25_completion_v2,metric_icl_D_qwen25_completion_v2,metric_icl_D_rate_qwen25_completion_v2,metric_icl_E_qwen25_completion_v2_std,metric_icl_E_rate_qwen25_completion_v2_std,metric_icl_C_qwen25_completion_v2_std,metric_icl_D_qwen25_completion_v2_std,metric_icl_D_rate_qwen25_completion_v2_std
test.sa-sb.sa-b::00871,"My wife and went to the movies in 1981. We saw the first movie. My wife did not like the second, Harold and Maude, and we left. Yesterday I saw the movie on DVR while my wife was at work.",1.0,content_diversity,I like it,I did not like it either,it was funny,it was not funny,it was not the same on tv,3.500,0.802,-0.123,0.845,-0.396,-0.713,-0.371,8.461328,0.966509,0.429708,3.635903,0.415317,50.451717,1.730101,0.000000,21.679524,0.743439
test.sa-sb.sa::00681,Sean's car started overheating. He remembered a trick to cool it down. He turned on his heater to max. It helped keep the car going until he got to a mechanic.,0.0,content_diversity,Sean decided to replace his old car with a new one,He purchased another car,"After that incident, he decided it's time to get a new car","To avoid problems in future, he decided to buy a new car",He replaced his old vehicle with a new one,2.062,0.916,-0.094,0.857,-0.505,-0.959,-0.592,36.106875,0.731614,0.534535,19.300399,0.391074,36.662137,0.731495,0.000000,19.597206,0.391010
test.sa-sb.sa::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,0.0,content_diversity,Car has hit a tree and she bumped into the seat in front of her,Driver lost control of the vehicle and bumped in the tree,She felt braking and could see car crashed in the tree,"Suddenly, she felt strong force and she was on the floor",She felt someone pulling the handbrake as they were crashing in the tree,2.000,0.408,-0.089,0.899,-0.326,-0.808,-0.521,36.803750,0.743954,0.450543,16.581685,0.335183,38.342700,0.467613,0.000000,17.275049,0.210680
test.sa-sb.sa::00689,Our relationship confuses me. We got into another argument. He accused me of not working hard. I explained my computer was being slow.,1.0,content_diversity,He told me to stop changing the subject.,I bought a new computer instead of fixing the slow one.,I walked out of the room before I said something I regretted.,He smashed the computer when I complained about it.,I decided to ignore him and tried to work as best as I could on the slow computer.,4.188,0.658,-0.052,0.934,-0.292,-0.741,-0.311,5.679688,0.180622,0.602340,3.421102,0.108796,53.381374,0.422361,0.000000,32.153724,0.254405
test.sa-sb.sa::00691,Jane noticed her internet was slow. The cable company was no help. Eventually someone recommended getting a better router. Jane tried it out.,1.0,content_diversity,she was happy with her new interernet,she like its,she did not like it,she was glad she did,she is happy she got a new router,3.222,0.711,-0.087,0.904,-0.264,-0.743,-0.468,8.145000,0.751119,0.382672,3.116866,0.287432,44.018889,2.010828,0.000000,16.844809,0.769488
test.sa-sb.sa::00698,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,1.0,content_diversity,Joel fired the cook when things went too far downhill.,One day Joel called a meeting and set up new rules for the cook and other staff to follow.,This went on for a couple months before Joel had enough.,Joel did not care much about the restaurant either and he went out of business.,When making future hiring decisions Joel held up the cook as an example of what he doesn't want.,4.556,0.497,-0.044,0.945,-0.243,-0.887,-0.370,-11.025938,-0.003607,0.596452,-6.576443,-0.002151,89.337458,0.360518,0.000000,53.285510,0.215032
test.sa-sb.sa::00698,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,0.0,content_diversity,One day the cook showed up at the restaurant and was very angry.,The cook pleaded for another chance.,It was time to start over and pick up the pieces.,Joel discovered that the cook had been battling a severe illness and it had affected his work.,From that day forward Joel's restaurant was the best in town.,4.278,0.533,-0.035,0.945,-0.266,-0.734,-0.270,18.590312,0.389236,0.580495,10.791585,0.225949,66.131285,0.524864,0.000000,38.388884,0.304681
test.sa-sb.sa::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",1.0,content_diversity,They were lucky that the tornado did not make it to their farm.,This was a bad decision because Janet's mother did not make it.,Everything worked out because the tornado died out before it could reach the farm.,They were able to protect the animals but their garden was destroyed by the tornado.,The family is not afraid of tornadoes anymore.,4.111,0.458,-0.054,0.902,-0.322,-0.746,-0.402,28.142188,0.237926,0.575299,16.190169,0.136879,55.738649,0.852045,0.000000,32.066382,0.490180
test.sa-sb.sa::00701,Devin just got his licenses. He asks his parents for permission to out driving. While out driving he agrees to race one of his friends. Devin steps on the gas and races in his parents car.,1.0,content_diversity,Devin goes 100 mph and gets pulled over by the police.,Devin hits a telephone pole and totals his parents car.,Devin forgets his license and gets arrested.,Devin's little brother was with him and snitched to their parents.,Devin gets lost and has to call his parents.,4.667,0.333,-0.061,0.932,-0.393,-0.856,-0.447,16.107813,0.306471,0.585389,9.429342,0.179405,76.293700,0.874193,0.000000,44.661521,0.511743
test.sa-sb.sa::00703,Jake was changing clothes in his room. He didn't realize his overhead fan was on. When he reached up to take off his shirt his arm hit the fan blades. Jake wound up fracturing his wrist.,1.0,content_diversity,"His mom ran upstairs when she heard the commotion, and immediately drove him to the emergency room.","He had to wear a cast and was unable to play his favorite sport, baseball, for an entire month.",He thought it was cool so he showed it to the neighborhood kids.,He was in agonizing pain so he raced to the phone to call an ambulance.,He then woke up and realized it was all a dream.,4.167,0.707,-0.055,0.930,-0.274,-0.591,-0.200,12.288750,0.080885,0.595302,7.315512,0.048151,42.585148,0.516156,0.000000,25.351003,0.307268
test.sa-sb.sa::00705,Jim has a very important math test next week. He is really worried about passing with a good grade. Jim decided to ask his teacher for ideas on great study tips. His teacher gave him some really great studying advice.,0.0,content_diversity,Confidence flowed through Jim as he realized he easily solved all the questions.,The teacher handed back Jim's test which got full marks.,Jim got a hundred on the test.,Jim ended up doing well and passing the math test.,He came home happy he passed the test.,2.667,0.577,-0.042,0.950,-0.374,-0.860,-0.540,10.115000,0.254818,0.504665,5.104688,0.128598,76.896036,0.359092,0.000000,38.806749,0.181221
test.sa-sb.sa::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",1.0,content_diversity,Someone had hidden it there after damaging it.,I was very happy to have my textbook and sat down to study.,I felt mystified as to why the book was in a bin but was relieved I had found it.,I opened the book and got down to catching up on my studies.,Later in the day my roommate admitted they had been tidying and put my book there.,3.857,0.693,-0.045,0.924,-0.282,-0.761,-0.423,-2.570000,-0.024412,0.559744,-1.438543,-0.013665,70.429126,0.656149,0.000000,39.422301,0.367275
test.sa-sb.sa::00709,I put my dog in training school. He is learning a lot of new tricks. He can now sit and stand. They are very good teachers.,0.0,content_diversity,We joined together with our new friends to put together a dog trick stage show.,My pup has never been happier.,Now people gasp with delight when they see what my dog can do.,Our new friends agreed that these were the best dog trainers ever.,We all decided to stay in touch and do doggy play dates.,4.389,0.698,-0.015,0.965,-0.248,-0.749,-0.520,14.687187,0.272738,0.479704,7.045499,0.130833,67.996355,0.757996,0.000000,32.618106,0.363614
test.sa-sb.sa::00714,Sam was at work. He had to lift a heavy box by himself. Sam pulled a muscle trying to do so. He had to get physical therapy to get better.,1.0,content_diversity,"After physical therapy, he was more fit than ever",Physical therapy was very expensive,"After the therapy, he promised he would be more careful lifting heavy objects",He decided to start going to the gym so he can avoid this kind of injuries,"After few months, he felt better that ever",3.944,0.497,-0.033,0.949,-0.221,-0.824,-0.372,8.462500,-0.075251,0.605950,5.127851,-0.045598,64.996569,1.301364,0.000000,39.384663,0.788561
test.sa-sb.sa::00716,Sam went on a date. He was nervous and ate too much at dinner. After a short while he started feeling sick. Sam had to cut the date short and go home.,0.0,content_diversity,He had to call her and apologise,Next day he called her and explained what had happened,He asked his date for forgivness,He was so embarrassed while explaining the reason for leaving,Next day he grabbed a phone and called to say sorry,2.611,0.567,-0.041,0.924,-0.273,-0.744,-0.361,22.756250,0.623307,0.490632,11.164943,0.305814,50.292423,1.071451,0.000000,24.675069,0.525688
test.sa-sb.sa::00718,John woke up on the beach not remembering who he was. John looked at his belongings. John found a car key. John used the car key to find out the car.,1.0,content_diversity,He tried it until he found the right car.,He went to the hospital to get himself checked out.,He went to the local police station to help with identification.,He drove to the local grocery store and went in.,He drove around aimlessly.,4.389,0.515,-0.084,0.877,-0.400,-0.735,-0.180,11.362812,-0.058598,0.593812,6.747370,-0.034796,37.557848,0.965905,0.000000,22.302287,0.573565
test.sa-sb.sa::00721,Randy tells his kids if they massage him all night he will reward them. He tells them he will give them 100 dollars each for doing it. The kids massage their father all night. When the morning comes the kids are excited to be done.,0.0,content_diversity,Every kid bought 100 dollars worth of toys,All kids were happy with their money spent on toys,Each of them decided to buy toys,"With 100 dollars, all kids bought new toys",Receiving their reward made them happy because now they can buy toys,2.000,0.598,-0.043,0.942,-0.320,-0.958,-0.613,28.100000,0.936526,0.402278,11.304004,0.376744,64.559513,0.557092,0.000000,25.970854,0.224106
test.sa-sb.sa::00726,Chris is a star runner. Chris has a big race this sunday. He invited all his friends and family to the race. While at the race Chris runs as hard as he can.,1.0,content_diversity,Chris really wanted to show off in front of everyone but he ended up falling down instead.,"Unfortunately, Chris got disqualified from another event after jumping the gun several times.",Chris ended up winning the race and dedicating his win to his mother.,Chris had his best race ever even breaking a state record.,Chris was nervous about his friends and family being there but persevered and won.,4.214,0.995,-0.033,0.953,-0.302,-0.829,-0.389,3.074375,0.115726,0.569383,1.750497,0.065892,62.978158,0.536663,0.000000,35.858703,0.305567
test.sa-sb.sa::00731,I had my special cup on my desk. I accidentally bumped it. It fell and rolled over the edge. It hit the husky and bounced off.,0.0,content_diversity,Cup landed softly on the rug,"When cup bounced off, it landed on the carpet","Fortunately, the cup landed softly and didn't shatter",Cup fell on the carpet but nothing happened,Carpet was soft so when cup fell down it didn't shatter,2.222,0.749,-0.075,0.891,-0.319,-0.961,-0.670,34.162344,0.833698,0.477379,16.308399,0.397990,52.493431,0.537319,0.000000,25.059282,0.256505
test.sa-sb.sa::00738,James wanted to go swimming. He made plans with friends. Unfortunately it started to rain. Most of his friends cancelled.,1.0,content_diversity,James didn't care about the rain and went swimming anyway.,James got mad at his friends for canceling and stayed home and played games.,James was really angry about the rain and told his friends he was mad at them too.,One of James' friends didn't cancel and they went swimming together.,James decided to go swimming anyway and found that the pool was closed.,3.722,0.671,-0.075,0.892,-0.364,-0.863,-0.414,17.980156,0.212323,0.680206,12.230208,0.144423,57.072278,0.603854,0.000000,38.820898,0.410745
test.sa-sb.sa::00739,Sam went out drinking. He tried to drive home. He couldn't find his keys. He had to call a taxi.,1.0,content_diversity,Sam didn't care about being responsible but the bar did and took his keys.,Sam was furious that his keys were missing but went home anyway.,Sam couldn't find anyone to give him a ride so he had to call for a ride.,Sam's friends at the bar took his keys making Sam angry at everyone.,Sam was so drunk he shouldn't have been driving anyway.,3.611,0.657,-0.047,0.916,-0.274,-0.834,-0.387,34.629375,0.449198,0.507878,17.587511,0.228138,64.529270,0.661580,0.000000,32.773022,0.336002
test.sa-sb.sa::00744,Tim always loved reading and writing. He decided to try and write a book. It took him a long time. Not many people read it.,0.0,content_diversity,It was a cult classic,The few you read it were big fans,Tim develop a small loyal fan base,The book was considered an acquired taste but some liked it,"It had a polarizing reaction, people either loved or hated it",3.500,0.527,-0.022,0.967,-0.220,-0.680,-0.502,23.015937,0.842226,0.418720,9.637230,0.352657,66.437557,1.648032,0.000000,27.818724,0.690064
test.sa-sb.sa::00745,Brett got new shoes today. His old ones had a hole in them. He really does not like his new shoes. Brett wanted his old shoes back.,1.0,content_diversity,he got his old shoes back,he exchange the new pair for a new pair of his old shoes,he threw the new shoes away,he decided to try the new shoe anyway,he keeps the new shoes,3.222,0.629,-0.122,0.854,-0.432,-0.977,-0.610,24.552578,0.644199,0.469136,11.518504,0.302217,65.118827,1.027180,0.000000,30.549601,0.481887
test.sa-sb.sa::00751,Tom was invited to a party. He wasn't much of a beer drinker. He got whatever he saw on sale. Everyone at the party was a bit disappointed.,1.0,content_diversity,it was not his fault though,they wanted better booze,they thought he was not being selective,they wanted him to put in more thoughts,"they were disappointed because the music was bad, not because of tom",3.333,0.745,-0.043,0.939,-0.212,-0.693,-0.243,4.809063,0.450751,0.457647,2.200852,0.206285,59.040588,0.551336,0.000000,27.019739,0.252317
test.sa-sb.sa::00760,Karl was getting ready for work. He didn't have enough time to make breakfast. Karl decided to just eat some cereal. He poured out the cereal before checking the milk.,1.0,content_diversity,Turns out that the milk was sour and he ruined a good bowl of cereal.,Karl looked into the fridge and realized he didn't have any milk.,Karl put the cereal back into the box because he was out of milk.,Karl remember he didn't have any milk so put the cereal back.,Karl put the cereal in a sandwich bag and just ate it like granola because he had no milk.,3.722,0.629,-0.131,0.832,-0.404,-0.945,-0.670,-13.322812,-0.070550,0.623079,-8.301160,-0.043958,86.427548,0.952426,0.000000,53.851157,0.593436
test.sa-sb.sa::00762,"In college, I heard my first opera. It was called Marriage of Figaro. The singers sang in English so we could understand the words. It was a very funny story.",1.0,content_diversity,I love this opera,I like opera ever since,I did not like other opera though,I enjoy telling other people about this story,I decide to buy the book on this opera,4.111,0.698,-0.072,0.926,-0.222,-0.837,-0.325,10.585156,0.371790,0.500480,5.297659,0.186074,49.770674,0.747452,0.000000,24.909227,0.374085
test.sa-sb.sa::00764,Jake went bowling one day. It was his friend's birthday. Jake decided to be nice and let his friend win. The friend was excited over beating him.,0.0,content_diversity,Over ice cream Jake's friend happily reminisced about his win.,They got ice cream cake Jake's friend blew out the candles wishing that every birthday would be so perfect.,It was the perfect end to a lovely evening.,They created some good memories that day.,Over ice cream Jake's friend began to speculate as to whether he should bowl professionally.,4.000,0.624,-0.053,0.902,-0.301,-0.753,-0.264,9.068125,0.318781,0.529146,4.798364,0.168682,119.660179,0.598949,0.000000,63.317728,0.316932
test.sa-sb.sa::00765,Jervis wanted to get a dog. He went to a pound to find a puppy. Jervis picked out a small puppy. He brought the puppy home and gave him some water to drink.,0.0,content_diversity,The puppy adored Jervis quickly and couldn't wait to bark out his love.,The puppy couldn't find enough ways to shoe Jervis how crazy he was about him.,Jervis got up to walk away and the puppy barked to tell him to stay with him.,The puppy was so grateful to be out of the cage he didn't know how to act so he barked at Jervis.,Jervis and the puppy played for hours because they were nuts for each other.,3.071,0.728,-0.065,0.910,-0.251,-0.931,-0.635,36.271875,0.430081,0.510826,18.528610,0.219697,50.123031,0.534688,0.000000,25.604137,0.273132
test.sa-sb.sa::00767,Kate and her friends drove all the way to Las Vegas. But they didn't like their hotel. So they decided to look online. They sat in the car looking on their phones for a better deal.,1.0,content_diversity,Kate found a hotel for a lot cheaper.,They came across a hotel with more stars.,Kate's friend found a much better deal.,They finally saw one with much better reviews.,Kate found a website with better amenities.,3.333,0.527,-0.078,0.889,-0.462,-0.796,-0.425,15.980937,0.403266,0.545415,8.716236,0.219947,19.687750,0.294112,0.000000,10.737986,0.160413
test.sa-sb.sa::00768,"Abby was invited to a girl's trip to Seattle with her friends. Abby accepted the invitation, and were on their way to Seattle. After checking in the hotel, Abby fell straight asleep. When Abby awoke, her friends had returned from their night out.",1.0,content_diversity,abby joined them for dinner,abby missed the event,abby asked how their nights went,abby was upset her friends did not wake her up,abby was sad to be left out,3.778,0.478,-0.037,0.955,-0.457,-0.798,-0.393,25.206562,0.782817,0.436233,10.995926,0.341490,25.056288,0.591893,0.000000,10.930371,0.258203
test.sa-sb.sa::00776,Loren decided to wash the dishes for her roommates. She used a glass of water to soak the sponge in. After she washed everything she forgot to wash the glass. She left it next to the sink and a roommate tried to drink from it.,1.0,content_diversity,She grabbed it before her roommate could drink from it.,The roommate drank from it.,The roommate dropped the glass as they picked it up.,Her roommate decided to wash the glass instead.,Her roommate threw the glass at another one as they were fighting.,4.278,0.533,-0.076,0.899,-0.468,-0.949,-0.455,-1.675469,0.087911,0.628672,-1.053320,0.055267,55.473126,0.425759,0.000000,34.874375,0.267663
test.sa-sb.sa::00779,Charles wanted a raise. He was nervous about asking his boss. He finally built up enough courage to do it. His boss appreciated his initiative.,0.0,content_diversity,Charles was given a raise and a promotion.,Charles was now the new supervisor.,Charles moved up the ranks and now works more closely with his boss.,His boss nominated him for employee of the month.,Charles received compensation and moved up in the ranks.,3.000,0.745,-0.052,0.918,-0.440,-0.840,-0.582,11.039063,0.170627,0.615317,6.792527,0.104990,36.982485,0.624514,0.000000,22.755964,0.384275
test.sa-sb.sa-b::00240,There once was a person born without a brain. They tried and tried and tried to think. They read books and stared at screens until their eyes bled. Then one day they threw out all of their learning material.,0.0,content_diversity,they quit,they did not care,IT WAS TO HARD SO THEY WERE DONE,he gave up,he was done trying,1.889,0.567,-0.013,0.981,-0.194,-0.665,-0.549,41.045000,2.378540,0.232382,9.538121,0.552730,80.263400,1.776003,0.000000,18.651774,0.412711
test.sa-sb.sa-b::00242,Chloe is an actress who just turned 19. She is very interested in politics. She decided to use her platform to raise political awareness. She started to campaign for Hillary Clinton.,0.0,content_diversity,she got a lot of offers,she was happy,lots of work came in,everyone wanted to work with her,she was constantly sought after,3.333,0.707,-0.033,0.950,-0.288,-0.711,-0.458,25.260937,1.303490,0.331159,8.365392,0.431663,32.605412,1.554560,0.000000,10.797582,0.514807
test.sa-sb.sa-b::00247,"Brett was having some issues. He called his best friend Michael. They met at a coffee shop to talk. After a few hours, Brett felt like he knew what to do.",0.0,content_diversity,Michael professional made him an expert,Michael was afew years older and usually knew what to do,Michael has given Brett good advice in the past,Michael walks worked where brett did and knew how to advise him on work siutation,Michael was known for being a helpful friend,3.167,0.745,-0.033,0.959,-0.166,-0.867,-0.572,31.562500,0.456585,0.445692,14.067148,0.203496,195.346822,2.019469,0.000000,87.064482,0.900061
test.sa-sb.sa-b::00249,Steve and Josie are newlyweds. But Josie suspects that Steve is already cheating. She told her friends and they all agreed Steve was up to something. They all decided to follow him one day.,1.0,content_diversity,he was taking dance lesson,he was learning how to make flower bouquet,he was indeed cheating,he was dating her best friend,he was actually working extra,3.944,0.762,-0.120,0.908,-0.277,-0.654,-0.140,31.290000,1.087464,0.345431,10.808541,0.375644,31.425152,0.500938,0.000000,10.855227,0.173040
test.sa-sb.sa-b::00251,Don was out on a field. He saw a rabbit get close. Don decided to chase it. The rabbit ran away slowly.,0.0,content_diversity,he went shopping afterwards,went to the store later,he had to go gracery shopping,dan bought groceries,dan went to get food,1.667,0.408,-0.043,0.928,-0.375,-0.836,-0.458,47.753906,1.915389,0.262837,12.551488,0.503435,43.550420,1.356807,0.000000,11.446657,0.356619
test.sa-sb.sa-b::00256,Jane wanted to watch a big new action movie. She had been waiting a long time for it to come out. When tickets became available she was too busy. By the time she had a chance to buy some it was sold out.,1.0,content_diversity,Jane cried all the way home.,Jane found a ticket scalper to sell her tickets.,A friend of Jane's offered her one of her tickets.,Jane decided to go to another town to see it.,Jane decided to just wait and stream it at home when it becomes available.,4.111,0.567,-0.041,0.920,-0.250,-0.860,-0.333,-9.131875,-0.019896,0.603266,-5.508946,-0.012003,71.558712,0.349987,0.000000,43.168907,0.211135
test.sa-sb.sa-b::00262,It was a really hot day and Jamie wanted something sweet. Seeing a cute ice cream shop nearby she decided to go in. While waiting she noticed two children who looked very sad. She soon realized they had no money.,1.0,content_diversity,"Tough, thought Jamie and walked passed them holding his ice cream.",Jamie felt sorry for them so asked them what they wanted and got it for them.,Jamie told the shopkeepr to give them some free ice cream but he refused.,Jamie told the kids if they would wash his bike he would give them some money and they agreed.,Jamie gave them his ice cream to share and they were very grateful.,4.056,0.685,-0.085,0.882,-0.276,-0.881,-0.472,17.638437,0.174078,0.587778,10.367490,0.102319,108.747332,1.657750,0.000000,63.919320,0.974390
test.sa-sb.sa-b::00268,Karl woke up late for work one day. He didn't know why his alarm didn't go off. Later that day his alarm went off. Karl realized he put PM instead of AM>.,1.0,content_diversity,He missed a job interview,He was late for work and got fired,He missed a bus,He had to hurry up,He had to skip breakfast,3.611,0.774,-0.092,0.881,-0.308,-0.690,-0.343,12.547656,0.738668,0.487770,6.120371,0.360300,12.366020,0.789063,0.000000,6.031774,0.384881
test.sa-sb.sa-b::00272,Every month I start craving chocolate and salt. The cravings get so bad I can't resist them. I end up eating chips and candy bars. Eating those things makes my stomach start hurting.,0.0,content_diversity,"In the end I always throw up, it's awful.","I am always sick after, I hate it.","When I have finished eating I always throw up, it's horrible.","I always end up puking, it's awful.","After I have eaten I am always sick, it's awful.",1.611,0.515,-0.146,0.812,-0.625,-0.924,-0.805,35.626250,0.771007,0.490092,17.460141,0.377864,18.063496,0.755220,0.000000,8.852775,0.370127
test.sa-sb.sa-b::00274,Gwen's old couch was falling apart. She saved up money to get a new one. She looked for the best price around. Finally she found one she liked for the right price.,1.0,content_diversity,When it arrived it was perfect for her living room and she was very happy.,When she got it home she realised it didn't fit with the rest of the room and she would have to redecorate.,She ordered it and was told it would take three months to arrive and she was very disappointed.,She was even happier when the salesman said today was a special 25% off day.,Jane bought it and could not stop thinking about how great it was going to look on the way home.,4.556,0.550,-0.078,0.902,-0.284,-0.781,-0.298,10.827187,0.139617,0.574371,6.218828,0.080192,94.147753,1.014853,0.000000,54.075783,0.582903
test.sa-sb.sa-b::00276,Ron is having a cook out with the family. Ron is wearing his favorite shirt to impress everyone. While preparing his hot dog Ron spills some mustard on his shirt. Ron gets upset and rushes inside to clean his shirt.,1.0,content_diversity,His wife brings him a clean shirt and reassures him she can get the stain out.,Ron gives up on cleaning his shirt and throws it away.,"The neighbor, who overheard what happened, shows up to help Ron with her secret stain remover solution.",Ron throws away all the mustard bottles so it won't happen again.,Ron decides he is done for the day and goes to bed.,4.667,0.408,-0.031,0.953,-0.302,-0.806,-0.301,29.883438,0.175894,0.597064,17.842316,0.105020,101.965260,0.670030,0.000000,60.879756,0.400050
test.sa-sb.sa-b::00279,Harry and his basketball team was losing the game. The coach called for a timeout. Harry boosted morale by talking to his team. The team caught up and the game was tied.,0.0,content_diversity,He scored winner,Harry scored a winning point,Harry scored a point that won them a game,He scores final point,He scored last point,1.500,0.378,-0.092,0.869,-0.488,-0.922,-0.621,35.475156,1.279419,0.415716,14.747598,0.531875,35.212858,1.189354,0.000000,14.638556,0.494434
