sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v2,metric_icl_E_rate_qwen25_completion_v2,metric_icl_C_qwen25_completion_v2,metric_icl_D_qwen25_completion_v2,metric_icl_D_rate_qwen25_completion_v2,metric_icl_E_qwen25_completion_v2_std,metric_icl_E_rate_qwen25_completion_v2_std,metric_icl_C_qwen25_completion_v2_std,metric_icl_D_qwen25_completion_v2_std,metric_icl_D_rate_qwen25_completion_v2_std
test.sa-sb.sa-b::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,0.0,content_diversity,"Tim became so anxious with the crowd watching him, he failed to get a perfect score.",Tim did not manage to get a perfect score.,Tim lost the game due to the pressure of having an audience.,Tim choked and lost.,Tim cracked under pressure.,-0.067,0.879,-0.408,-0.894,-0.603,25.512188,0.481642,0.478487,12.207258,0.230459,61.672634,1.424324,0.000000,29.509573,0.681521
test.sa-sb.sa-b::00860,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",0.0,content_diversity,it was fun for them,they enjoy the day,they like the cleaning up,they thought it was great,they have a bonding experience,-0.043,0.939,-0.276,-0.699,-0.544,22.206250,1.069743,0.332067,7.373969,0.355227,19.239687,0.601717,0.000000,6.388871,0.199810
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,1.0,content_diversity,he quits smoking,he then ask her out,he was still rejected,the girl was long gone,he still could not quit,-0.038,0.955,-0.194,-0.594,-0.220,23.136250,1.169523,0.293731,6.795832,0.343525,32.089207,1.435840,0.000000,9.425592,0.421750
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,0.0,content_diversity,he no longer smokes,smoking is not with him anymore,he never touch cigarette again,he is not smoking anymore,smoking and him are two separate things now,-0.041,0.934,-0.337,-0.929,-0.686,28.986875,1.156138,0.380874,11.040350,0.440343,59.847054,1.098308,0.000000,22.794192,0.418317
test.sa-sb.sa-b::00821,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",0.0,content_diversity,I had some sleepless night,there are nights I could not sleep,some nights I was awake,I miss sleeps sometimes,there are night I stay wide awake,-0.064,0.911,-0.291,-0.906,-0.605,35.585625,1.370824,0.346262,12.321949,0.474664,22.765635,1.160866,0.000000,7.882874,0.401964
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,1.0,content_diversity,She had a whole new set of clothes,Her friends were mocking her,She had help from her grandma,She really enjoyed doing it,She saved a lot of money,-0.035,0.945,-0.288,-0.681,-0.320,8.904531,0.285191,0.572232,5.095457,0.163196,26.180152,0.743778,0.000000,14.981119,0.425614
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,0.0,content_diversity,She saved quite a lot,She saved money,She managed to save a large amount of money,She saved large sum of money,She managed to put money in savings,-0.115,0.857,-0.586,-0.975,-0.823,19.986797,0.699426,0.489537,9.784270,0.342395,27.890965,0.679746,0.000000,13.653650,0.332761
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,1.0,content_diversity,They didn't invite him back.,Now they won't return his texts.,Andy apologized and they made up.,Andy decided not to cheat in the future.,Andy watched YouTube videos and got better so he didn't have to cheat.,-0.021,0.957,-0.342,-0.703,-0.214,-11.684687,0.029562,0.565271,-6.605019,0.016711,75.263357,1.572395,0.000000,42.544221,0.888830
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,0.0,content_diversity,Andy felt bad afterward and swore he'd never cheat again.,Winning by cheating didn't feel very good so he didn't do it again.,"Andy didn't like feeling like a cheat, so he was honest the next time.",Knowing he cheated was embarrassing so he won't cheat when they play in the future.,Andy pledged not to cheat the next poker night.,-0.039,0.934,-0.399,-0.927,-0.557,20.526875,0.130524,0.575569,11.814630,0.075126,59.515308,0.481745,0.000000,34.255157,0.277278
test.sa-sb.sa-b::00873,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,1.0,content_diversity,it was so healthy,he was still hungy,he decide to eat some burger,he went to exercise,he is in top shape,-0.035,0.957,-0.233,-0.609,-0.167,21.606250,0.883994,0.262957,5.681512,0.232452,16.866431,0.896752,0.000000,4.435144,0.235807
test.sa-sb.sa-b::00837,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",1.0,content_diversity,she makes it anyway,the muffin was still delicious,it was not her best moment,she asked me to make it for her,she decides it was time to deal with the yellow batter,-0.046,0.934,-0.128,-0.633,-0.179,10.172500,0.810728,0.397229,4.040808,0.322044,76.602387,0.908584,0.000000,30.428661,0.360916
test.sa-sb.sa-b::00837,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",0.0,content_diversity,the muffin is still good,they still taste yummy,"no matter the color, muffin taste very nice",the muffin satisfy my sweet tooth,it was very good muffin,-0.050,0.927,-0.326,-0.872,-0.670,39.218906,1.082468,0.350837,13.759445,0.379770,37.554970,0.604942,0.000000,13.175674,0.212236
test.sa-sb.sa-b::00857,The tree lost it's leaves. That winter it became very cold. The branches froze. The tree lost it's branches.,1.0,content_diversity,They had to saw the tree,Tree fell down on earth,One of the branches fell off and hit a young boy,"In the spring, the tree started growing again",It was a shame because tree was really old,-0.026,0.953,-0.159,-0.909,-0.357,2.874687,0.095665,0.500459,1.438664,0.047877,40.658776,1.643933,0.000000,20.348060,0.822721
test.sa-sb.sa-b::00814,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,0.0,content_diversity,Mike was sad,Mike felt sadness,Mike was really depressed,Mike didn't feel well,Mike had a sad feelings,-0.073,0.923,-0.504,-0.930,-0.832,18.621484,0.999437,0.390044,7.263195,0.389824,31.841741,0.998093,0.000000,12.419674,0.389300
test.sa-sb.sa-b::00826,Jane had a window frame that was not fully attached to the house. To fix it required climbing on the roof. Jane was too afraid to do this herself. Her grown son did it instead.,1.0,content_diversity,she was thankful,it was a job well done,they had dinner after,he was cautious when doing so,the window was fixed,-0.027,0.974,-0.153,-0.631,-0.238,23.322031,1.029424,0.391302,9.125961,0.402816,32.700396,0.713742,0.000000,12.795735,0.279289
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,Student admitted his mistake,Student denied everything,Principal threatened to student with kicking him out,"In the office, student tried to threaten her",Student was sad,-0.023,0.969,-0.191,-0.822,-0.379,33.373437,0.622392,0.440468,14.699924,0.274144,78.375276,1.097191,0.000000,34.521785,0.483277
test.sa-sb.sa-b::00836,"We watched Lassie every day after school. We begged our parents to buy us a dog like that. One day my cousin's dog had a litter of puppies. We pleaded for one, but our parents didn't like dogs.",1.0,content_diversity,we got one anyway,our parents let us have one,we have to do chores to get the dog,we could not get one,our parents said that would be our birth date gifts,-0.038,0.934,-0.215,-0.716,-0.211,9.993438,0.686157,0.381154,3.809041,0.261532,89.562708,1.057273,0.000000,34.137202,0.402984
test.sa-sb.sa-b::00838,Paul wants to have some good footwear for winter. He decides to invest in a pair of heavy duty boots. Paul finds a great pair of boots. They're very warm.,0.0,content_diversity,he really likes them,he likes them a lot,they are one of his favs,they became his favorites,they became the top of things to wear in his list,-0.047,0.924,-0.342,-0.782,-0.483,9.958203,0.991558,0.404331,4.026405,0.400917,108.272471,1.695282,0.000000,43.777865,0.685454
test.sa-sb.sa-b::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,1.0,content_diversity,he was then killed,he was then put into prison,the war ended,it was gruesome,that was part of war,-0.059,0.900,-0.273,-0.689,-0.218,11.953438,0.882746,0.353365,4.223931,0.311932,39.060271,2.242539,0.000000,13.802547,0.792436
test.sa-sb.sa-b::00802,Jenny didn't know what to watch. She kept scrolling through every option. Nothing caught her attention. Eventually she realized how late it was.,0.0,content_diversity,she decides to sleep,she went to her bed,she lay on the bed,she fell asleep,she choose the bed instead,-0.072,0.916,-0.366,-0.926,-0.595,9.379062,0.750276,0.366657,3.438900,0.275094,47.414286,1.393599,0.000000,17.384787,0.510973
test.sa-sb.sa-b::00876,"I always look forward to the weekends. On Friday, we took off from work a little early. We bought some beer and champagne. We relaxed and had a few drinks together.",0.0,content_diversity,we also cook,we decided to use the kitchen,we prepare some meals,we use our cooking skills,we make some dishes,-0.056,0.945,-0.376,-0.941,-0.672,33.955313,1.494115,0.268278,9.109458,0.400838,25.238254,1.324087,0.000000,6.770864,0.355223
test.sa-sb.sa-b::00845,Derek loved playing football. He was the quarterback and was pretty good. He only had one game left in his career. He wanted it to be a good one.,1.0,content_diversity,"Unfortunately, he broke his leg after being tackled.",He made the winning goal.,Derek kicked the winning goal in the final moments in the game.,Derek was the MVP during this game.,Derek was hurt early on and had to be benched.,-0.040,0.920,-0.399,-0.778,-0.386,6.954688,0.164879,0.541810,3.768122,0.089333,31.033802,0.708933,0.000000,16.814438,0.384107
test.sa-sb.sa-b::00845,Derek loved playing football. He was the quarterback and was pretty good. He only had one game left in his career. He wanted it to be a good one.,0.0,content_diversity,"The opposing team tackled him, breaking his leg.",His leg was broken after a tackle.,Derek had his leg broken during a particularly rough tackle.,An aggressive tackle broke his leg.,Derek broke his leg.,-0.103,0.891,-0.595,-0.976,-0.795,25.248281,0.242080,0.494604,12.487902,0.119734,29.775413,0.854782,0.000000,14.727039,0.422779
test.sa-sb.sa-b::00878,Jason worked very hard for his family. His wife didn't think he did enough. She told him that he needed to leave. Jason got very sad and depressed.,0.0,content_diversity,Jason turned to drugs and alcohol to deal with the loss of his family.,Jason became chemically dependent while trying to treat his depression.,Alcohol helped with Jason's feeling of despair.,Jason fell into alcoholism.,Jason tried coping with alcohol.,-0.033,0.950,-0.481,-0.923,-0.598,14.441875,0.253816,0.538352,7.774816,0.136643,48.300266,0.862131,0.000000,26.002557,0.464130
test.sa-sb.sa-b::00801,Nate's girlfriend was high maintenance. He tried buying generic cereal. It made her very upset. She only ate name brand cereal.,1.0,content_diversity,she broke up with him,he broke up with her,they split,she decides she would buy her own cereal,she gave him a scolding,-0.051,0.903,-0.289,-0.692,-0.307,14.976484,1.007059,0.376345,5.636325,0.379002,68.058231,1.830739,0.000000,25.613376,0.688990
test.sa-sb.sa-b::00801,Nate's girlfriend was high maintenance. He tried buying generic cereal. It made her very upset. She only ate name brand cereal.,0.0,content_diversity,she gave him a lecture,she give him a talk,she scolded him,she complain to him,she complain to his ears,-0.113,0.857,-0.453,-0.849,-0.457,30.341250,1.688294,0.289801,8.792915,0.489269,24.852266,0.944297,0.000000,7.202204,0.273658
test.sa-sb.sa-b::00859,Sam is playing with her friends in her room. They decide to play hide and seek. Sam goes and runs to hide. While running she trips and falls down the stairs.,1.0,content_diversity,She broke her collar bone and had to be rushed to the hospital.,Her friends all ran over and gasped in horror as they saw her contorted body at the bottom of the stairs.,"Luckily, she was not badly hurt because she landed on her feet!","She stood up, brushed herself off, and ran back up the stairs to continue the game.","Just as she was falling, her father happened to come out of the kitchen, ran up the stairs and grabbed her before she hit the bottom.",-0.061,0.915,-0.264,-0.754,-0.314,2.699688,0.239023,0.646525,1.745416,0.154534,99.165445,0.572741,0.000000,64.112965,0.370291
test.sa-sb.sa-b::00859,Sam is playing with her friends in her room. They decide to play hide and seek. Sam goes and runs to hide. While running she trips and falls down the stairs.,0.0,content_diversity,"She sprained her ankle, but luckily nothing was broken.",She fractured her leg in three different places and was in so much pain.,"Her friends were all concerned that she broke something, and they were right.",She started wailing from the searing pain running through her broken bone.,She broke her foot and had to wear a cast for an entire month.,-0.030,0.955,-0.317,-0.838,-0.424,27.684688,0.321117,0.586562,16.238778,0.188355,66.985862,0.686505,0.000000,39.291343,0.402678
test.sa-sb.sa-b::00874,Caleb dressed as Batman for halloween. He ordered a costume that looked really cool. The chest part was extra huge on him. It made it difficult for him to move around.,1.0,content_diversity,he has to struggle,he still like the look though,he looks like a meat head,this was not the best custom he has,he was still happy to be batman for haloween,-0.054,0.932,-0.085,-0.592,-0.227,8.947500,0.646226,0.353505,3.162982,0.228444,59.873588,0.448381,0.000000,21.165589,0.158505
test.sa-sb.sa-b::00874,Caleb dressed as Batman for halloween. He ordered a costume that looked really cool. The chest part was extra huge on him. It made it difficult for him to move around.,0.0,content_diversity,he has to tried hard,he has to deal with the difficulties,this make thing difficult for him,it was not easy,he has to cope,-0.084,0.891,-0.336,-0.737,-0.689,35.638906,1.436794,0.305537,10.889013,0.438994,32.687753,1.203496,0.000000,9.987326,0.367713
test.sa-sb.sa-b::00819,My violin teacher makes me play scales. I think scales are boring. She tells me that they help me improve my technique. I am spending more time playing scales to make her happy.,0.0,content_diversity,I did not need to,it was better I did not,I should have done what I wanted,doing that was not needed,doing so was unnecessary,-0.061,0.903,-0.206,-0.780,-0.473,42.764063,1.705516,0.329291,14.081816,0.561611,25.731788,0.718569,0.000000,8.473244,0.236618
test.sa-sb.sa-b::00858,"Barry always encouraged his daughter to do what she wanted. Recently, Barry's daughter told him she wanted to be a mechanic. Barry was shocked, but he decided to support his daughter. Barry's daughter is now a successful car mechanic for Toyota.",1.0,content_diversity,Barry is proud and brags about her all the time.,She is a great role model for other women who want to be mechanics.,"It's sometimes hard to be a woman mechanic, but she loves it anyway.","The guys she works with are great and supportive, too.",The guys she works with are jerks and that is annoying.,-0.068,0.884,-0.289,-0.738,-0.412,27.645625,0.417240,0.517792,14.314688,0.216044,36.502727,0.766377,0.000000,18.900826,0.396824
test.sa-sb.sa-b::00844,"Tim was walking into the office. He noticed someone was behind him. He decided to hold the door open for them. They were too far away, though.",0.0,content_diversity,Tim was embarrassed that he was standing there like a fool.,Tim tried to pretend he didn't feel dumb holding the door.,He wished he hadn't held the door as he felt foolish.,Tim remembered that trying to hold the door often made him feel awkward.,Tim was resigned to looking a little silly.,-0.052,0.925,-0.388,-0.893,-0.554,20.391875,0.243737,0.546410,11.142328,0.133180,28.846284,0.690159,0.000000,15.761903,0.377110
test.sa-sb.sa-b::00805,Sam is having a sleepover. Her friends are telling ghost stories. Sam hears a noise and screams. Her friends all laugh at her.,1.0,content_diversity,she was sad,she decides to scare her friends when they fell asleep,she decides to return the favor after,she laughs with them,"that night, she scares them one by one",-0.051,0.926,-0.201,-0.706,-0.300,17.058594,0.631781,0.351162,5.990337,0.221858,48.172395,2.476692,0.000000,16.916335,0.869721
test.sa-sb.sa-b::00825,It any business you have to keep track of your resources. I was helping a friend inventory his business. He could name every part number in his inventory from memory. I asked him to give me a list of his employees.,1.0,content_diversity,He had a hard time recollecting.,He new every name and their birthdays.,He could not name them without looking at his files.,He named them all off the top of his head.,He could not remember the names of his employees.,-0.053,0.920,-0.315,-0.762,-0.246,9.181719,0.184492,0.639946,5.875807,0.118065,53.858653,1.661152,0.000000,34.466648,1.063048
test.sa-sb.sa-b::00794,"My cat woke me up this morning. She jumped on my bed and started meowing in my face. I did not want to get up, but she wouldn't go away. Finally, I pulled off the covers and followed her to her food bowl.",0.0,content_diversity,The cat fooled me. She still had food from last night.,The cat didn't even need more food!,"I should learn not to fall for that, she always has food available.",I was mad to see that she didn't even need food.,"She still had some food, but I topped off the bowl.",-0.047,0.917,-0.302,-0.873,-0.373,30.203125,0.540499,0.459998,13.893373,0.248629,47.823319,0.255540,0.000000,21.998625,0.117548
test.sa-sb.sa-b::00795,"Renny had a favorite cup he used every day. One day she told her son to put it in the sink for her. Her son grabbed the cup and walked towards the sink. On his way there, he tripped on a toy that was left on the ground.",1.0,content_diversity,he fell,the cup broke,he was able to save the cup,he was in pain,he broke his arm,-0.061,0.903,-0.355,-0.731,-0.327,19.410234,1.153725,0.347592,6.746845,0.401026,24.124465,0.778509,0.000000,8.385474,0.270604
test.sa-sb.sa-b::00828,The man stole a watch from his friend. He wore the watch out on the town. His friend recognized the watch. He asked to have it back.,1.0,content_diversity,the man gives it back,the man refuse to give it back,the police arrest the thief who refuse to return the watch,he was caught red handed,they got into a fight,-0.040,0.924,-0.290,-0.662,-0.147,29.387344,0.684134,0.463859,13.631589,0.317342,43.872339,0.647886,0.000000,20.350587,0.300528
test.sa-sb.sa-b::00864,Karl went to an Indian restaurant. It was his first time eating such food. He tried a few different things. Everything tasted good to him.,0.0,content_diversity,Karl learned to cook Indian food himself.,Karl studied Indian cooking and cooked at home.,Karl signed up for a class that taught methods of Indian cooking.,Karl and a friend took an Indian cooking class together.,Karl liked it so much that he studied Indian cooking techniques.,-0.083,0.909,-0.506,-0.978,-0.768,22.353125,0.413526,0.556588,12.441489,0.230164,37.870359,0.345563,0.000000,21.078201,0.192336
test.sa-sb.sa-b::00889,Liz was out on a date. She was nervous at dinner. She only got a small amount of food. Even that she cold barely eat.,0.0,content_diversity,she was so hungry,she was starving,"afterward, her hunger pain her",her stomach is growling,she feel the pain of starvation,-0.039,0.934,-0.300,-0.901,-0.702,21.453828,0.972290,0.411395,8.825995,0.399995,73.266152,2.032449,0.000000,30.141320,0.836139
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,1.0,content_diversity,He called all his friends to tell them.,He was so happy he cried.,He realized he didn't really like acting very much so he quit.,His family was so proud they threw him a party.,His friend was jealous and they drifted apart.,-0.033,0.949,-0.280,-0.707,-0.263,9.371406,0.147902,0.571054,5.351577,0.084460,52.148550,0.737553,0.000000,29.779625,0.421182
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,0.0,content_diversity,He went home and told everyone he knew.,He was so excited that he called a ton of people to tell them.,He had to let everyone know asap.,Ben was super excited to share the news.,Ben had a great evening letting everyone know.,-0.040,0.937,-0.385,-0.799,-0.571,15.347500,0.471978,0.502856,7.717576,0.237337,36.593308,0.730296,0.000000,18.401150,0.367234
test.sa-sb.sa-b::00840,I was walking down by the tracks the other day. There were a lot of pretty trees down by the tracks. I saw a few trains roll by. I had a great time outdoors that day.,0.0,content_diversity,I want to walk around this area again.,"I will walk by the tracks this weekend, when the weather is nice.","The walk was so pleasant, I decided to do it again soon.",I am going to walk this path tomorrow.,This walk will become one of my new favorites.,-0.051,0.940,-0.392,-0.925,-0.559,28.526250,0.546013,0.538733,15.368025,0.294155,26.531653,0.273012,0.000000,14.293471,0.147081
test.sa-sb.sa-b::00850,"Gabe was sitting in his school cafeteria eating his lunch. Suddenly, a female student sat his table. She began to talk to him. Gabe was surprised that someone wanted to talk to him.",0.0,content_diversity,she was pretty,she was good looking,he thinks she is very beautiful,he finds her look mesmerizing,he was drawn to her,-0.053,0.928,-0.358,-0.711,-0.695,35.939766,1.389444,0.334535,12.023124,0.464818,37.584622,0.840876,0.000000,12.573387,0.281303
test.sa-sb.sa-b::00854,Larry was at the store. He was looking at glassware for his wife. He accidentally bumped into a display of jars. They all fell over and shattered.,1.0,content_diversity,he had to pay for the damages,he was also hurt,he was distraught,he apologize to the store owner,the store owner was not happy with the outcome,-0.077,0.889,-0.300,-0.682,-0.368,9.329062,0.791699,0.436349,4.070732,0.345457,37.433830,1.523963,0.000000,16.334232,0.664980
test.sa-sb.sa-b::00854,Larry was at the store. He was looking at glassware for his wife. He accidentally bumped into a display of jars. They all fell over and shattered.,0.0,content_diversity,he was cut,he got cut,he got damages all over his body,glass shards inflict wound on him,he was badly wounded,-0.061,0.926,-0.346,-0.739,-0.412,34.456797,1.749346,0.227613,7.842819,0.398174,72.878929,1.248134,0.000000,16.588199,0.284092
test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,1.0,content_diversity,We looked forward to the rest of the series.,This series would be discontinued.,The book was a fun way for us to connect.,I performed the characters using different voices to entertain her.,This would become her favorite book.,-0.025,0.955,-0.301,-0.699,-0.233,23.468750,0.488623,0.509991,11.968855,0.249193,64.329047,0.732355,0.000000,32.807246,0.373494
test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,0.0,content_diversity,"The future of this series was bleak, it would be discontinued.",The book was the first and last of the series.,The book series was discontinued soon after.,We did not know that the series would be discontinued in the future.,The book series would not last long.,-0.103,0.856,-0.407,-0.915,-0.508,31.474062,0.577292,0.494216,15.554999,0.285307,56.830284,0.649743,0.000000,28.086461,0.321113
test.sa-sb.sa-b::00799,I was walking with my foreign language exchange partner. We exchanged a few words. She made a small grammar mistake in her speech. I politely corrected her.,1.0,content_diversity,she said thank you,we continue practicing,she decided we should get ice cream,we had lots of fun,she teach me some foreign language too,-0.023,0.969,-0.172,-0.646,-0.164,19.935000,0.997426,0.360275,7.182079,0.359347,52.700359,0.557709,0.000000,18.986614,0.200928
test.sa-sb.sa-b::00843,Ginger took her son to the park one day. When they got there they found a dog. They have been wanting a dog so finding the dog made them happy. But when they started petting the dog they noticed something alarming.,1.0,content_diversity,the dog was missing a leg,the dog was hurt,the dog was a new breed,the dog has a tag,the dog can not see,-0.182,0.826,-0.443,-0.817,-0.415,15.030781,0.759283,0.365107,5.487844,0.277220,27.000735,1.583887,0.000000,9.858158,0.578288
test.sa-sb.sa-b::00877,The man ate some bread. The bread tasted weird. He looked at the bread. It was visibly moldy.,1.0,content_diversity,He kept eating despite this.,He threw the bread in the trash.,He donated it to a local charity organization.,He stopped eating the bread.,He contacted the store about the bread about a refund as it was a recent purchase.,-0.064,0.916,-0.370,-0.765,-0.209,-29.305234,-0.296035,0.617679,-18.101218,-0.182854,151.104385,1.416405,0.000000,93.333957,0.874883
test.sa-sb.sa-b::00808,"For Haun, snacks are important for watching movies. He gets the same snacks every time he's at the cinema. Haun orders lemonade, popcorn, and gummy bears. Today he also got a hot dog.",1.0,content_diversity,they were delicious,he stuffed himself in the movie,"after eating, he fell asleep in the movie","the movie was boring, but the food was good",he spill his food,-0.051,0.899,-0.250,-0.744,-0.265,36.347813,0.753759,0.298105,10.835473,0.224699,30.074157,2.569877,0.000000,8.965263,0.766094
