sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_gpt2,metric_icl_E_rate_gpt2,metric_icl_C_gpt2,metric_icl_D_gpt2,metric_icl_D_rate_gpt2,metric_icl_E_gpt2_std,metric_icl_E_rate_gpt2_std,metric_icl_C_gpt2_std,metric_icl_D_gpt2_std,metric_icl_D_rate_gpt2_std
test.enc.prompt.txt::01251,It's a good,1.0,content_diversity,day to go shopping.,day to plan a wedding.,day to get some chores done.,time to invest in the stock market.,time to get some work done.,-0.094,0.874,-0.445,-0.737,-0.329,25.834254,1.029575,0.435723,11.256569,0.448609,24.934918,0.716191,0.000000,10.864708,0.312061
test.enc.prompt.txt::01251,It's a good,0.0,content_diversity,day outside. Let's go shopping.,time to get some shopping done.,time to go shopping.,day for shopping.,day for going shopping.,-0.100,0.874,-0.599,-0.967,-0.801,25.834254,1.029575,0.435723,11.256569,0.448609,24.934918,0.716191,0.000000,10.864708,0.312061
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,-0.009,0.974,-0.105,-0.601,-0.125,-12.967300,-0.087361,0.427836,-5.547882,-0.037376,120.006093,1.750675,0.000000,51.342968,0.749002
test.enc.prompt.txt::01252,It seems your,0.0,content_diversity,sweet little kitten adores getting attention!,"cat is begging for attention, so have you been giving her any?",cat is very sociable and friendly around other people!,"kitty is extremely affectionate, what a sweetheart!",time spent with your cat isn’t enough because she is starved for attention.,-0.021,0.970,-0.252,-0.840,-0.458,-12.967300,-0.087361,0.427836,-5.547882,-0.037376,120.006093,1.750675,0.000000,51.342968,0.749002
test.enc.prompt.txt::01253,I wouldn't accept,1.0,content_diversity,anything but the truth,not loving you anymore,money from her,you leaving,mediocreness,-0.007,0.786,0.028,-0.564,-0.275,-3.809245,-0.454705,0.397240,-1.513186,-0.180627,32.984088,3.575793,0.000000,13.102610,1.420449
test.enc.prompt.txt::01253,I wouldn't accept,0.0,content_diversity,i dont want you leave,cannot think of you going,the thought of you going sucks,wow i dont want you to go,please dont say you're laving me,-0.090,0.850,-0.259,-0.791,-0.559,-3.809245,-0.454705,0.397240,-1.513186,-0.180627,32.984088,3.575793,0.000000,13.102610,1.420449
test.enc.prompt.txt::01254,In a magazine,1.0,content_diversity,so many pages,theres lots of advertisements,i saw there was a model who was pretty,there was a car,that was boring,-0.038,0.919,-0.183,-0.636,-0.191,23.213924,0.570921,0.438644,10.182643,0.250431,53.741812,0.613991,0.000000,23.573511,0.269324
test.enc.prompt.txt::01254,In a magazine,0.0,content_diversity,a lot of pages were inside of it,there were many pages,a bunch of pages were inside,there were alot of paper pages,i think there was a lot of content on the pages,-0.129,0.829,-0.513,-0.955,-0.703,23.213924,0.570921,0.438644,10.182643,0.250431,53.741812,0.613991,0.000000,23.573511,0.269324
test.enc.prompt.txt::01255,I don't know...,1.0,content_diversity,why this happens,think so,know anyone who can,what time it is,where it went,-0.006,0.787,-0.137,-0.629,-0.350,5.759679,0.268715,0.503382,2.899318,0.135266,14.616796,0.618353,0.000000,7.357830,0.311268
test.enc.prompt.txt::01255,I don't know...,0.0,content_diversity,not sure why this keeps happening,why does this keep occurring,can this stop happening,i cant belive it keeps happening,why did it keep happening,-0.062,0.914,-0.445,-0.872,-0.652,5.759679,0.268715,0.503382,2.899318,0.135266,14.616796,0.618353,0.000000,7.357830,0.311268
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,-0.027,0.547,-0.154,-0.637,-0.249,5.320133,0.311286,0.412647,2.195339,0.128451,21.824642,2.084248,0.000000,9.005879,0.860059
test.enc.prompt.txt::01256,Why do you,0.0,content_diversity,how come you constantly do the same thing,you always do this,cant just do that,always do these things,do that to yourself,-0.071,0.921,-0.226,-0.803,-0.428,5.320133,0.311286,0.412647,2.195339,0.128451,21.824642,2.084248,0.000000,9.005879,0.860059
test.enc.prompt.txt::01257,Don't you think,1.0,content_diversity,you should check?,you should hear him out?,you've done enough?,it's time to quit?,it's time to try again?,-0.051,0.890,-0.390,-0.716,-0.380,13.150721,0.696442,0.467599,6.149262,0.325656,33.842191,1.635566,0.000000,15.824568,0.764789
test.enc.prompt.txt::01257,Don't you think,0.0,content_diversity,it's time to go?,this is the end?,it's pointless to go on?,it's the end of the road?,it's time to move on?,-0.071,0.890,-0.469,-0.809,-0.565,13.150721,0.696442,0.467599,6.149262,0.325656,33.842191,1.635566,0.000000,15.824568,0.764789
test.enc.prompt.txt::01258,You know what,1.0,content_diversity,"I've had enough, I'm, out of here.",I really think I like the bigger one better than the smaller one.,you have some knid of nerve coming here today.,"I think you are really, really dumb.",this is used for? I bet you can't guess.,-0.025,0.951,-0.092,-0.675,-0.204,6.485132,-0.029947,0.385290,2.498657,-0.011538,73.211004,1.755384,0.000000,28.207473,0.676332
test.enc.prompt.txt::01258,You know what,0.0,content_diversity,I'd go for the big one over the small one.,I think the small one isn't as good as the bigger one.,I really think the bigger one is the best of the two.,I would choose the big one over the small one every time.,"I like the bigger one much better than the smaller one,",-0.185,0.782,-0.537,-0.935,-0.584,6.485132,-0.029947,0.385290,2.498657,-0.011538,73.211004,1.755384,0.000000,28.207473,0.676332
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,-0.089,0.885,-0.266,-0.667,-0.282,10.009615,0.389646,0.535426,5.359406,0.208626,22.405236,1.023764,0.000000,11.996341,0.548150
test.enc.prompt.txt::01259,Where the hell,0.0,content_diversity,you think we're gonna go,you think we're heading,you think we will go,you believe we're going,you think we're headed to,-0.172,0.818,-0.562,-0.921,-0.772,10.009615,0.389646,0.535426,5.359406,0.208626,22.405236,1.023764,0.000000,11.996341,0.548150
test.enc.prompt.txt::01260,May I ask,1.0,content_diversity,where did you get this number?,how did you find me,how did you get your driving license,how didn't you see him crossing the road,do you like eggs,-0.087,0.888,-0.297,-0.675,-0.250,5.099167,-0.227313,0.549512,2.802055,-0.124912,46.121266,1.798755,0.000000,25.344207,0.988438
test.enc.prompt.txt::01260,May I ask,0.0,content_diversity,how did you get my number,who gave you my phone number,how did you acquire this number,who told you my number,where did you find my phone number,-0.148,0.817,-0.501,-0.906,-0.747,5.099167,-0.227313,0.549512,2.802055,-0.124912,46.121266,1.798755,0.000000,25.344207,0.988438
test.enc.prompt.txt::01261,"Like you said,",1.0,content_diversity,you shouldn't drink and drive,you should end things up with him,you can't focus,you need to train harder,you believe in love on first sight,-0.039,0.970,-0.192,-0.675,-0.143,-3.817748,0.206774,0.438122,-1.672639,0.090592,59.180537,1.091477,0.000000,25.928288,0.478200
test.enc.prompt.txt::01261,"Like you said,",0.0,content_diversity,you should break u with him,you should leave him,you can't be in relationship with him,you need to get away from him,you can't stay together,-0.082,0.902,-0.420,-0.749,-0.525,-3.817748,0.206774,0.438122,-1.672639,0.090592,59.180537,1.091477,0.000000,25.928288,0.478200
test.enc.prompt.txt::01262,How many questions,1.0,content_diversity,can you possibly have?,are on the test?,are on the intake form?,does she have for me?,am I allowed to ask?,-0.033,0.936,-0.317,-0.715,-0.403,15.736703,0.753315,0.406935,6.403808,0.306550,31.062306,1.300394,0.000000,12.640326,0.529175
test.enc.prompt.txt::01262,How many questions,0.0,content_diversity,can I ask?,can I give to you?,can I request?,is reasonable to ask?,is it OK for me to have?,-0.079,0.904,-0.369,-0.827,-0.670,15.736703,0.753315,0.406935,6.403808,0.306550,31.062306,1.300394,0.000000,12.640326,0.529175
test.enc.prompt.txt::01263,I kinda get,1.0,content_diversity,what you mean,why you like him,what so great,the resemblense,hype about it,-0.012,0.773,-0.079,-0.613,-0.419,6.974811,0.474065,0.386028,2.692470,0.183002,51.017537,3.282258,0.000000,19.694177,1.267042
test.enc.prompt.txt::01263,I kinda get,0.0,content_diversity,i see why you,"now i see why , hes really cute","i get it now, why","kinda get why, hes cute",oh i mean i get why you do,-0.092,0.871,-0.272,-0.817,-0.601,6.974811,0.474065,0.386028,2.692470,0.183002,51.017537,3.282258,0.000000,19.694177,1.267042
test.enc.prompt.txt::01264,Maybe you're fed,1.0,content_diversity,up with your boss,so completely you'll not eat for hours,by a great chef,loan will be here soon,holiday will be paid this year,-0.012,0.975,-0.066,-0.587,-0.135,6.195526,0.557362,0.417621,2.587384,0.232766,54.587210,1.345347,0.000000,22.796782,0.561846
test.enc.prompt.txt::01264,Maybe you're fed,0.0,content_diversity,payment will be processed quickly,money will show in your bank account by the end of the day,cash will arrive soon,credit will not give you reason for patience,advance will get to you within the hour,-0.035,0.963,-0.321,-0.781,-0.413,6.195526,0.557362,0.417621,2.587384,0.232766,54.587210,1.345347,0.000000,22.796782,0.561846
test.enc.prompt.txt::01265,"Eve, I don't",1.0,content_diversity,think you have the skills for the job.,think you want to make any hasty decisions.,want you to leave.,think you should stay with your husband.,think you should keep using drugs.,-0.084,0.896,-0.323,-0.768,-0.121,7.618112,0.324893,0.498573,3.798189,0.161983,35.455029,0.694054,0.000000,17.676938,0.346037
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,-0.147,0.774,-0.476,-0.934,-0.636,7.618112,0.324893,0.498573,3.798189,0.161983,35.455029,0.694054,0.000000,17.676938,0.346037
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",0.000,1.000,-0.242,-0.670,-0.221,8.964254,0.971090,0.308280,2.763497,0.299367,49.150546,1.876394,0.000000,15.152110,0.578454
test.enc.prompt.txt::01266,Get out of,0.0,content_diversity,my home.,my bedroom.,my abode.,my kitchen.,"my home, please.",-0.093,0.527,-0.469,-0.821,-0.650,8.964254,0.971090,0.308280,2.763497,0.299367,49.150546,1.876394,0.000000,15.152110,0.578454
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,-0.013,0.974,-0.003,-0.644,-0.158,0.610085,0.015584,0.395800,0.241472,0.006168,73.447281,1.459397,0.000000,29.070441,0.577630
test.enc.prompt.txt::01267,"Say,...did you just",0.0,content_diversity,grab my coffee thinking it was yours?,think that coffee was yours because it's mine.,pick up my cup of tea by mistake?,take my cup of coffee in error?,take my cofee thinking it was yours?,-0.086,0.861,-0.335,-0.903,-0.522,0.610085,0.015584,0.395800,0.241472,0.006168,73.447281,1.459397,0.000000,29.070441,0.577630
test.enc.prompt.txt::01268,What's wrong with,1.0,content_diversity,you? Has someone died?,the idea? Have you a better one?,"it? I'll tell you what's wrong with it, it's hideous.",wanting things to go my way for a change huh?,the car? Is it the battery again?,-0.010,0.979,-0.088,-0.638,-0.215,20.852139,0.293993,0.346190,7.218810,0.101777,42.372048,0.788273,0.000000,14.668796,0.272893
test.enc.prompt.txt::01268,What's wrong with,0.0,content_diversity,"you, has your dog died?","your face, you look so sad, has someone croaked?",your eyes? Are you crying? Did he die?,"You, you lost a relative or something?","you, why so sad? Did something bad happen?",-0.027,0.957,-0.214,-0.709,-0.591,20.852139,0.293993,0.346190,7.218810,0.101777,42.372048,0.788273,0.000000,14.668796,0.272893
test.enc.prompt.txt::01269,Yes! Yes! The,1.0,content_diversity,others said the same thing,boss said we are gonna leave soon,dinner is almost ready,same thing happened to me,light is still on,-0.021,0.958,-0.199,-0.593,-0.237,6.088923,0.136389,0.571257,3.478338,0.077913,39.107750,0.840292,0.000000,22.340561,0.480023
test.enc.prompt.txt::01269,Yes! Yes! The,0.0,content_diversity,food will be done soon,we will be eating soon,its almost time for food,dinner will be served soon,we will eat dinner in a few,-0.076,0.899,-0.344,-0.878,-0.740,6.088923,0.136389,0.571257,3.478338,0.077913,39.107750,0.840292,0.000000,22.340561,0.480023
test.enc.prompt.txt::01270,I don't have,1.0,content_diversity,what you want.,the answers.,the time for this.,any money.,any patience right now.,-0.014,0.773,-0.359,-0.661,-0.401,6.268944,0.720398,0.405753,2.543644,0.292304,32.647883,0.905191,0.000000,13.246981,0.367284
test.enc.prompt.txt::01270,I don't have,0.0,content_diversity,anything to give you.,what you're asking for.,whatever it is you are looking for.,what you need.,anything you want.,-0.046,0.943,-0.344,-0.826,-0.603,6.268944,0.720398,0.405753,2.543644,0.292304,32.647883,0.905191,0.000000,13.246981,0.367284
test.enc.prompt.txt::01271,"Wait, Eve, please!",1.0,content_diversity,I love you!,You still haven’t paid for your dinner!,You forgot your purse!,Let me buy you a drink!,Come and try this delicious apple from the tree!,-0.008,0.986,-0.237,-0.674,-0.139,0.400780,0.354170,0.418512,0.167731,0.148224,109.965948,1.497821,0.000000,46.022035,0.626855
test.enc.prompt.txt::01271,"Wait, Eve, please!",0.0,content_diversity,"I would like to order a drink for you, if you’re interested.","You’re so beautiful, can I get you a beverage?",I need to find out more about you. Can I get you a martini or something?,Can we talk over drinks?,You have such a nice name. Can I grab you something to drink?,-0.055,0.916,-0.319,-0.927,-0.605,0.400780,0.354170,0.418512,0.167731,0.148224,109.965948,1.497821,0.000000,46.022035,0.626855
test.enc.prompt.txt::01272,I think it's,1.0,content_diversity,gonna rain,the best film i've seen,more than complicated,impossible to travel on mars,so ugly sweater,0.000,1.000,-0.085,-0.521,-0.138,2.435950,-0.287256,0.370081,0.901499,-0.106308,37.919822,1.957062,0.000000,14.033408,0.724272
test.enc.prompt.txt::01272,I think it's,0.0,content_diversity,the greatest movie i've seen,the most amazing movie i've seen,the coolest film of all time,fascinating movie,my favourite film,-0.053,0.896,-0.392,-0.892,-0.702,2.435950,-0.287256,0.370081,0.901499,-0.106308,37.919822,1.957062,0.000000,14.033408,0.724272
test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,-0.094,0.517,-0.515,-0.766,-0.382,14.582682,1.255465,0.299354,4.365382,0.375828,21.812680,1.300499,0.000000,6.529710,0.389309
test.enc.prompt.txt::01273,Watching television in,0.0,content_diversity,my panties.,my boxers.,my undergarments.,my skivvies.,my briefs.,-0.100,0.320,-0.615,-0.783,-0.448,14.582682,1.255465,0.299354,4.365382,0.375828,21.812680,1.300499,0.000000,6.529710,0.389309
test.enc.prompt.txt::01274,Why not buy,1.0,content_diversity,in bulk,more toilet paper,his product,new book for uni,this fancy phone,0.000,0.800,-0.223,-0.582,-0.153,-1.884009,-0.132613,0.378131,-0.712403,-0.050145,37.231998,1.984632,0.000000,14.078589,0.750452
test.enc.prompt.txt::01274,Why not buy,0.0,content_diversity,new textbook,this book that is for your course,textbook for university,this new book that will help you at uni,textbook for your course at uni,-0.079,0.854,-0.285,-0.917,-0.673,-1.884009,-0.132613,0.378131,-0.712403,-0.050145,37.231998,1.984632,0.000000,14.078589,0.750452
test.enc.prompt.txt::01275,Who are these,1.0,content_diversity,people on my lawn?,guys in my house?,podcasts from Apple?,four members of the band?,new workers?,-0.005,0.989,-0.393,-0.677,-0.176,16.032767,0.641768,0.393750,6.312909,0.252697,17.670576,0.870061,0.000000,6.957797,0.342587
test.enc.prompt.txt::01275,Who are these,0.0,content_diversity,men in my home?,people in my living area?,individuals on my property?,humans in my chambers?,persons in my area?,-0.118,0.886,-0.655,-0.828,-0.576,16.032767,0.641768,0.393750,6.312909,0.252697,17.670576,0.870061,0.000000,6.957797,0.342587
test.enc.prompt.txt::01276,Adam? Don't even,1.0,content_diversity,think about it!,utter his name!,know who that is.,tell me.,want to see him.,0.000,0.800,-0.343,-0.687,-0.407,5.615619,0.337341,0.566046,3.178697,0.190950,14.175044,0.571882,0.000000,8.023722,0.323711
test.enc.prompt.txt::01276,Adam? Don't even,0.0,content_diversity,try it!,touch it!,think about doing that.,try.,touch.,-0.038,0.740,-0.452,-0.778,-0.582,5.615619,0.337341,0.566046,3.178697,0.190950,14.175044,0.571882,0.000000,8.023722,0.323711
test.enc.prompt.txt::01277,Because I want,1.0,content_diversity,to go on vacation.,this pandemic to be over.,to have children when I'm older.,you to shut up.,what's best for the family.,-0.026,0.975,-0.222,-0.628,-0.171,12.915616,0.481619,0.393982,5.088522,0.189749,46.207863,1.988272,0.000000,18.205074,0.783344
test.enc.prompt.txt::01277,Because I want,0.0,content_diversity,to be a mother in the future.,to have kids someday.,a family of my own.,my own offspring down the road.,babies in the coming years.,-0.037,0.930,-0.351,-0.781,-0.424,12.915616,0.481619,0.393982,5.088522,0.189749,46.207863,1.988272,0.000000,18.205074,0.783344
test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,-0.056,0.942,-0.218,-0.668,-0.176,3.881833,0.537130,0.440503,1.709959,0.236607,94.642818,2.095180,0.000000,41.690437,0.922933
test.enc.prompt.txt::01278,I didn't know,0.0,content_diversity,you're gay,you like same sex,you like people of same sex,you are homosexual,you like boys even if you're a boy,-0.067,0.897,-0.340,-0.770,-0.605,3.881833,0.537130,0.440503,1.709959,0.236607,94.642818,2.095180,0.000000,41.690437,0.922933
test.enc.prompt.txt::01279,It didn't used,1.0,content_diversity,to be that way,work before so i see why,to go out all of the time,get so cold this time of the year,"begin that way, it kinda happened",-0.022,0.954,-0.022,-0.672,-0.288,7.429450,0.446403,0.353012,2.622686,0.157586,56.354585,1.469475,0.000000,19.893857,0.518743
test.enc.prompt.txt::01279,It didn't used,0.0,content_diversity,why is it already getting col,it got cold faster than usual,its pretty cold out so sonn,its really cool already,i cant believe how cold it is already,-0.036,0.947,-0.083,-0.754,-0.339,7.429450,0.446403,0.353012,2.622686,0.157586,56.354585,1.469475,0.000000,19.893857,0.518743
test.enc.prompt.txt::01280,He has a,1.0,content_diversity,medical issue.,wife at home.,huge problem with me.,girlfriend already.,mental problem.,-0.007,0.785,-0.442,-0.656,-0.157,11.711104,0.646892,0.550829,6.450813,0.356327,22.884890,1.304395,0.000000,12.605655,0.718498
test.enc.prompt.txt::01280,He has a,0.0,content_diversity,huge issue with everyone including me.,big problem with me and the group.,problem with me that has turned gigantic.,gigantic issue with the fact I'm dating his ex.,enormous problem with me. He doesn't like me at all.,-0.094,0.890,-0.416,-0.900,-0.501,11.711104,0.646892,0.550829,6.450813,0.356327,22.884890,1.304395,0.000000,12.605655,0.718498
test.enc.prompt.txt::01281,The guy with,1.0,content_diversity,the big brown hat,curly red hair,a plate of food,a hole in his shirt,the big dog bouncing around,-0.019,0.959,-0.138,-0.584,-0.142,-3.337731,0.159989,0.435140,-1.452379,0.069618,37.820727,1.171392,0.000000,16.457299,0.509719
test.enc.prompt.txt::01281,The guy with,0.0,content_diversity,the playful german shepherd,the hyperactive large canine,the frisbee playing golden retriever,that really happy great pyrennees,a smiling poodle that is light on it's feet,-0.017,0.978,-0.152,-0.566,-0.257,-3.337731,0.159989,0.435140,-1.452379,0.069618,37.820727,1.171392,0.000000,16.457299,0.509719
test.enc.prompt.txt::01282,"Yep. You know,",1.0,content_diversity,they always act like that,I feel the same way,the beach is relaxing,having a job is a good thing,this pandemic has been bizarre,-0.008,0.977,-0.143,-0.575,-0.238,-12.948381,-0.261621,0.477923,-6.188325,-0.125035,64.926743,1.817626,0.000000,31.029962,0.868685
test.enc.prompt.txt::01282,"Yep. You know,",0.0,content_diversity,this virus has not followed norms in any way at all,there are just no models to predict how this epidemic will be,the things everyone is doing for this illness are just stranger than strange,I have never seen anything like covid-19,everything that has been happening with the pandemic has us in a new normal society,-0.016,0.969,-0.057,-0.638,-0.355,-12.948381,-0.261621,0.477923,-6.188325,-0.125035,64.926743,1.817626,0.000000,31.029962,0.868685
test.enc.prompt.txt::01283,Then just help,1.0,content_diversity,me instead,everyone please,if you can,as best as you can,all of the kids only,-0.016,0.948,-0.136,-0.623,-0.370,-6.975751,-0.244615,0.542082,-3.781426,-0.132601,43.870617,1.858883,0.000000,23.781456,1.007666
test.enc.prompt.txt::01283,Then just help,0.0,content_diversity,i need everyone to please help,anyone can help,they all can help if they want to,anybody can help,"please, everyone can help",-0.121,0.885,-0.465,-0.891,-0.804,-6.975751,-0.244615,0.542082,-3.781426,-0.132601,43.870617,1.858883,0.000000,23.781456,1.007666
test.enc.prompt.txt::01284,I thought I,1.0,content_diversity,knew you i guess not,could trust you,called you this morning,told you about it,confirmed everything,-0.031,0.967,-0.068,-0.661,-0.364,3.903270,0.208256,0.531104,2.073042,0.110606,52.049609,2.572952,0.000000,27.643754,1.366505
