sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v3,metric_icl_E_rate_qwen25_completion_v3,metric_icl_C_qwen25_completion_v3,metric_icl_D_qwen25_completion_v3,metric_icl_D_rate_qwen25_completion_v3,metric_icl_E_qwen25_completion_v3_std,metric_icl_E_rate_qwen25_completion_v3_std,metric_icl_C_qwen25_completion_v3_std,metric_icl_D_qwen25_completion_v3_std,metric_icl_D_rate_qwen25_completion_v3_std
test.enc.prompt.txt::00427,test.enc.prompt.txt::00427,Flame-units only. I,0.0,content_diversity,Smoke extends into the atmosphere.,Crowds gather to watch the spectacle as firemen arrive.,People stand in awe and smoke escapes from the residence.,An ambulance arrives promptly at the scene.,People are dismayed as they hear sirens in the distance.,2.667,0.816,-0.032,0.966,-0.313,-0.721,-0.296,47.659688,0.937319,0.348411,16.605165,0.326572,34.285286,0.608342,0.000000,11.945375,0.211953
test.enc.prompt.txt::00435,test.enc.prompt.txt::00435,You've been doing,0.0,content_diversity,good therapy with the sad family members.,"a sort of Karma building thing, helping people who have dead relatives.","helping behavior, allowing people to work through stages of death.","family therapy, focusing on profound loss.","something to help pastors, add support to those left by dead.",2.778,1.030,-0.014,0.970,-0.268,-0.822,-0.376,10.963750,0.169527,0.363002,3.979862,0.061539,102.595344,1.061222,0.000000,37.242305,0.385226
test.enc.prompt.txt::00437,test.enc.prompt.txt::00437,Looks like you,1.0,content_diversity,did not get the memo!,got up on the wrong side of the bed today,have your work cut out for you with this one,could use a big hug,had a fun weekend,4.750,0.433,-0.010,0.982,0.010,-0.603,-0.157,14.135000,0.266481,0.464492,6.565589,0.123778,30.147479,1.705262,0.000000,14.003250,0.792080
test.enc.prompt.txt::00446,test.enc.prompt.txt::00446,They'd be here,1.0,content_diversity,if they weren't dead.,if they really cared.,again.,if you let them.,tomorrow.,3.889,0.809,-0.027,0.735,-0.432,-0.691,-0.301,-1.834609,0.228892,0.409631,-0.751513,0.093761,18.890494,2.771150,0.000000,7.738137,1.135149
test.enc.prompt.txt::00792,test.enc.prompt.txt::00792,I want you,1.0,content_diversity,to know,more than anything,LIKE YESTERDAY,to tell me the time,to call me later,3.889,1.197,-0.022,0.963,0.002,-0.652,-0.327,14.938906,1.063129,0.315793,4.717601,0.335729,40.332235,2.573904,0.000000,12.736633,0.812820
test.enc.prompt.txt::00795,test.enc.prompt.txt::00795,May I help,1.0,content_diversity,with that heavy box,you with your homework,his dad? he looks tired,building new house,with food rationing? I could volunteer,4.500,0.667,-0.013,0.982,-0.118,-0.577,-0.138,9.097344,0.938336,0.331721,3.017783,0.311266,76.933847,1.909139,0.000000,25.520602,0.633302
test.enc.prompt.txt::00806,test.enc.prompt.txt::00806,Not so much,1.0,content_diversity,lately,"sugar, it is too sweet","time, you should be done sooner","perfume, it doesn't smell good","money, it is too expensive",4.667,0.471,-0.037,0.925,-0.264,-0.670,-0.212,40.518203,1.080845,0.318437,12.902508,0.344181,43.250554,5.412956,0.000000,13.772590,1.723687
test.enc.prompt.txt::00811,test.enc.prompt.txt::00811,The Prospero Project,0.0,content_diversity,isn't good at all,in my honest opinion is worthless,isn't relevant,shouldn't be considered good,is not worth at all,2.214,0.647,-0.030,0.940,-0.238,-0.710,-0.683,25.042344,1.162312,0.295398,7.397450,0.343344,35.342807,0.983529,0.000000,10.440183,0.290532
test.enc.prompt.txt::00824,test.enc.prompt.txt::00824,Privately owned by,1.0,content_diversity,the Gates family.,whoever wants to own it.,them and you cannot trespass.,that old family and rumored to be haunted.,the people that lost their son in the war.,4.389,0.774,-0.020,0.960,-0.206,-0.612,-0.177,6.635938,0.241745,0.414535,2.750829,0.100212,53.896581,1.060667,0.000000,22.342022,0.439683
test.enc.prompt.txt::00825,test.enc.prompt.txt::00825,You're not venturing,0.0,content_diversity,around the forest without me.,into the woods alone without protection.,around the wilds of Alaska without the rest of the team.,"out, into the wilderness, alone.","alone, into a wild area filled with bears.",2.562,0.464,-0.060,0.918,-0.431,-0.810,-0.602,12.360000,0.200196,0.487095,6.020492,0.097514,47.581768,0.817127,0.000000,23.176833,0.398018
test.enc.prompt.txt::00827,test.enc.prompt.txt::00827__row52,I was hoping,1.0,content_diversity,you could take me out for a dinner,i wouldn't have to see him,you could borrow me some money,he has changed,i wouldn't have to do whole project by myself,4.750,0.250,-0.045,0.897,-0.175,-0.630,-0.187,15.728438,0.989376,0.439376,6.910696,0.434708,47.051035,1.460824,0.000000,20.673089,0.641851
test.enc.prompt.txt::00827,test.enc.prompt.txt::00827__row53,I was hoping,0.0,content_diversity,you could lend me money,i could borrow money from you,you can give me some money,"you can lend me money, I'll pay you back",you can give me money and I'll pay back,1.833,0.745,-0.133,0.819,-0.558,-0.963,-0.820,20.111719,0.683009,0.488224,9.819029,0.333461,33.046680,0.769482,0.000000,16.134192,0.375680
test.enc.prompt.txt::00833,test.enc.prompt.txt::00833,I don't want,0.0,content_diversity,to be with you,go out on a date with you,to date you,have a date with you,to go anywhere with you,1.857,0.515,-0.158,0.788,-0.407,-0.839,-0.548,11.532930,0.756371,0.458681,5.289938,0.346933,21.258195,0.656006,0.000000,9.750735,0.300898
test.enc.prompt.txt::00834,test.enc.prompt.txt::00834,I'm ready to,0.0,content_diversity,let it go when you apologise,forgive when you say sorry,forgive when you apologise to me,let it go once you apologise,let it go if you say sorry first,1.643,0.350,-0.178,0.758,-0.507,-0.906,-0.742,42.972187,1.498536,0.371054,15.945023,0.556039,20.004060,0.589165,0.000000,7.422596,0.218612
test.enc.prompt.txt::00841,test.enc.prompt.txt::00841,"Cole, we've got",1.0,content_diversity,a big problem.,lots of money on hand.,a ton of vacation time to take.,to fire him.,the crown jewels.,4.857,0.226,-0.012,0.971,-0.262,-0.622,-0.210,6.160781,-0.086264,0.428945,2.642634,-0.037002,31.072671,1.478043,0.000000,13.328453,0.633999
test.enc.prompt.txt::00857,test.enc.prompt.txt::00857,Screw you... Screw,0.0,content_diversity,screw all of the existence of everything i guess,you and everyone else can go away,"screw me, i did it again","you, you'r a screw up","i cant , so screw you",3.375,1.083,-0.030,0.958,-0.012,-0.768,-0.391,11.289062,0.335045,0.309325,3.491985,0.103638,46.015751,1.801260,0.000000,14.233805,0.557174
test.enc.prompt.txt::00859,test.enc.prompt.txt::00859__row58,Sounds swell... I'm,1.0,content_diversity,heading there myself,gonna get going,not very interested..,really tired so goodbye,really hungry,4.000,0.408,-0.007,0.787,-0.107,-0.633,-0.259,17.590312,0.742908,0.410234,7.216151,0.304766,34.110507,0.865606,0.000000,13.993302,0.355101
test.enc.prompt.txt::00859,test.enc.prompt.txt::00859__row59,Sounds swell... I'm,0.0,content_diversity,on my way there,going there myself,leaving to go there right after,going up there too,leaving to go there too,1.938,0.165,-0.107,0.809,-0.246,-0.870,-0.556,25.227578,1.067398,0.390864,9.860543,0.417207,18.041475,0.780053,0.000000,7.051756,0.304894
test.enc.prompt.txt::00862,test.enc.prompt.txt::00862,What can I,1.0,content_diversity,"say, I've got the best family",do to help out a little more,give you to find out about the hotel,"have, are there choices?",every do to repay you?,4.500,0.471,-0.022,0.959,-0.090,-0.656,-0.251,3.789688,-0.163141,0.354192,1.342277,-0.057783,33.606044,1.835153,0.000000,11.902991,0.649997
test.enc.prompt.txt::00864,test.enc.prompt.txt::00864,You want to,1.0,content_diversity,put all the ingredients in the bowl first.,go to the park while it's warm out?,go to dinner with all of us?,make sure the edges are straight before cutting.,do all that you can to make sure it's correct.,4.611,0.393,-0.041,0.935,-0.080,-0.653,-0.198,10.578750,0.574484,0.428355,4.531456,0.246083,26.218268,1.043465,0.000000,11.230714,0.446973
test.enc.prompt.txt::00867,test.enc.prompt.txt::00867,You're all under,0.0,content_diversity,the insurance coverage,protection in time of need.,the insurance protection,the same plan,the protection of your policy,1.778,0.416,-0.070,0.912,-0.226,-0.813,-0.393,14.417656,0.647788,0.438551,6.322878,0.284088,49.553210,2.269465,0.000000,21.731612,0.995276
test.enc.prompt.txt::00869,test.enc.prompt.txt::00869,I'm not really,0.0,content_diversity,interested in buying this,in the market for your product,considering buying,in a position to buy anything,seeing a need to buy this,1.938,0.165,-0.037,0.931,-0.262,-0.854,-0.649,13.420703,0.581633,0.529015,7.099752,0.307692,26.745279,0.937207,0.000000,14.148651,0.495797
test.enc.prompt.txt::00872,test.enc.prompt.txt::00872,How the hell,1.0,content_diversity,did he get here before me,do you lose a dog,is this possible,can you be late every single day,did he break free from solitary,4.722,0.342,-0.014,0.969,-0.148,-0.596,-0.318,-4.704531,0.069608,0.494427,-2.326045,0.034416,41.183036,1.369324,0.000000,20.361988,0.677030
test.enc.prompt.txt::00880,test.enc.prompt.txt::00880,"Jesus, it's too",1.0,content_diversity,"big, it's not going to fit.",much to do in a short time,hard to make them all straight,cold to do anything outside,long of a show to sit through,4.389,0.515,-0.043,0.954,-0.117,-0.632,-0.343,0.417188,0.013170,0.472075,0.196944,0.006217,37.115043,1.222969,0.000000,17.521084,0.577333
test.enc.prompt.txt::00884,test.enc.prompt.txt::00884,"-- Stephen, wait",0.0,content_diversity,your doing it wrong,you didn't do it right,that's not how you do it,it's not correct,your doing it incorretly.,1.938,0.726,-0.076,0.875,-0.301,-0.795,-0.671,22.823281,1.238771,0.322628,7.363433,0.399663,44.160657,1.574958,0.000000,14.247471,0.508126
test.enc.prompt.txt::00885,test.enc.prompt.txt::00885,Don't tell them,0.0,content_diversity,no problem my lips are sealed,cool i get to keep a secret,ok no telling from me,why can't i tell again?,i will definetly not tell anyone,3.000,0.577,-0.017,0.972,-0.102,-0.709,-0.379,37.029063,1.692513,0.236537,8.758739,0.400342,29.562434,1.790955,0.000000,6.992606,0.423627
test.enc.prompt.txt::00889,test.enc.prompt.txt::00889,Will you please,0.0,content_diversity,quit bothering me,end your constant attempts to upset me,desist in attacking my emotions,leave me alone,kill all the annoying things your are doing,2.889,0.614,-0.018,0.977,-0.195,-0.729,-0.504,14.323437,0.736403,0.409293,5.862480,0.301404,84.664665,1.356744,0.000000,34.652637,0.555305
test.enc.prompt.txt::01574,test.enc.prompt.txt::01574__row69,"Oh, I'm sorry.",1.0,content_diversity,I shouldn't have said that,I didn't know that,"however, you can still help",i thought that was your grandma,i will never do it again,3.944,0.797,-0.020,0.969,-0.097,-0.602,-0.227,19.298203,0.683982,0.495231,9.557069,0.338729,51.044055,1.601496,0.000000,25.278601,0.793111
test.enc.prompt.txt::01574,test.enc.prompt.txt::01574__row70,"Oh, I'm sorry.",0.0,content_diversity,I could apologise,I should have rephrased it,i should have wrapped it up different,It would be better if I kept my mouth shut,I had to be quiet,3.500,0.782,-0.041,0.945,-0.211,-0.693,-0.345,19.886250,0.138106,0.443403,8.817632,0.061237,39.345979,1.756326,0.000000,17.446143,0.778761
test.enc.prompt.txt::01578,test.enc.prompt.txt::01578,I just thought,0.0,content_diversity,it would be my secret forever.,I could take it to my grave,it was long buried and gone.,the vault would keep it safe.,it was between me and my gods.,2.833,0.943,-0.054,0.936,-0.255,-0.732,-0.278,22.027813,0.809157,0.370049,8.151372,0.299428,31.676700,1.060148,0.000000,11.721934,0.392307
test.enc.prompt.txt::01586,test.enc.prompt.txt::01586,Most guys tuck,1.0,content_diversity,"their shirt in these days, its the fashion.",into their food too quickly.,their gear under the bed but you can use that cupboard as well.,like this just before they jump.,the envelope in rather than lick it and seal it.,4.778,0.478,-0.015,0.971,-0.134,-0.551,-0.161,8.114688,0.091761,0.483842,3.926229,0.044398,56.104917,0.589796,0.000000,27.145932,0.285368
test.enc.prompt.txt::01588,test.enc.prompt.txt::01588,Can... can... Can,1.0,content_diversity,he still see?,you shut up?,you make dinner?,you go away?,you tell me more?,4.556,0.550,-0.037,0.762,-0.351,-0.702,-0.237,-7.779609,-0.463700,0.403691,-3.140556,-0.187191,24.101730,1.964096,0.000000,9.729644,0.792887
