sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion,metric_icl_E_rate_qwen25_completion,metric_icl_C_qwen25_completion,metric_icl_D_qwen25_completion,metric_icl_D_rate_qwen25_completion,metric_icl_E_qwen25_completion_std,metric_icl_E_rate_qwen25_completion_std,metric_icl_C_qwen25_completion_std,metric_icl_D_qwen25_completion_std,metric_icl_D_rate_qwen25_completion_std
test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",1.0,content_diversity,it was a pretty girl,it was someone I never met before,we soon became friends,we started to talk,we went outside and get some food,-0.023,0.961,-0.186,-0.651,-0.262,-4.942812,-0.035197,0.626898,-3.098641,-0.022065,38.143500,0.706364,0.000000,23.912101,0.442819
test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",0.0,content_diversity,a girl bought the drink for me,it was a cute girl,the stranger was a beautiful girl,the buyer for the drink was a woman,it was an attractive lady,-0.089,0.879,-0.440,-0.675,-0.474,19.275000,0.638572,0.620545,11.961000,0.396263,34.817340,0.816222,0.000000,21.605717,0.506502
test.sa-sb.sa-b::00798,Adam was a bad kid. He was always making trouble. One day while riding on the school bus. Adam starts picking on a kid and won't stop bullying him.,1.0,content_diversity,the kid cry,adam was disciplined,someone interfere,he felt bad after,adam was taken into the police custody,-0.019,0.954,-0.228,-0.639,-0.271,1.641406,0.474913,0.488396,0.801656,0.231946,35.713766,0.833701,0.000000,17.442454,0.407176
test.sa-sb.sa-b::00798,Adam was a bad kid. He was always making trouble. One day while riding on the school bus. Adam starts picking on a kid and won't stop bullying him.,0.0,content_diversity,the kid was crying,the kid was sad,the kid wails,the kid adam bully shed tears,the kid was shedding so much tears from being bullied,-0.187,0.840,-0.504,-0.889,-0.635,9.306055,1.120956,0.427889,3.981956,0.479644,76.211306,2.057687,0.000000,32.609963,0.880461
test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,1.0,content_diversity,He decided to make his own breakfast at home instead.,He decided to skip breakfast and just wait for lunch.,He decided to call up his girlfriend and have her make breakfast for him.,He visited the nearest restaurant that served breakfast and ordered it.,He grabbed a snack instead.,-0.077,0.900,-0.415,-0.867,-0.432,17.115938,0.006739,0.605690,10.366955,0.004082,40.159489,1.262729,0.000000,24.324208,0.764823
test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,0.0,content_diversity,He made the decision to cook his own breakfast at home instead.,He cooked his own breakfast at home instead.,He made his own breakfast at home instead.,"Instead of going out for breakfast, he cooked it at home.",He prepared his own breakfast at home instead of going to a restaurant.,-0.346,0.672,-0.679,-0.988,-0.878,12.557500,0.348043,0.638551,8.018605,0.222243,39.135026,0.426002,0.000000,24.989712,0.272024
test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",1.0,content_diversity,"To my surprise, it was a local celebrity!",It was my high school enemy!,I was grateful for their help.,It was my best friend!,They helped me get on my way again.,-0.056,0.935,-0.314,-0.669,-0.282,5.826719,0.372860,0.586290,3.416144,0.218604,33.662599,0.907132,0.000000,19.736031,0.531842
test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,"Shockingly, it was my town's most popular radio DJ.","Amazingly, an A-list actor from my town had stopped to give aid.",A local musician had stopped to help.,The mayor had stopped.,I was amazed to see our town's quarterback!,-0.047,0.931,-0.291,-0.744,-0.256,21.787344,0.584420,0.440921,9.606501,0.257683,79.169974,0.880170,0.000000,34.907717,0.388086
test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,1.0,content_diversity,I play with it,I love it,it was so fun to play with,the owner was friendly,the dog had amazing agility,-0.040,0.928,-0.310,-0.643,-0.434,-2.974844,0.077431,0.558474,-1.661373,0.043243,39.658961,1.119650,0.000000,22.148503,0.625296
test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,0.0,content_diversity,I like it,I really like it,I have a warm feeling toward it,I really enjoy this dog,I have a loving feeling for this dog,-0.106,0.846,-0.516,-0.755,-0.658,24.987422,1.158817,0.453894,11.341653,0.525981,37.014895,0.606557,0.000000,16.800857,0.275313
test.sa-sb.sa-b::00822,Joy had always wanted to see the Grand Canyon. Her daughter recently moved to Phoenix and volunteered to drive. Joy flew to Phoenix. The two drove up to the Grand Canyon and saw it's majesty.,1.0,content_diversity,They were very happy and fulfilled,Joy had slipped and fell into the canyon,"Soon after, their friends joined them","In the canyon, an eagle tried to steal his hat",Clouds were low that day so they couldn't completely enjoy,-0.008,0.985,-0.127,-0.677,-0.126,0.090312,0.166106,0.553938,0.050028,0.092013,47.884284,0.450765,0.000000,26.524922,0.249696
test.sa-sb.sa-b::00822,Joy had always wanted to see the Grand Canyon. Her daughter recently moved to Phoenix and volunteered to drive. Joy flew to Phoenix. The two drove up to the Grand Canyon and saw it's majesty.,0.0,content_diversity,Joy had fell inside of the canyon,Joy had lost control and fell,Joy had lost the balance and slipped in the canyon,Joy hadn't been cautious so she fell in the canyon,Joy had fell down the canyon,-0.158,0.824,-0.519,-0.974,-0.709,41.741094,0.991028,0.426258,17.792483,0.422434,50.431448,0.650849,0.000000,21.496818,0.277430
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,1.0,content_diversity,she was glad to save some money,she went to the pool that evening,she went swimming soon after,she went to the beach,she likes how her body look in the new bikini,-0.099,0.886,-0.351,-0.775,-0.390,-0.607578,0.301318,0.532236,-0.323375,0.160372,72.066937,1.206646,0.000000,38.356585,0.642220
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,-0.057,0.904,-0.375,-0.845,-0.777,22.409688,0.827545,0.429265,9.619705,0.355236,49.724691,1.418467,0.000000,21.345093,0.608899
test.sa-sb.sa-b::00853,"Angelina has a medical condition. The Doctor prescribed her some daily medications. She has been taking them but has had some side effects. Some of them she can tolerate, and others are becoming intolerable.",1.0,content_diversity,She ultimately opted to stop taking the medication because they interfered too much in her life.,She spoke to her doctor about the issues she was having and he switched her medication.,"She wanted to try a different medication, but her doctor said no , so she switched doctors.","There was nothing that could be done about this, so she fell into a deep depression.",She tirelessly researched online alternatives to taking the medication and ended up switching to an herbal remedy that helped immensely.,-0.049,0.929,-0.358,-0.847,-0.432,1.466250,0.166675,0.630971,0.925161,0.105167,96.174935,0.411458,0.000000,60.683598,0.259618
test.sa-sb.sa-b::00853,"Angelina has a medical condition. The Doctor prescribed her some daily medications. She has been taking them but has had some side effects. Some of them she can tolerate, and others are becoming intolerable.",0.0,content_diversity,She was desperate and asked her doctor for a different medication but he refused.,"Her doctor was terrible, and had no sympathy when she asked for possible alternatives.",She had to switch doctors because her doctor would not help her find a different medication with less side effects.,She took matters into her own hands and got a new doctor when her doctor would not help her find a different medication.,"Her doctor tried to convince her that there were no other medications that treated her condition, but she knew better, and found a different doctor.",-0.119,0.828,-0.456,-0.923,-0.681,36.802187,0.393272,0.620610,22.839822,0.244069,62.984967,0.593603,0.000000,39.089129,0.368396
test.sa-sb.sa-b::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,1.0,content_diversity,He choked.,Tim cracked under the pressure.,"Tim found strength in the crowd's support, he finished with a perfect score.",The crowd cheered as Tim scored a perfect game.,The crowed moaned as Tim lost it all.,-0.030,0.944,-0.337,-0.773,-0.385,14.276250,0.033887,0.468187,6.683959,0.015866,87.108264,2.392103,0.000000,40.782985,1.119952
test.sa-sb.sa-b::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,0.0,content_diversity,"Tim became so anxious with the crowd watching him, he failed to get a perfect score.",Tim did not manage to get a perfect score.,Tim lost the game due to the pressure of having an audience.,Tim choked and lost.,Tim cracked under pressure.,-0.067,0.879,-0.408,-0.894,-0.603,20.308906,0.322694,0.514053,10.439862,0.165882,60.539674,1.411911,0.000000,31.120624,0.725798
test.sa-sb.sa-b::00860,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",1.0,content_diversity,they had a good time together,it was fun,the place was clean after,the living room was tidy again,it was a day of cleaning,-0.043,0.944,-0.320,-0.687,-0.451,7.180703,0.371230,0.594776,4.270911,0.220799,24.973885,0.850832,0.000000,14.853871,0.506054
test.sa-sb.sa-b::00860,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",0.0,content_diversity,it was fun for them,they enjoy the day,they like the cleaning up,they thought it was great,they have a bonding experience,-0.043,0.939,-0.276,-0.699,-0.544,8.493359,0.481606,0.504301,4.283212,0.242875,27.378543,0.898767,0.000000,13.807035,0.453250
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,1.0,content_diversity,he quits smoking,he then ask her out,he was still rejected,the girl was long gone,he still could not quit,-0.038,0.955,-0.194,-0.594,-0.220,11.648047,0.585263,0.468598,5.458246,0.274253,27.595470,1.316864,0.000000,12.931169,0.617079
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,0.0,content_diversity,he no longer smokes,smoking is not with him anymore,he never touch cigarette again,he is not smoking anymore,smoking and him are two separate things now,-0.041,0.934,-0.337,-0.929,-0.686,12.085781,0.531038,0.526599,6.364360,0.279644,53.849541,1.010108,0.000000,28.357112,0.531922
test.sa-sb.sa-b::00821,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",1.0,content_diversity,Those were sleepless nights,I want to play with them,I want them to talk to me,I thought they were my protectors,then one night they fell off the shelves,-0.030,0.941,-0.225,-0.646,-0.154,-1.122656,0.166488,0.633792,-0.711531,0.105519,29.165169,0.625808,0.000000,18.484657,0.396632
test.sa-sb.sa-b::00821,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",0.0,content_diversity,I had some sleepless night,there are nights I could not sleep,some nights I was awake,I miss sleeps sometimes,there are night I stay wide awake,-0.064,0.911,-0.291,-0.906,-0.605,21.221719,0.829559,0.446243,9.470040,0.370185,29.841115,1.393066,0.000000,13.316384,0.621646
test.sa-sb.sa-b::00865,Kate and her friends were visiting Las Vegas. They decided to go to a casino. Kate played various games for two hours. And she was down $100.,1.0,content_diversity,she was sad,that was little to lose in a place like vegas,her friends lost thousands,she decides she can win it back,she stop playing,-0.026,0.970,-0.124,-0.635,-0.242,17.562656,0.280797,0.471109,8.273927,0.132286,76.041729,0.541247,0.000000,35.823952,0.254987
test.sa-sb.sa-b::00865,Kate and her friends were visiting Las Vegas. They decided to go to a casino. Kate played various games for two hours. And she was down $100.,0.0,content_diversity,she stops,she decides that was enough,that is more than enough gambling for her,she decides it was time to stop,she decides no more gambling,-0.069,0.908,-0.216,-0.782,-0.373,34.544844,1.039563,0.446741,15.432610,0.464416,35.383015,0.939815,0.000000,15.807055,0.419854
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,1.0,content_diversity,She had a whole new set of clothes,Her friends were mocking her,She had help from her grandma,She really enjoyed doing it,She saved a lot of money,-0.035,0.945,-0.288,-0.681,-0.320,6.694531,0.201638,0.609817,4.082437,0.122962,22.525315,0.592884,0.000000,13.736313,0.361550
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,0.0,content_diversity,She saved quite a lot,She saved money,She managed to save a large amount of money,She saved large sum of money,She managed to put money in savings,-0.115,0.857,-0.586,-0.975,-0.823,16.888984,0.570832,0.532469,8.992866,0.303950,27.610501,0.643211,0.000000,14.701745,0.342490
test.sa-sb.sa-b::00856,Ashley was driving with her brother. They decided to take back roads instead of the highway. They soon were lost and had no idea where they were. They spent hours driving around trying to find the right way.,1.0,content_diversity,She eventually remembered the right way.,They pulled over and tried to use their cell phones gps.,They eventually found their way by back tracking.,Ashley decided to switch with her brother.,Her brother took over driving and found the correct way.,-0.028,0.948,-0.328,-0.703,-0.273,15.611250,0.331107,0.613514,9.577719,0.203138,47.848083,0.826949,0.000000,29.355464,0.507345
test.sa-sb.sa-b::00856,Ashley was driving with her brother. They decided to take back roads instead of the highway. They soon were lost and had no idea where they were. They spent hours driving around trying to find the right way.,0.0,content_diversity,Ashley and her brother use their cell phones gps settings.,They decided to pull up a map on their cell phones.,Their cell phones had gps to help them.,Ashely and her brother used their phones to find their way.,The gps on their phones came in handy.,-0.087,0.882,-0.384,-0.932,-0.545,30.765000,0.631779,0.518992,15.966791,0.327889,28.363036,0.473282,0.000000,14.720191,0.245630
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,1.0,content_diversity,They didn't invite him back.,Now they won't return his texts.,Andy apologized and they made up.,Andy decided not to cheat in the future.,Andy watched YouTube videos and got better so he didn't have to cheat.,-0.021,0.957,-0.342,-0.703,-0.214,-12.037500,0.012103,0.603238,-7.261483,0.007301,73.835872,1.062041,0.000000,44.540639,0.640664
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,0.0,content_diversity,Andy felt bad afterward and swore he'd never cheat again.,Winning by cheating didn't feel very good so he didn't do it again.,"Andy didn't like feeling like a cheat, so he was honest the next time.",Knowing he cheated was embarrassing so he won't cheat when they play in the future.,Andy pledged not to cheat the next poker night.,-0.039,0.934,-0.399,-0.927,-0.557,16.795000,0.074563,0.605077,10.162272,0.045116,45.629179,0.536305,0.000000,27.609177,0.324506
test.sa-sb.sa-b::00820,The man turned it on. It did not respond. The man unplugged it. He took it apart.,1.0,content_diversity,he threw it away,it was broken,he fix it,he realize what part he needed,he put it back together,-0.070,0.933,-0.362,-0.701,-0.303,7.736328,0.718615,0.587875,4.547996,0.422456,56.395096,1.611198,0.000000,33.153285,0.947184
test.sa-sb.sa-b::00820,The man turned it on. It did not respond. The man unplugged it. He took it apart.,0.0,content_diversity,it broke,it no longer function,it was no longer working,it fail,it is now useless,-0.080,0.913,-0.326,-0.716,-0.769,6.476328,0.400269,0.464682,3.009431,0.185998,16.932650,3.037195,0.000000,7.868292,1.411329
test.sa-sb.sa-b::00839,"Nick and Jennifer met at a golf course. They decided to have their first date at a local restaurant. Jennifer was late because she couldn't decide which dress to wear. When she arrived, Nick told her she looked beautiful.",1.0,content_diversity,She was the most beautiful lady there,She thanked him for kind words,There was Jen's ex boyfriend there,She also got compliments by the staff,She fell on her dress and tore her up,-0.025,0.960,-0.173,-0.605,-0.207,-3.830625,-0.047130,0.485159,-1.858462,-0.022865,51.895354,1.266137,0.000000,25.177498,0.614278
test.sa-sb.sa-b::00839,"Nick and Jennifer met at a golf course. They decided to have their first date at a local restaurant. Jennifer was late because she couldn't decide which dress to wear. When she arrived, Nick told her she looked beautiful.",0.0,content_diversity,She was the prettiest there,Most beautiful person in the room was her,She was by far the best looking lady,She was the prettiest lady in the toom,The best looking person was her,-0.122,0.830,-0.322,-0.803,-0.878,43.033750,1.176990,0.453823,19.529721,0.534146,47.485192,1.182151,0.000000,21.549889,0.536488
test.sa-sb.sa-b::00873,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,1.0,content_diversity,it was so healthy,he was still hungy,he decide to eat some burger,he went to exercise,he is in top shape,-0.035,0.957,-0.233,-0.609,-0.167,9.234063,0.255628,0.422540,3.901761,0.108013,24.787368,1.119489,0.000000,10.473655,0.473029
test.sa-sb.sa-b::00873,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,0.0,content_diversity,it was healthy,the carrot is healthy,the carrot is good for his health,it was a healthy meal,eating carrot is good for you,-0.111,0.792,-0.472,-0.835,-0.580,18.236133,0.797241,0.542639,9.895645,0.432615,17.823360,0.562653,0.000000,9.671658,0.305318
test.sa-sb.sa-b::00837,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",1.0,content_diversity,she makes it anyway,the muffin was still delicious,it was not her best moment,she asked me to make it for her,she decides it was time to deal with the yellow batter,-0.046,0.934,-0.128,-0.633,-0.179,-6.911875,0.201467,0.544175,-3.761268,0.109633,80.780173,0.885455,0.000000,43.958530,0.481842
test.sa-sb.sa-b::00837,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",0.0,content_diversity,the muffin is still good,they still taste yummy,"no matter the color, muffin taste very nice",the muffin satisfy my sweet tooth,it was very good muffin,-0.050,0.927,-0.326,-0.872,-0.670,24.066406,0.590606,0.507029,12.202377,0.299455,33.078628,0.513285,0.000000,16.771839,0.260250
test.sa-sb.sa-b::00857,The tree lost it's leaves. That winter it became very cold. The branches froze. The tree lost it's branches.,1.0,content_diversity,They had to saw the tree,Tree fell down on earth,One of the branches fell off and hit a young boy,"In the spring, the tree started growing again",It was a shame because tree was really old,-0.026,0.953,-0.159,-0.909,-0.357,-2.686094,-0.054348,0.587030,-1.576818,-0.031904,50.173166,1.374283,0.000000,29.453168,0.806746
test.sa-sb.sa-b::00857,The tree lost it's leaves. That winter it became very cold. The branches froze. The tree lost it's branches.,0.0,content_diversity,They had to cut the tree down,They had to cut tree down,Tree had to be sawed,The had to bring down the tree,Tree had to be brought down,-0.206,0.744,-0.522,-0.980,-0.796,20.357227,0.797349,0.598513,12.184056,0.477223,19.409754,0.820112,0.000000,11.616982,0.490847
test.sa-sb.sa-b::00814,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,1.0,content_diversity,He had to go test himself,The dog unfortunately died,They took him to the vet,Mike felt really sad and depressed,"It was like dog hadn't even noticed, his behaviour was normal",-0.006,0.982,-0.152,-0.663,-0.161,-26.671328,-0.248588,0.522927,-13.947161,-0.129994,121.834456,1.579945,0.000000,63.710542,0.826196
test.sa-sb.sa-b::00814,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,0.0,content_diversity,Mike was sad,Mike felt sadness,Mike was really depressed,Mike didn't feel well,Mike had a sad feelings,-0.073,0.923,-0.504,-0.930,-0.832,14.016523,0.765532,0.451414,6.327254,0.345572,31.856951,1.007338,0.000000,14.380672,0.454726
test.sa-sb.sa-b::00826,Jane had a window frame that was not fully attached to the house. To fix it required climbing on the roof. Jane was too afraid to do this herself. Her grown son did it instead.,1.0,content_diversity,she was thankful,it was a job well done,they had dinner after,he was cautious when doing so,the window was fixed,-0.027,0.974,-0.153,-0.631,-0.238,11.779297,0.534502,0.556452,6.554615,0.297425,31.079052,0.781593,0.000000,17.294006,0.434919
test.sa-sb.sa-b::00826,Jane had a window frame that was not fully attached to the house. To fix it required climbing on the roof. Jane was too afraid to do this herself. Her grown son did it instead.,0.0,content_diversity,she was glad to have him there,she was appreciative,she thank him for his help,she express her grattitude,she was happy to have his help,-0.088,0.882,-0.334,-0.745,-0.565,20.152031,0.828369,0.497852,10.032738,0.412405,27.788833,1.028031,0.000000,13.834738,0.511808
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,Student admitted his mistake,Student denied everything,Principal threatened to student with kicking him out,"In the office, student tried to threaten her",Student was sad,-0.023,0.969,-0.191,-0.822,-0.379,24.650469,0.293489,0.563996,13.902766,0.165527,56.780754,0.881520,0.000000,32.024118,0.497174
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,0.0,content_diversity,Student tried to deny everything,Student didn't want to admit,Student said he didn't do it,Student did not want to own up to his mistake,Student tried to lie his way out,-0.085,0.897,-0.409,-0.884,-0.537,14.637969,0.443069,0.644728,9.437506,0.285659,24.828507,0.353603,0.000000,16.007630,0.227978
test.sa-sb.sa-b::00836,"We watched Lassie every day after school. We begged our parents to buy us a dog like that. One day my cousin's dog had a litter of puppies. We pleaded for one, but our parents didn't like dogs.",1.0,content_diversity,we got one anyway,our parents let us have one,we have to do chores to get the dog,we could not get one,our parents said that would be our birth date gifts,-0.038,0.934,-0.215,-0.716,-0.211,3.355313,0.302649,0.492659,1.653024,0.149102,90.867562,1.163196,0.000000,44.766706,0.573059
test.sa-sb.sa-b::00836,"We watched Lassie every day after school. We begged our parents to buy us a dog like that. One day my cousin's dog had a litter of puppies. We pleaded for one, but our parents didn't like dogs.",0.0,content_diversity,we pick one anyone,we adopt one regardless,"nevertheless, we pick one up",we bought one,we decide to keep one either way,-0.116,0.884,-0.336,-0.908,-0.529,14.391719,0.790643,0.375324,5.401556,0.296747,37.519036,1.288465,0.000000,14.081792,0.483592
test.sa-sb.sa-b::00838,Paul wants to have some good footwear for winter. He decides to invest in a pair of heavy duty boots. Paul finds a great pair of boots. They're very warm.,1.0,content_diversity,they are his new favorite,he decides to wear them,they are expensive though,he bought them,he tried to get a discount but could not,-0.035,0.944,-0.235,-0.675,-0.253,-2.090625,0.228612,0.647910,-1.354537,0.148120,45.903382,0.658912,0.000000,29.741262,0.426916
test.sa-sb.sa-b::00838,Paul wants to have some good footwear for winter. He decides to invest in a pair of heavy duty boots. Paul finds a great pair of boots. They're very warm.,0.0,content_diversity,he really likes them,he likes them a lot,they are one of his favs,they became his favorites,they became the top of things to wear in his list,-0.047,0.924,-0.342,-0.782,-0.483,-0.184687,0.550214,0.524773,-0.096919,0.288738,109.349796,1.804655,0.000000,57.383834,0.947034
