sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion,metric_icl_E_rate_qwen25_completion,metric_icl_C_qwen25_completion,metric_icl_D_qwen25_completion,metric_icl_D_rate_qwen25_completion,metric_icl_E_qwen25_completion_std,metric_icl_E_rate_qwen25_completion_std,metric_icl_C_qwen25_completion_std,metric_icl_D_qwen25_completion_std,metric_icl_D_rate_qwen25_completion_std
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,4.889,0.208,-0.013,0.974,-0.003,-0.644,-0.158,14.173438,0.414777,0.368524,5.223250,0.152855,70.606076,1.391369,0.000000,26.020025,0.512753
test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,3.857,0.742,-0.094,0.517,-0.515,-0.766,-0.382,17.311172,1.754113,0.119475,2.068248,0.209572,21.570073,2.655005,0.000000,2.577079,0.317206
test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,4.389,0.737,-0.056,0.942,-0.218,-0.668,-0.176,27.369531,1.645443,0.240598,6.585067,0.395891,110.819251,2.343259,0.000000,26.662942,0.563785
test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,4.778,0.478,-0.019,0.960,-0.241,-0.593,-0.194,21.290937,0.503463,0.327923,6.981778,0.165097,38.788238,1.832563,0.000000,12.719537,0.600939
test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,4.889,0.314,0.000,1.000,-0.034,-0.548,-0.180,12.935742,0.567143,0.339771,4.395191,0.192699,41.367113,2.104274,0.000000,14.055347,0.714971
test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,2.833,0.408,-0.042,0.750,-0.272,-0.717,-0.552,28.137422,1.768771,0.257844,7.255058,0.456067,19.638035,0.887452,0.000000,5.063544,0.228824
test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,1.889,0.515,-0.416,0.579,-0.770,-0.973,-0.816,64.943594,1.756722,0.336927,21.881224,0.591886,13.622647,0.354266,0.000000,4.589832,0.119362
test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,2.889,0.875,-0.018,0.760,-0.435,-0.791,-0.507,22.048594,1.265702,0.196688,4.336694,0.248948,15.798201,1.627298,0.000000,3.107316,0.320070
test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,2.611,0.875,-0.054,0.941,-0.612,-0.821,-0.641,7.848828,0.261222,0.220787,1.732920,0.057675,23.028429,2.834797,0.000000,5.084381,0.625887
test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",4.611,0.393,-0.045,0.922,-0.267,-0.657,-0.276,30.691250,1.132732,0.305516,9.376666,0.346068,31.125942,1.638168,0.000000,9.509471,0.500486
test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",4.333,0.527,-0.032,0.961,0.002,-0.634,-0.140,24.226250,0.507480,0.400952,9.713554,0.203475,33.398662,0.700808,0.000000,13.391248,0.280990
test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,1.444,0.369,-0.051,0.931,-0.339,-0.790,-0.690,67.667813,3.036791,0.178576,12.083865,0.542299,25.605013,1.002394,0.000000,4.572448,0.179004
test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,3.889,0.875,-0.015,0.967,-0.168,-0.672,-0.224,29.916875,1.914118,0.144989,4.337605,0.277525,43.548638,2.411942,0.000000,6.314054,0.349704
test.enc.prompt.txt::01331,"To your health,",0.0,content_diversity,you should avoid junk food,you need to avoid burgers,you shouldn't be eating fast food,don't eat junk food,you better avoid processed food,2.167,0.408,-0.070,0.918,-0.569,-0.866,-0.754,12.724375,0.494289,0.597143,7.598271,0.295161,33.002131,1.009219,0.000000,19.706990,0.602648
test.enc.prompt.txt::01332,"Frank, I have",1.0,content_diversity,a question for you,been waiting for you 30 minutes,something to tell you,a juicy gossip to tell you,a practice today so I can't go with you,3.611,0.393,-0.082,0.902,-0.121,-0.726,-0.198,11.716055,0.702212,0.426441,4.996206,0.299452,64.511293,1.565189,0.000000,27.510259,0.667461
test.enc.prompt.txt::01337,Yes it's me!!!,1.0,content_diversity,i am here,who did it,i am the 1,hello everyone,hi there,3.611,1.021,-0.020,0.749,-0.283,-0.617,-0.437,22.560469,2.040945,0.191469,4.319622,0.390777,28.557654,2.926717,0.000000,5.467894,0.560374
test.enc.prompt.txt::00350,"Yeah, I study",0.0,content_diversity,to get an A,To have the highest score possible,to get good grades,for my exams,for better grade in my exam,2.250,0.433,-0.026,0.954,-0.287,-0.775,-0.412,16.872578,1.267121,0.272942,4.605241,0.345851,60.937587,1.067439,0.000000,16.632447,0.291349
test.enc.prompt.txt::00352,"Mr. President, it's",1.0,content_diversity,raining outside,time to go,not within your jurisdiction,the President of France,wife on the phone,4.389,0.657,-0.005,0.788,-0.144,-0.544,-0.109,30.265937,1.509675,0.246870,7.471759,0.372694,36.669486,1.295106,0.000000,9.052605,0.319723
test.enc.prompt.txt::00354,"Uh, we got",1.0,content_diversity,a ticket from that cop that pulled us over.,suspended from school for our senior day prank.,two tickets for the Superbowl so only we can go.,arrested for drinking in public in San Antonio last weekend.,in trouble for getting bad grades and now we are both grounded.,4.312,0.827,-0.019,0.967,-0.189,-0.630,-0.209,23.503750,0.581535,0.385679,9.064892,0.224285,49.574034,0.610941,0.000000,19.119640,0.235627
test.enc.prompt.txt::00369,Thank you for,1.0,content_diversity,Telling me I have the best smile you have seen all day,Stopping to help that older woman cross the street,Helping to watch the kids while I run errands,taking me out to dinner,all the work you have done for the team.,4.688,0.556,-0.038,0.940,-0.057,-0.586,-0.112,31.271719,0.702104,0.469841,14.692748,0.329878,58.682358,0.660575,0.000000,27.571402,0.310365
test.enc.prompt.txt::00371,With all due,1.0,content_diversity,"respect, no.","respect, you are wrong.","respect, that's a lie.","respect, you are a robot.","respect, that isn't a car.",3.786,0.647,-0.095,0.873,-0.448,-0.897,-0.559,19.117109,0.990395,0.147194,2.813918,0.145780,34.768512,1.339789,0.000000,5.117706,0.197208
test.enc.prompt.txt::00373,It's got to,1.0,content_diversity,"be right, I mean I went over it a hundred times.",the biggest highlight of my career.,be perfect with 100% precision.,the most hilarious thing I've ever seen.,be drilled into your mind that that is the way it's done.,4.389,0.698,-0.014,0.971,-0.145,-0.674,-0.361,3.822813,0.471795,0.379537,1.450898,0.179063,58.025214,0.892404,0.000000,22.022699,0.338700
test.enc.prompt.txt::00374,His name's David,1.0,content_diversity,so he must be the one we are looking for,he was named from the Bible,he is named after his father,that must be a family name because it is not a modern name,he is the convict I heard about,4.000,0.624,-0.044,0.932,-0.077,-0.661,-0.286,26.760781,0.771801,0.316777,8.477202,0.244489,60.775863,1.436335,0.000000,19.252401,0.454998
test.enc.prompt.txt::00376,I've never used,0.0,content_diversity,I get lost a lot but still haven't take the time to figure out the GPS.,I use maps instead of the GPS.,"I sometimes pull up Google maps on my phone, but don't use the GPS.","I have a great sense of direction, so I just drive off and don't try to figure out how to get somewhere.",I need to have my brother show me how to set up the GPS in my car.,2.389,1.074,-0.079,0.901,-0.347,-0.887,-0.299,45.194062,0.744446,0.341877,15.450818,0.254509,77.184151,0.509339,0.000000,26.387499,0.174132
test.enc.prompt.txt::00381,For the best,0.0,content_diversity,i have no choice but to go to gym,i have some new clothes i must try on not with all this fat,well the physiotherapist recommended it,at least the ladies will love my new abs,my self esteem would finally be restored after this,3.778,0.533,-0.015,0.960,-0.115,-0.608,-0.242,66.488125,1.619589,0.247036,16.424972,0.400097,90.216305,0.964095,0.000000,22.286691,0.238166
test.enc.prompt.txt::00388,A couple eggs,1.0,content_diversity,hatched yesterday on the farm.,would make the perfect size omelette.,will be needed for this cake.,were violently thrown at the house.,were colored by the kids for Easter.,4.500,0.527,-0.026,0.967,-0.224,-0.548,-0.155,13.833750,0.462872,0.337110,4.663498,0.156039,22.896808,0.682802,0.000000,7.718747,0.230180
test.enc.prompt.txt::00389,He's carrying a,0.0,content_diversity,bag of enchanted stones out of plain view,bag of unusual trinkets unbeknownst to his peers,bag with high quality items in a secret compartment,bag with sacred jewels hidden,"bag with ideal jewels, stowed away",2.444,0.598,-0.055,0.936,-0.252,-0.877,-0.587,40.495938,0.890067,0.341562,13.831890,0.304013,46.360299,1.271666,0.000000,15.834936,0.434353
test.enc.prompt.txt::00392,"Say, isn't that",0.0,content_diversity,something you've told me a million times.,information which is of no use to me at all.,interesting and absolutely worthless.,about the dumbest thing I've ever heard.,"nice, if it actually had any impact on me whatsoever.",3.333,0.816,-0.007,0.989,-0.124,-0.627,-0.343,20.217188,0.659030,0.393240,7.950212,0.259157,61.981662,0.793593,0.000000,24.373685,0.312073
test.enc.prompt.txt::00396,...but after...awhile...you begin,1.0,content_diversity,to get tired of the whole thing,"to get used to it, and it gets easier and easier","to bleed, and you have to go to the hospital",to understand why she did the things she did,to know what your true life's passion is,4.333,0.624,-0.051,0.923,-0.219,-0.678,-0.162,7.956562,0.121582,0.520107,4.138265,0.063235,37.053712,0.775242,0.000000,19.271899,0.403209
test.enc.prompt.txt::00407,"Excuse me, sir.",1.0,content_diversity,You said I was mad.,You wanted to have a good time with me.,You asked me what to do around here.,Please stop staring at me.,I have a weight issues.,4.222,0.533,-0.033,0.943,-0.337,-0.679,-0.188,6.725938,-0.099668,0.403147,2.711542,-0.040181,37.533006,2.074656,0.000000,15.131322,0.836392
test.enc.prompt.txt::00417,She's going to,0.0,content_diversity,makes me cry when i see the faul ball.,take my innerds and make curry of them all.,teach my that crying is for kids.,why i should choose gum as i cry.,Why i don't go to a ball game.,4.111,0.657,-0.018,0.971,-0.180,-0.686,-0.186,30.275625,0.793723,0.198521,6.010358,0.157571,62.661926,1.382136,0.000000,12.439730,0.274384
test.enc.prompt.txt::00426,"First squad up,",0.0,content_diversity,this is going to be a festive time.,this will be enjoyable.,i am very happy about this.,we are excited about this.,I can't wait to make this happen.,2.389,0.614,-0.049,0.945,-0.359,-0.809,-0.642,6.251719,0.341952,0.481861,3.012460,0.164773,23.930109,0.547879,0.000000,11.530987,0.264002
test.enc.prompt.txt::00427,Flame-units only. I,0.0,content_diversity,Smoke extends into the atmosphere.,Crowds gather to watch the spectacle as firemen arrive.,People stand in awe and smoke escapes from the residence.,An ambulance arrives promptly at the scene.,People are dismayed as they hear sirens in the distance.,2.667,0.816,-0.032,0.966,-0.313,-0.721,-0.296,47.376250,0.937176,0.374667,17.750330,0.351129,30.361364,0.634683,0.000000,11.375409,0.237795
test.enc.prompt.txt::00435,You've been doing,0.0,content_diversity,good therapy with the sad family members.,"a sort of Karma building thing, helping people who have dead relatives.","helping behavior, allowing people to work through stages of death.","family therapy, focusing on profound loss.","something to help pastors, add support to those left by dead.",2.778,1.030,-0.014,0.970,-0.268,-0.822,-0.376,23.982500,0.446127,0.305984,7.338265,0.136508,98.259985,0.957572,0.000000,30.065999,0.293002
test.enc.prompt.txt::00437,Looks like you,1.0,content_diversity,did not get the memo!,got up on the wrong side of the bed today,have your work cut out for you with this one,could use a big hug,had a fun weekend,4.750,0.433,-0.010,0.982,0.010,-0.603,-0.157,29.529531,0.859614,0.302303,8.926866,0.259864,36.139900,2.133362,0.000000,10.925200,0.644922
test.enc.prompt.txt::00446,They'd be here,1.0,content_diversity,if they weren't dead.,if they really cared.,again.,if you let them.,tomorrow.,3.889,0.809,-0.027,0.735,-0.432,-0.691,-0.301,14.924375,1.479131,0.193056,2.881237,0.285555,29.345955,2.977567,0.000000,5.665406,0.574836
test.enc.prompt.txt::00792,I want you,1.0,content_diversity,to know,more than anything,LIKE YESTERDAY,to tell me the time,to call me later,3.889,1.197,-0.022,0.963,0.002,-0.652,-0.327,16.042734,1.067229,0.249668,4.005364,0.266453,38.012940,2.316456,0.000000,9.490632,0.578346
test.enc.prompt.txt::00795,May I help,1.0,content_diversity,with that heavy box,you with your homework,his dad? he looks tired,building new house,with food rationing? I could volunteer,4.500,0.667,-0.013,0.982,-0.118,-0.577,-0.138,12.048281,1.080486,0.247847,2.986125,0.267795,77.203995,1.600667,0.000000,19.134742,0.396720
test.enc.prompt.txt::00806,Not so much,1.0,content_diversity,lately,"sugar, it is too sweet","time, you should be done sooner","perfume, it doesn't smell good","money, it is too expensive",4.667,0.471,-0.037,0.925,-0.264,-0.670,-0.212,49.866094,1.678475,0.219325,10.936878,0.368132,44.096515,5.075689,0.000000,9.671465,1.113225
test.enc.prompt.txt::00811,The Prospero Project,0.0,content_diversity,isn't good at all,in my honest opinion is worthless,isn't relevant,shouldn't be considered good,is not worth at all,2.214,0.647,-0.030,0.940,-0.238,-0.710,-0.683,35.135312,1.670368,0.209363,7.356037,0.349713,35.773024,1.237502,0.000000,7.489551,0.259087
test.enc.prompt.txt::00824,Privately owned by,1.0,content_diversity,the Gates family.,whoever wants to own it.,them and you cannot trespass.,that old family and rumored to be haunted.,the people that lost their son in the war.,4.389,0.774,-0.020,0.960,-0.206,-0.612,-0.177,17.166562,0.625052,0.304999,5.235789,0.190640,53.539807,1.143233,0.000000,16.329603,0.348685
test.enc.prompt.txt::00825,You're not venturing,0.0,content_diversity,around the forest without me.,into the woods alone without protection.,around the wilds of Alaska without the rest of the team.,"out, into the wilderness, alone.","alone, into a wild area filled with bears.",2.562,0.464,-0.060,0.918,-0.431,-0.810,-0.602,33.891562,0.786286,0.362242,12.276959,0.284826,47.399245,0.769858,0.000000,17.170014,0.278875
test.enc.prompt.txt::00827,I was hoping,1.0,content_diversity,you could take me out for a dinner,i wouldn't have to see him,you could borrow me some money,he has changed,i wouldn't have to do whole project by myself,4.750,0.250,-0.045,0.897,-0.175,-0.630,-0.187,30.438437,1.604678,0.314098,9.560666,0.504027,46.077628,1.565017,0.000000,14.472912,0.491569
test.enc.prompt.txt::00827,I was hoping,0.0,content_diversity,you could lend me money,i could borrow money from you,you can give me some money,"you can lend me money, I'll pay you back",you can give me money and I'll pay back,1.833,0.745,-0.133,0.819,-0.558,-0.963,-0.820,40.721328,1.336148,0.351426,14.310522,0.469557,31.600747,0.739844,0.000000,11.105315,0.260000
test.enc.prompt.txt::00833,I don't want,0.0,content_diversity,to be with you,go out on a date with you,to date you,have a date with you,to go anywhere with you,1.857,0.515,-0.158,0.788,-0.407,-0.839,-0.548,22.640605,1.499127,0.297528,6.736225,0.446033,27.797337,1.098975,0.000000,8.270500,0.326976
test.enc.prompt.txt::00834,I'm ready to,0.0,content_diversity,let it go when you apologise,forgive when you say sorry,forgive when you apologise to me,let it go once you apologise,let it go if you say sorry first,1.643,0.350,-0.178,0.758,-0.507,-0.906,-0.742,62.618125,2.177540,0.265619,16.632576,0.578396,22.288219,0.648930,0.000000,5.920179,0.172368
test.enc.prompt.txt::00841,"Cole, we've got",1.0,content_diversity,a big problem.,lots of money on hand.,a ton of vacation time to take.,to fire him.,the crown jewels.,4.857,0.226,-0.012,0.971,-0.262,-0.622,-0.210,19.592187,0.739387,0.247274,4.844631,0.182831,32.638765,1.644006,0.000000,8.070705,0.406519
test.enc.prompt.txt::00857,Screw you... Screw,0.0,content_diversity,screw all of the existence of everything i guess,you and everyone else can go away,"screw me, i did it again","you, you'r a screw up","i cant , so screw you",3.375,1.083,-0.030,0.958,-0.012,-0.768,-0.391,22.301875,0.802942,0.246173,5.490126,0.197663,49.910501,1.142503,0.000000,12.286633,0.281254
test.enc.prompt.txt::00859,Sounds swell... I'm,1.0,content_diversity,heading there myself,gonna get going,not very interested..,really tired so goodbye,really hungry,4.000,0.408,-0.007,0.787,-0.107,-0.633,-0.259,31.332656,1.534144,0.249587,7.820210,0.382902,37.827808,1.169501,0.000000,9.441312,0.291892
test.enc.prompt.txt::00859,Sounds swell... I'm,0.0,content_diversity,on my way there,going there myself,leaving to go there right after,going up there too,leaving to go there too,1.938,0.165,-0.107,0.809,-0.246,-0.870,-0.556,40.081016,1.828040,0.251247,10.070226,0.459289,17.934799,0.847057,0.000000,4.506061,0.212820
test.enc.prompt.txt::00862,What can I,1.0,content_diversity,"say, I've got the best family",do to help out a little more,give you to find out about the hotel,"have, are there choices?",every do to repay you?,4.500,0.471,-0.022,0.959,-0.090,-0.656,-0.251,15.872187,0.312339,0.244849,3.886287,0.076476,32.940507,2.226336,0.000000,8.065445,0.545116
test.enc.prompt.txt::00864,You want to,1.0,content_diversity,put all the ingredients in the bowl first.,go to the park while it's warm out?,go to dinner with all of us?,make sure the edges are straight before cutting.,do all that you can to make sure it's correct.,4.611,0.393,-0.041,0.935,-0.080,-0.653,-0.198,31.443125,1.095830,0.333660,10.491303,0.365634,27.444324,1.240145,0.000000,9.157064,0.413787
test.enc.prompt.txt::00867,You're all under,0.0,content_diversity,the insurance coverage,protection in time of need.,the insurance protection,the same plan,the protection of your policy,1.778,0.416,-0.070,0.912,-0.226,-0.813,-0.393,30.024688,1.496445,0.286625,8.605817,0.428918,56.648304,2.666509,0.000000,16.236802,0.764287
test.enc.prompt.txt::00869,I'm not really,0.0,content_diversity,interested in buying this,in the market for your product,considering buying,in a position to buy anything,seeing a need to buy this,1.938,0.165,-0.037,0.931,-0.262,-0.854,-0.649,33.526172,1.372557,0.335909,11.261749,0.461055,27.014039,0.918860,0.000000,9.074264,0.308654
test.enc.prompt.txt::00872,How the hell,1.0,content_diversity,did he get here before me,do you lose a dog,is this possible,can you be late every single day,did he break free from solitary,4.722,0.342,-0.014,0.969,-0.148,-0.596,-0.318,15.076406,0.868005,0.249298,3.758518,0.216392,41.141778,1.771481,0.000000,10.256564,0.441627
test.enc.prompt.txt::00880,"Jesus, it's too",1.0,content_diversity,"big, it's not going to fit.",much to do in a short time,hard to make them all straight,cold to do anything outside,long of a show to sit through,4.389,0.515,-0.043,0.954,-0.117,-0.632,-0.343,6.725313,0.222111,0.364068,2.448474,0.080864,42.280760,1.371178,0.000000,15.393087,0.499202
test.enc.prompt.txt::00884,"-- Stephen, wait",0.0,content_diversity,your doing it wrong,you didn't do it right,that's not how you do it,it's not correct,your doing it incorretly.,1.938,0.726,-0.076,0.875,-0.301,-0.795,-0.671,35.000469,1.838021,0.200675,7.023720,0.368845,42.701481,1.526739,0.000000,8.569120,0.306378
test.enc.prompt.txt::00885,Don't tell them,0.0,content_diversity,no problem my lips are sealed,cool i get to keep a secret,ok no telling from me,why can't i tell again?,i will definetly not tell anyone,3.000,0.577,-0.017,0.972,-0.102,-0.709,-0.379,48.668750,2.146018,0.172259,8.383631,0.369671,30.783603,1.851977,0.000000,5.302753,0.319020
test.enc.prompt.txt::00889,Will you please,0.0,content_diversity,quit bothering me,end your constant attempts to upset me,desist in attacking my emotions,leave me alone,kill all the annoying things your are doing,2.889,0.614,-0.018,0.977,-0.195,-0.729,-0.504,33.326797,1.602303,0.281564,9.383634,0.451151,81.584406,1.167734,0.000000,22.971250,0.328792
test.enc.prompt.txt::01574,"Oh, I'm sorry.",1.0,content_diversity,I shouldn't have said that,I didn't know that,"however, you can still help",i thought that was your grandma,i will never do it again,3.944,0.797,-0.020,0.969,-0.097,-0.602,-0.227,11.987969,0.445458,0.612795,7.346171,0.272974,43.802683,1.287164,0.000000,26.842079,0.788768
test.enc.prompt.txt::01574,"Oh, I'm sorry.",0.0,content_diversity,I could apologise,I should have rephrased it,i should have wrapped it up different,It would be better if I kept my mouth shut,I had to be quiet,3.500,0.782,-0.041,0.945,-0.211,-0.693,-0.345,16.926875,0.114288,0.462698,7.832034,0.052881,21.816382,1.858654,0.000000,10.094400,0.859996
test.enc.prompt.txt::01578,I just thought,0.0,content_diversity,it would be my secret forever.,I could take it to my grave,it was long buried and gone.,the vault would keep it safe.,it was between me and my gods.,2.833,0.943,-0.054,0.936,-0.255,-0.732,-0.278,37.130156,1.330194,0.257894,9.575636,0.343049,32.213170,1.090202,0.000000,8.307576,0.281156
test.enc.prompt.txt::01586,Most guys tuck,1.0,content_diversity,"their shirt in these days, its the fashion.",into their food too quickly.,their gear under the bed but you can use that cupboard as well.,like this just before they jump.,the envelope in rather than lick it and seal it.,4.778,0.478,-0.015,0.971,-0.134,-0.551,-0.161,17.993125,0.355504,0.378742,6.814752,0.134644,48.622208,0.763523,0.000000,18.415273,0.289178
test.enc.prompt.txt::01588,Can... can... Can,1.0,content_diversity,he still see?,you shut up?,you make dinner?,you go away?,you tell me more?,4.556,0.550,-0.037,0.762,-0.351,-0.702,-0.237,3.130234,0.350413,0.210723,0.659613,0.073840,27.964783,2.346282,0.000000,5.892832,0.494416
test.enc.prompt.txt::01592,What the hell,0.0,content_diversity,choice can I make at this stage!,can I reasonably be expected to accomplish with this?,direction do I move in now?,would Jesus do?,should someone in my position do?,3.611,0.965,-0.022,0.960,-0.193,-0.745,-0.465,17.518750,0.730338,0.282899,4.956029,0.206612,53.561377,1.792580,0.000000,15.152437,0.507118
test.enc.prompt.txt::01597,Maybe it went,0.0,content_diversity,extinct after being in existence for so long.,to the archives to remain a thing of the past,obsolete while we weren't paying attention,on to become useless to us,away from the marketplace.,3.375,0.650,-0.013,0.971,-0.114,-0.646,-0.493,27.612812,0.628826,0.357862,9.881589,0.225033,28.399118,0.812121,0.000000,10.162978,0.290628
test.enc.prompt.txt::01603,But Sacha always,1.0,content_diversity,is on time,lies to everyone,trusts everyone,calls me after work,tells everyone's business,4.286,0.749,-0.008,0.787,-0.206,-0.626,-0.272,17.006758,1.213523,0.209111,3.556308,0.253762,27.217802,2.288557,0.000000,5.691554,0.478563
test.enc.prompt.txt::01604,I'd better be,0.0,content_diversity,studying hard,learning and trying hard,trying my best to learn,studying for the exam,studying as much as possible,2.222,0.820,-0.028,0.950,-0.119,-0.866,-0.567,37.322461,1.818592,0.362845,13.542279,0.659868,27.595109,0.985803,0.000000,10.012755,0.357694
test.enc.prompt.txt::01608,Shall we draw,0.0,content_diversity,arbitrarily,whatever we want,what we wish to draw,something we like,anything we would like to draw,2.722,0.786,-0.047,0.918,-0.389,-0.838,-0.422,27.423750,1.561163,0.277630,7.613654,0.433426,25.929092,2.837460,0.000000,7.198692,0.787764
test.enc.prompt.txt::01621,Do I have,1.0,content_diversity,to repeat myself?,to tell you every thing to do?,to do my homework.,something between my teeth?,something wrong with me?,4.333,0.687,-0.030,0.955,-0.148,-0.661,-0.212,2.510391,0.132850,0.454548,1.141092,0.060387,51.390106,1.776253,0.000000,23.359246,0.807391
test.enc.prompt.txt::01624,This time they,0.0,content_diversity,guys that was too far,you went way too far,that was too much,they definetely went to far with this,its going too far,1.444,0.437,-0.099,0.875,-0.412,-0.776,-0.685,49.593438,2.200836,0.191179,9.481206,0.420753,46.994346,0.778119,0.000000,8.984315,0.148760
