sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.enc.prompt.txt::01267,test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,4.889,0.208,-0.013,0.974,-0.003,-0.644,-0.158,6.792809,0.192472,0.465391,3.161313,0.089575,74.585876,1.628265,0.000000,34.711605,0.757780
test.enc.prompt.txt::01273,test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,3.857,0.742,-0.094,0.517,-0.515,-0.766,-0.382,-2.838177,-0.193360,0.324716,-0.921601,-0.062787,18.846215,1.958240,0.000000,6.119664,0.635872
test.enc.prompt.txt::01278,test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,4.389,0.737,-0.056,0.942,-0.218,-0.668,-0.176,11.928492,0.905550,0.394871,4.710215,0.357576,77.532286,1.513981,0.000000,30.615247,0.597827
test.enc.prompt.txt::01285,test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,4.778,0.478,-0.019,0.960,-0.241,-0.593,-0.194,1.579375,-0.301348,0.452194,0.714184,-0.136268,37.244496,1.994715,0.000000,16.841754,0.901999
test.enc.prompt.txt::01286,test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,4.889,0.314,0.000,1.000,-0.034,-0.548,-0.180,4.802425,0.227639,0.449313,2.157793,0.102281,33.014636,1.494731,0.000000,14.833914,0.671603
test.enc.prompt.txt::01287,test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,2.833,0.408,-0.042,0.750,-0.272,-0.717,-0.552,13.756335,0.828126,0.485982,6.685333,0.402455,20.925970,0.881358,0.000000,10.169647,0.428324
test.enc.prompt.txt::01289,test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,1.889,0.515,-0.416,0.579,-0.770,-0.973,-0.816,50.874442,1.369281,0.442888,22.531694,0.606438,13.561066,0.331377,0.000000,6.006037,0.146763
test.enc.prompt.txt::01292,test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,2.889,0.875,-0.018,0.760,-0.435,-0.791,-0.507,17.926099,0.934581,0.238411,4.273777,0.222814,11.874630,1.278530,0.000000,2.831041,0.304815
test.enc.prompt.txt::01294,test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,2.611,0.875,-0.054,0.941,-0.612,-0.821,-0.641,-5.211510,-0.741110,0.363214,-1.892893,-0.269181,27.729338,3.160548,0.000000,10.071679,1.147955
test.enc.prompt.txt::01305,test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",4.611,0.393,-0.045,0.922,-0.267,-0.657,-0.276,7.711854,0.403462,0.440568,3.397595,0.177753,33.062617,1.347947,0.000000,14.566327,0.593862
test.enc.prompt.txt::01313,test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",4.333,0.527,-0.032,0.961,0.002,-0.634,-0.140,15.091010,0.359679,0.434275,6.553655,0.156200,51.319604,0.534503,0.000000,22.286842,0.232122
test.enc.prompt.txt::01318,test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,1.444,0.369,-0.051,0.931,-0.339,-0.790,-0.690,56.641234,2.510604,0.246754,13.976464,0.619502,24.063082,0.956666,0.000000,5.937667,0.236062
test.enc.prompt.txt::01320,test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,3.889,0.875,-0.015,0.967,-0.168,-0.672,-0.224,13.701909,0.481628,0.255385,3.499265,0.123001,36.426874,2.665867,0.000000,9.302884,0.680823
test.enc.prompt.txt::01331,test.enc.prompt.txt::01331,"To your health,",0.0,content_diversity,you should avoid junk food,you need to avoid burgers,you shouldn't be eating fast food,don't eat junk food,you better avoid processed food,2.167,0.408,-0.070,0.918,-0.569,-0.866,-0.754,22.916686,0.903228,0.458378,10.504500,0.414020,22.592606,0.752827,0.000000,10.355949,0.345079
test.enc.prompt.txt::01332,test.enc.prompt.txt::01332,"Frank, I have",1.0,content_diversity,a question for you,been waiting for you 30 minutes,something to tell you,a juicy gossip to tell you,a practice today so I can't go with you,3.611,0.393,-0.082,0.902,-0.121,-0.726,-0.198,-4.074546,0.075491,0.590584,-2.406361,0.044584,62.043017,1.285969,0.000000,36.641597,0.759472
test.enc.prompt.txt::01337,test.enc.prompt.txt::01337,Yes it's me!!!,1.0,content_diversity,i am here,who did it,i am the 1,hello everyone,hi there,3.611,1.021,-0.020,0.749,-0.283,-0.617,-0.437,15.593784,1.371710,0.300178,4.680906,0.411757,21.920772,2.262881,0.000000,6.580127,0.679266
test.enc.prompt.txt::00350,test.enc.prompt.txt::00350,"Yeah, I study",0.0,content_diversity,to get an A,To have the highest score possible,to get good grades,for my exams,for better grade in my exam,2.250,0.433,-0.026,0.954,-0.287,-0.775,-0.412,6.206042,0.546855,0.423923,2.630883,0.231824,61.684027,1.126324,0.000000,26.149273,0.477475
test.enc.prompt.txt::00352,test.enc.prompt.txt::00352,"Mr. President, it's",1.0,content_diversity,raining outside,time to go,not within your jurisdiction,the President of France,wife on the phone,4.389,0.657,-0.005,0.788,-0.144,-0.544,-0.109,9.497650,0.389152,0.450968,4.283141,0.175495,40.802342,1.860896,0.000000,18.400570,0.839205
test.enc.prompt.txt::00354,test.enc.prompt.txt::00354,"Uh, we got",1.0,content_diversity,a ticket from that cop that pulled us over.,suspended from school for our senior day prank.,two tickets for the Superbowl so only we can go.,arrested for drinking in public in San Antonio last weekend.,in trouble for getting bad grades and now we are both grounded.,4.312,0.827,-0.019,0.967,-0.189,-0.630,-0.209,0.440634,0.123720,0.486317,0.214288,0.060167,46.308350,0.719247,0.000000,22.520554,0.349782
test.enc.prompt.txt::00369,test.enc.prompt.txt::00369,Thank you for,1.0,content_diversity,Telling me I have the best smile you have seen all day,Stopping to help that older woman cross the street,Helping to watch the kids while I run errands,taking me out to dinner,all the work you have done for the team.,4.688,0.556,-0.038,0.940,-0.057,-0.586,-0.112,19.887405,0.412101,0.478096,9.508084,0.197024,46.926631,0.446365,0.000000,22.435423,0.213405
test.enc.prompt.txt::00371,test.enc.prompt.txt::00371,With all due,1.0,content_diversity,"respect, no.","respect, you are wrong.","respect, that's a lie.","respect, you are a robot.","respect, that isn't a car.",3.786,0.647,-0.095,0.873,-0.448,-0.897,-0.559,-5.889158,-0.286214,0.501641,-2.954244,-0.143577,32.393561,1.139682,0.000000,16.249944,0.571711
test.enc.prompt.txt::00373,test.enc.prompt.txt::00373,It's got to,1.0,content_diversity,"be right, I mean I went over it a hundred times.",the biggest highlight of my career.,be perfect with 100% precision.,the most hilarious thing I've ever seen.,be drilled into your mind that that is the way it's done.,4.389,0.698,-0.014,0.971,-0.145,-0.674,-0.361,-6.016164,0.199100,0.463465,-2.788285,0.092276,49.587305,1.035069,0.000000,22.982005,0.479719
test.enc.prompt.txt::00374,test.enc.prompt.txt::00374,His name's David,1.0,content_diversity,so he must be the one we are looking for,he was named from the Bible,he is named after his father,that must be a family name because it is not a modern name,he is the convict I heard about,4.000,0.624,-0.044,0.932,-0.077,-0.661,-0.286,24.933818,0.655549,0.362309,9.033754,0.237511,65.471545,1.313022,0.000000,23.720949,0.475720
test.enc.prompt.txt::00376,test.enc.prompt.txt::00376,I've never used,0.0,content_diversity,I get lost a lot but still haven't take the time to figure out the GPS.,I use maps instead of the GPS.,"I sometimes pull up Google maps on my phone, but don't use the GPS.","I have a great sense of direction, so I just drive off and don't try to figure out how to get somewhere.",I need to have my brother show me how to set up the GPS in my car.,2.389,1.074,-0.079,0.901,-0.347,-0.887,-0.299,41.026415,0.667331,0.389754,15.990219,0.260095,76.758800,0.386133,0.000000,29.917068,0.150497
test.enc.prompt.txt::00381,test.enc.prompt.txt::00381,For the best,0.0,content_diversity,i have no choice but to go to gym,i have some new clothes i must try on not with all this fat,well the physiotherapist recommended it,at least the ladies will love my new abs,my self esteem would finally be restored after this,3.778,0.533,-0.015,0.960,-0.115,-0.608,-0.242,45.857984,1.128059,0.312793,14.344042,0.352849,66.863406,0.661343,0.000000,20.914384,0.206863
test.enc.prompt.txt::00388,test.enc.prompt.txt::00388,A couple eggs,1.0,content_diversity,hatched yesterday on the farm.,would make the perfect size omelette.,will be needed for this cake.,were violently thrown at the house.,were colored by the kids for Easter.,4.500,0.527,-0.026,0.967,-0.224,-0.548,-0.155,6.064026,0.232728,0.505537,3.065590,0.117653,22.582365,0.436487,0.000000,11.416222,0.220661
test.enc.prompt.txt::00389,test.enc.prompt.txt::00389,He's carrying a,0.0,content_diversity,bag of enchanted stones out of plain view,bag of unusual trinkets unbeknownst to his peers,bag with high quality items in a secret compartment,bag with sacred jewels hidden,"bag with ideal jewels, stowed away",2.444,0.598,-0.055,0.936,-0.252,-0.877,-0.587,37.565195,0.813674,0.348091,13.076108,0.283233,44.413061,1.234511,0.000000,15.459789,0.429722
test.enc.prompt.txt::00392,test.enc.prompt.txt::00392,"Say, isn't that",0.0,content_diversity,something you've told me a million times.,information which is of no use to me at all.,interesting and absolutely worthless.,about the dumbest thing I've ever heard.,"nice, if it actually had any impact on me whatsoever.",3.333,0.816,-0.007,0.989,-0.124,-0.627,-0.343,1.377624,0.214099,0.479410,0.660447,0.102641,67.780611,0.967821,0.000000,32.494717,0.463983
test.enc.prompt.txt::00396,test.enc.prompt.txt::00396,...but after...awhile...you begin,1.0,content_diversity,to get tired of the whole thing,"to get used to it, and it gets easier and easier","to bleed, and you have to go to the hospital",to understand why she did the things she did,to know what your true life's passion is,4.333,0.624,-0.051,0.923,-0.219,-0.678,-0.162,7.615691,0.122050,0.600874,4.576070,0.073337,40.043012,0.898512,0.000000,24.060803,0.539893
test.enc.prompt.txt::00407,test.enc.prompt.txt::00407,"Excuse me, sir.",1.0,content_diversity,You said I was mad.,You wanted to have a good time with me.,You asked me what to do around here.,Please stop staring at me.,I have a weight issues.,4.222,0.533,-0.033,0.943,-0.337,-0.679,-0.188,4.317012,-0.228934,0.361662,1.561300,-0.082797,38.650727,2.181940,0.000000,13.978504,0.789125
test.enc.prompt.txt::00417,test.enc.prompt.txt::00417,She's going to,0.0,content_diversity,makes me cry when i see the faul ball.,take my innerds and make curry of them all.,teach my that crying is for kids.,why i should choose gum as i cry.,Why i don't go to a ball game.,4.111,0.657,-0.018,0.971,-0.180,-0.686,-0.186,26.354947,0.710488,0.206996,5.455381,0.147068,69.697702,1.099703,0.000000,14.427179,0.227635
test.enc.prompt.txt::00426,test.enc.prompt.txt::00426,"First squad up,",0.0,content_diversity,this is going to be a festive time.,this will be enjoyable.,i am very happy about this.,we are excited about this.,I can't wait to make this happen.,2.389,0.614,-0.049,0.945,-0.359,-0.809,-0.642,7.853950,0.436497,0.416717,3.272871,0.181896,24.788536,0.383008,0.000000,10.329794,0.159606
test.enc.prompt.txt::00427,test.enc.prompt.txt::00427,Flame-units only. I,0.0,content_diversity,Smoke extends into the atmosphere.,Crowds gather to watch the spectacle as firemen arrive.,People stand in awe and smoke escapes from the residence.,An ambulance arrives promptly at the scene.,People are dismayed as they hear sirens in the distance.,2.667,0.816,-0.032,0.966,-0.313,-0.721,-0.296,41.731125,0.820712,0.367588,15.339860,0.301684,44.512337,0.675666,0.000000,16.362200,0.248367
test.enc.prompt.txt::00435,test.enc.prompt.txt::00435,You've been doing,0.0,content_diversity,good therapy with the sad family members.,"a sort of Karma building thing, helping people who have dead relatives.","helping behavior, allowing people to work through stages of death.","family therapy, focusing on profound loss.","something to help pastors, add support to those left by dead.",2.778,1.030,-0.014,0.970,-0.268,-0.822,-0.376,6.889864,0.102413,0.373248,2.571625,0.038225,106.931329,1.127205,0.000000,39.911854,0.420727
test.enc.prompt.txt::00437,test.enc.prompt.txt::00437,Looks like you,1.0,content_diversity,did not get the memo!,got up on the wrong side of the bed today,have your work cut out for you with this one,could use a big hug,had a fun weekend,4.750,0.433,-0.010,0.982,0.010,-0.603,-0.157,9.770303,0.045723,0.507019,4.953730,0.023182,24.721018,1.754569,0.000000,12.534027,0.889600
test.enc.prompt.txt::00446,test.enc.prompt.txt::00446,They'd be here,1.0,content_diversity,if they weren't dead.,if they really cared.,again.,if you let them.,tomorrow.,3.889,0.809,-0.027,0.735,-0.432,-0.691,-0.301,-2.450376,0.055060,0.404425,-0.990994,0.022268,12.285732,2.438376,0.000000,4.968661,0.986141
test.enc.prompt.txt::00792,test.enc.prompt.txt::00792,I want you,1.0,content_diversity,to know,more than anything,LIKE YESTERDAY,to tell me the time,to call me later,3.889,1.197,-0.022,0.963,0.002,-0.652,-0.327,11.910825,0.841492,0.422498,5.032303,0.355529,35.112841,2.112327,0.000000,14.835114,0.892455
test.enc.prompt.txt::00795,test.enc.prompt.txt::00795,May I help,1.0,content_diversity,with that heavy box,you with your homework,his dad? he looks tired,building new house,with food rationing? I could volunteer,4.500,0.667,-0.013,0.982,-0.118,-0.577,-0.138,5.467781,0.802981,0.336456,1.839667,0.270168,88.494708,2.300692,0.000000,29.774569,0.774082
test.enc.prompt.txt::00806,test.enc.prompt.txt::00806,Not so much,1.0,content_diversity,lately,"sugar, it is too sweet","time, you should be done sooner","perfume, it doesn't smell good","money, it is too expensive",4.667,0.471,-0.037,0.925,-0.264,-0.670,-0.212,40.236423,1.008388,0.313505,12.614319,0.316135,44.396498,5.448057,0.000000,13.918523,1.707993
test.enc.prompt.txt::00811,test.enc.prompt.txt::00811,The Prospero Project,0.0,content_diversity,isn't good at all,in my honest opinion is worthless,isn't relevant,shouldn't be considered good,is not worth at all,2.214,0.647,-0.030,0.940,-0.238,-0.710,-0.683,28.861866,1.348174,0.310054,8.948737,0.418007,32.066160,0.984578,0.000000,9.942241,0.305272
test.enc.prompt.txt::00824,test.enc.prompt.txt::00824,Privately owned by,1.0,content_diversity,the Gates family.,whoever wants to own it.,them and you cannot trespass.,that old family and rumored to be haunted.,the people that lost their son in the war.,4.389,0.774,-0.020,0.960,-0.206,-0.612,-0.177,2.341753,0.126197,0.419162,0.981573,0.052897,48.657803,0.821471,0.000000,20.395483,0.344329
test.enc.prompt.txt::00825,test.enc.prompt.txt::00825,You're not venturing,0.0,content_diversity,around the forest without me.,into the woods alone without protection.,around the wilds of Alaska without the rest of the team.,"out, into the wilderness, alone.","alone, into a wild area filled with bears.",2.562,0.464,-0.060,0.918,-0.431,-0.810,-0.602,16.567128,0.325367,0.473330,7.841716,0.154006,46.627232,0.875998,0.000000,22.070060,0.414636
test.enc.prompt.txt::00827,test.enc.prompt.txt::00827__row52,I was hoping,1.0,content_diversity,you could take me out for a dinner,i wouldn't have to see him,you could borrow me some money,he has changed,i wouldn't have to do whole project by myself,4.750,0.250,-0.045,0.897,-0.175,-0.630,-0.187,16.874997,0.939345,0.446043,7.526977,0.418989,42.450746,1.674806,0.000000,18.934866,0.747036
test.enc.prompt.txt::00827,test.enc.prompt.txt::00827__row53,I was hoping,0.0,content_diversity,you could lend me money,i could borrow money from you,you can give me some money,"you can lend me money, I'll pay you back",you can give me money and I'll pay back,1.833,0.745,-0.133,0.819,-0.558,-0.963,-0.820,25.617069,0.844298,0.467790,11.983400,0.394954,34.733936,0.816426,0.000000,16.248176,0.381916
test.enc.prompt.txt::00833,test.enc.prompt.txt::00833,I don't want,0.0,content_diversity,to be with you,go out on a date with you,to date you,have a date with you,to go anywhere with you,1.857,0.515,-0.158,0.788,-0.407,-0.839,-0.548,7.518111,0.551051,0.480463,3.612175,0.264760,23.683851,0.766790,0.000000,11.379217,0.368414
test.enc.prompt.txt::00834,test.enc.prompt.txt::00834,I'm ready to,0.0,content_diversity,let it go when you apologise,forgive when you say sorry,forgive when you apologise to me,let it go once you apologise,let it go if you say sorry first,1.643,0.350,-0.178,0.758,-0.507,-0.906,-0.742,38.970988,1.375790,0.383831,14.958292,0.528072,26.242802,0.746703,0.000000,10.072813,0.286608
test.enc.prompt.txt::00841,test.enc.prompt.txt::00841,"Cole, we've got",1.0,content_diversity,a big problem.,lots of money on hand.,a ton of vacation time to take.,to fire him.,the crown jewels.,4.857,0.226,-0.012,0.971,-0.262,-0.622,-0.210,-2.788677,-0.547284,0.419215,-1.169056,-0.229430,38.102482,1.386385,0.000000,15.973139,0.581194
test.enc.prompt.txt::00857,test.enc.prompt.txt::00857,Screw you... Screw,0.0,content_diversity,screw all of the existence of everything i guess,you and everyone else can go away,"screw me, i did it again","you, you'r a screw up","i cant , so screw you",3.375,1.083,-0.030,0.958,-0.012,-0.768,-0.391,18.070558,0.683924,0.299436,5.410969,0.204791,49.971746,1.501630,0.000000,14.963321,0.449641
test.enc.prompt.txt::00859,test.enc.prompt.txt::00859__row58,Sounds swell... I'm,1.0,content_diversity,heading there myself,gonna get going,not very interested..,really tired so goodbye,really hungry,4.000,0.408,-0.007,0.787,-0.107,-0.633,-0.259,19.846827,0.921731,0.416813,8.272424,0.384190,38.424793,1.142363,0.000000,16.015970,0.476152
test.enc.prompt.txt::00859,test.enc.prompt.txt::00859__row59,Sounds swell... I'm,0.0,content_diversity,on my way there,going there myself,leaving to go there right after,going up there too,leaving to go there too,1.938,0.165,-0.107,0.809,-0.246,-0.870,-0.556,26.383792,1.152131,0.425261,11.220010,0.489957,18.091964,0.682830,0.000000,7.693815,0.290381
test.enc.prompt.txt::00862,test.enc.prompt.txt::00862,What can I,1.0,content_diversity,"say, I've got the best family",do to help out a little more,give you to find out about the hotel,"have, are there choices?",every do to repay you?,4.500,0.471,-0.022,0.959,-0.090,-0.656,-0.251,13.169404,0.227432,0.372568,4.906496,0.084734,28.669318,1.241816,0.000000,10.681265,0.462660
test.enc.prompt.txt::00864,test.enc.prompt.txt::00864,You want to,1.0,content_diversity,put all the ingredients in the bowl first.,go to the park while it's warm out?,go to dinner with all of us?,make sure the edges are straight before cutting.,do all that you can to make sure it's correct.,4.611,0.393,-0.041,0.935,-0.080,-0.653,-0.198,10.187653,0.531384,0.431783,4.398858,0.229443,23.108564,0.686590,0.000000,9.977892,0.296458
test.enc.prompt.txt::00867,test.enc.prompt.txt::00867,You're all under,0.0,content_diversity,the insurance coverage,protection in time of need.,the insurance protection,the same plan,the protection of your policy,1.778,0.416,-0.070,0.912,-0.226,-0.813,-0.393,17.207872,0.795330,0.418917,7.208676,0.333178,47.333025,2.084572,0.000000,19.828626,0.873263
test.enc.prompt.txt::00869,test.enc.prompt.txt::00869,I'm not really,0.0,content_diversity,interested in buying this,in the market for your product,considering buying,in a position to buy anything,seeing a need to buy this,1.938,0.165,-0.037,0.931,-0.262,-0.854,-0.649,13.197102,0.585529,0.510686,6.739569,0.299021,27.309732,0.987260,0.000000,13.946686,0.504180
test.enc.prompt.txt::00872,test.enc.prompt.txt::00872,How the hell,1.0,content_diversity,did he get here before me,do you lose a dog,is this possible,can you be late every single day,did he break free from solitary,4.722,0.342,-0.014,0.969,-0.148,-0.596,-0.318,-3.745199,0.126293,0.509269,-1.907313,0.064317,46.763203,1.070893,0.000000,23.815035,0.545372
test.enc.prompt.txt::00880,test.enc.prompt.txt::00880,"Jesus, it's too",1.0,content_diversity,"big, it's not going to fit.",much to do in a short time,hard to make them all straight,cold to do anything outside,long of a show to sit through,4.389,0.515,-0.043,0.954,-0.117,-0.632,-0.343,6.826741,0.237555,0.456197,3.114341,0.108372,32.700825,1.081225,0.000000,14.918029,0.493252
test.enc.prompt.txt::00884,test.enc.prompt.txt::00884,"-- Stephen, wait",0.0,content_diversity,your doing it wrong,you didn't do it right,that's not how you do it,it's not correct,your doing it incorretly.,1.938,0.726,-0.076,0.875,-0.301,-0.795,-0.671,24.217255,1.293338,0.300458,7.276279,0.388594,46.225142,1.665527,0.000000,13.888735,0.500422
test.enc.prompt.txt::00885,test.enc.prompt.txt::00885,Don't tell them,0.0,content_diversity,no problem my lips are sealed,cool i get to keep a secret,ok no telling from me,why can't i tell again?,i will definetly not tell anyone,3.000,0.577,-0.017,0.972,-0.102,-0.709,-0.379,41.092729,1.807741,0.242186,9.952094,0.437810,31.807878,1.897706,0.000000,7.703431,0.459598
test.enc.prompt.txt::00889,test.enc.prompt.txt::00889,Will you please,0.0,content_diversity,quit bothering me,end your constant attempts to upset me,desist in attacking my emotions,leave me alone,kill all the annoying things your are doing,2.889,0.614,-0.018,0.977,-0.195,-0.729,-0.504,12.515872,0.742508,0.416027,5.206944,0.308903,88.198856,1.382840,0.000000,36.693126,0.575299
test.enc.prompt.txt::01574,test.enc.prompt.txt::01574__row69,"Oh, I'm sorry.",1.0,content_diversity,I shouldn't have said that,I didn't know that,"however, you can still help",i thought that was your grandma,i will never do it again,3.944,0.797,-0.020,0.969,-0.097,-0.602,-0.227,18.378953,0.654422,0.519668,9.550952,0.340082,51.269336,1.532347,0.000000,26.643027,0.796311
test.enc.prompt.txt::01574,test.enc.prompt.txt::01574__row70,"Oh, I'm sorry.",0.0,content_diversity,I could apologise,I should have rephrased it,i should have wrapped it up different,It would be better if I kept my mouth shut,I had to be quiet,3.500,0.782,-0.041,0.945,-0.211,-0.693,-0.345,23.140102,0.399616,0.421861,9.761903,0.168582,38.010889,1.492038,0.000000,16.035306,0.629432
test.enc.prompt.txt::01578,test.enc.prompt.txt::01578,I just thought,0.0,content_diversity,it would be my secret forever.,I could take it to my grave,it was long buried and gone.,the vault would keep it safe.,it was between me and my gods.,2.833,0.943,-0.054,0.936,-0.255,-0.732,-0.278,18.965525,0.712005,0.353165,6.697954,0.251455,27.993857,0.938659,0.000000,9.886442,0.331501
test.enc.prompt.txt::01586,test.enc.prompt.txt::01586,Most guys tuck,1.0,content_diversity,"their shirt in these days, its the fashion.",into their food too quickly.,their gear under the bed but you can use that cupboard as well.,like this just before they jump.,the envelope in rather than lick it and seal it.,4.778,0.478,-0.015,0.971,-0.134,-0.551,-0.161,8.421567,0.130584,0.461782,3.888926,0.060301,64.241673,0.560276,0.000000,29.665632,0.258725
