sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.sa-sb.sa-b::00861,test.sa-sb.sa-b::00861,"My dad bought some nonalcoholic beer. Since it didn't have alcohol, I asked him if I could try it. He told me I wouldn't like it. I tried it, and made a terrible face.",0.0,content_diversity,I asked dad why he bought nonalcoholic beer.,"It tasted so bad, I asked my dad why he purchased it.",Why did dad buy this?,I wanted to know why dad bought nonalcoholic.,Why would he buy this kind of beer?,1.833,0.471,-0.061,0.903,-0.400,-0.899,-0.557,14.261635,0.515480,0.514196,7.333272,0.265057,48.710591,0.893250,0.000000,25.046777,0.459305
test.sa-sb.sa-b::00871,test.sa-sb.sa-b::00871,"My wife and went to the movies in 1981. We saw the first movie. My wife did not like the second, Harold and Maude, and we left. Yesterday I saw the movie on DVR while my wife was at work.",1.0,content_diversity,I like it,I did not like it either,it was funny,it was not funny,it was not the same on tv,3.500,0.802,-0.123,0.845,-0.396,-0.713,-0.371,9.780712,0.969327,0.426332,4.169828,0.413255,46.055370,1.497026,0.000000,19.634863,0.638230
test.sa-sb.sa::00681,test.sa-sb.sa::00681,Sean's car started overheating. He remembered a trick to cool it down. He turned on his heater to max. It helped keep the car going until he got to a mechanic.,0.0,content_diversity,Sean decided to replace his old car with a new one,He purchased another car,"After that incident, he decided it's time to get a new car","To avoid problems in future, he decided to buy a new car",He replaced his old vehicle with a new one,2.062,0.916,-0.094,0.857,-0.505,-0.959,-0.592,34.058099,0.703314,0.590963,20.127090,0.415633,33.038738,0.705467,0.000000,19.524684,0.416905
test.sa-sb.sa::00682,test.sa-sb.sa::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,0.0,content_diversity,Car has hit a tree and she bumped into the seat in front of her,Driver lost control of the vehicle and bumped in the tree,She felt braking and could see car crashed in the tree,"Suddenly, she felt strong force and she was on the floor",She felt someone pulling the handbrake as they were crashing in the tree,2.000,0.408,-0.089,0.899,-0.326,-0.808,-0.521,42.547768,0.832544,0.437877,18.630676,0.364552,31.310525,0.409840,0.000000,13.710150,0.179459
test.sa-sb.sa::00689,test.sa-sb.sa::00689,Our relationship confuses me. We got into another argument. He accused me of not working hard. I explained my computer was being slow.,1.0,content_diversity,He told me to stop changing the subject.,I bought a new computer instead of fixing the slow one.,I walked out of the room before I said something I regretted.,He smashed the computer when I complained about it.,I decided to ignore him and tried to work as best as I could on the slow computer.,4.188,0.658,-0.052,0.934,-0.292,-0.741,-0.311,2.455571,0.140274,0.622311,1.528129,0.087294,45.978833,0.440762,0.000000,28.613139,0.274291
test.sa-sb.sa::00691,test.sa-sb.sa::00691,Jane noticed her internet was slow. The cable company was no help. Eventually someone recommended getting a better router. Jane tried it out.,1.0,content_diversity,she was happy with her new interernet,she like its,she did not like it,she was glad she did,she is happy she got a new router,3.222,0.711,-0.087,0.904,-0.264,-0.743,-0.468,8.603436,0.793680,0.352299,3.030983,0.279613,57.670405,2.366796,0.000000,20.317234,0.833820
test.sa-sb.sa::00698,test.sa-sb.sa::00698__row16,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,1.0,content_diversity,Joel fired the cook when things went too far downhill.,One day Joel called a meeting and set up new rules for the cook and other staff to follow.,This went on for a couple months before Joel had enough.,Joel did not care much about the restaurant either and he went out of business.,When making future hiring decisions Joel held up the cook as an example of what he doesn't want.,4.556,0.497,-0.044,0.945,-0.243,-0.887,-0.370,-10.721515,-0.040271,0.580286,-6.221550,-0.023369,64.403085,0.344980,0.000000,37.372240,0.200187
test.sa-sb.sa::00698,test.sa-sb.sa::00698__row17,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,0.0,content_diversity,One day the cook showed up at the restaurant and was very angry.,The cook pleaded for another chance.,It was time to start over and pick up the pieces.,Joel discovered that the cook had been battling a severe illness and it had affected his work.,From that day forward Joel's restaurant was the best in town.,4.278,0.533,-0.035,0.945,-0.266,-0.734,-0.270,18.906880,0.383448,0.559379,10.576107,0.214492,54.845022,0.428021,0.000000,30.679140,0.239426
test.sa-sb.sa::00699,test.sa-sb.sa::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",1.0,content_diversity,They were lucky that the tornado did not make it to their farm.,This was a bad decision because Janet's mother did not make it.,Everything worked out because the tornado died out before it could reach the farm.,They were able to protect the animals but their garden was destroyed by the tornado.,The family is not afraid of tornadoes anymore.,4.111,0.458,-0.054,0.902,-0.322,-0.746,-0.402,10.504244,-0.026164,0.603586,6.340215,-0.015792,56.971717,0.869782,0.000000,34.387335,0.524988
test.sa-sb.sa::00701,test.sa-sb.sa::00701,Devin just got his licenses. He asks his parents for permission to out driving. While out driving he agrees to race one of his friends. Devin steps on the gas and races in his parents car.,1.0,content_diversity,Devin goes 100 mph and gets pulled over by the police.,Devin hits a telephone pole and totals his parents car.,Devin forgets his license and gets arrested.,Devin's little brother was with him and snitched to their parents.,Devin gets lost and has to call his parents.,4.667,0.333,-0.061,0.932,-0.393,-0.856,-0.447,16.823588,0.321610,0.632311,10.637735,0.203358,57.261173,0.632041,0.000000,36.206852,0.399646
test.sa-sb.sa::00703,test.sa-sb.sa::00703,Jake was changing clothes in his room. He didn't realize his overhead fan was on. When he reached up to take off his shirt his arm hit the fan blades. Jake wound up fracturing his wrist.,1.0,content_diversity,"His mom ran upstairs when she heard the commotion, and immediately drove him to the emergency room.","He had to wear a cast and was unable to play his favorite sport, baseball, for an entire month.",He thought it was cool so he showed it to the neighborhood kids.,He was in agonizing pain so he raced to the phone to call an ambulance.,He then woke up and realized it was all a dream.,4.167,0.707,-0.055,0.930,-0.274,-0.591,-0.200,12.490772,0.112939,0.636332,7.948277,0.071866,54.413191,0.545087,0.000000,34.624853,0.346857
test.sa-sb.sa::00705,test.sa-sb.sa::00705,Jim has a very important math test next week. He is really worried about passing with a good grade. Jim decided to ask his teacher for ideas on great study tips. His teacher gave him some really great studying advice.,0.0,content_diversity,Confidence flowed through Jim as he realized he easily solved all the questions.,The teacher handed back Jim's test which got full marks.,Jim got a hundred on the test.,Jim ended up doing well and passing the math test.,He came home happy he passed the test.,2.667,0.577,-0.042,0.950,-0.374,-0.860,-0.540,14.507229,0.301158,0.484373,7.026914,0.145873,79.381763,0.501455,0.000000,38.450406,0.242891
test.sa-sb.sa::00706,test.sa-sb.sa::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",1.0,content_diversity,Someone had hidden it there after damaging it.,I was very happy to have my textbook and sat down to study.,I felt mystified as to why the book was in a bin but was relieved I had found it.,I opened the book and got down to catching up on my studies.,Later in the day my roommate admitted they had been tidying and put my book there.,3.857,0.693,-0.045,0.924,-0.282,-0.761,-0.423,5.755892,0.082066,0.559606,3.221033,0.045925,43.725937,0.472146,0.000000,24.469307,0.264216
test.sa-sb.sa::00709,test.sa-sb.sa::00709,I put my dog in training school. He is learning a lot of new tricks. He can now sit and stand. They are very good teachers.,0.0,content_diversity,We joined together with our new friends to put together a dog trick stage show.,My pup has never been happier.,Now people gasp with delight when they see what my dog can do.,Our new friends agreed that these were the best dog trainers ever.,We all decided to stay in touch and do doggy play dates.,4.389,0.698,-0.015,0.965,-0.248,-0.749,-0.520,20.764491,0.378086,0.498768,10.356672,0.188577,65.806998,0.471831,0.000000,32.822450,0.235334
test.sa-sb.sa::00714,test.sa-sb.sa::00714,Sam was at work. He had to lift a heavy box by himself. Sam pulled a muscle trying to do so. He had to get physical therapy to get better.,1.0,content_diversity,"After physical therapy, he was more fit than ever",Physical therapy was very expensive,"After the therapy, he promised he would be more careful lifting heavy objects",He decided to start going to the gym so he can avoid this kind of injuries,"After few months, he felt better that ever",3.944,0.497,-0.033,0.949,-0.221,-0.824,-0.372,14.027387,0.066850,0.622393,8.730553,0.041607,48.593866,0.970131,0.000000,30.244502,0.603803
test.sa-sb.sa::00716,test.sa-sb.sa::00716,Sam went on a date. He was nervous and ate too much at dinner. After a short while he started feeling sick. Sam had to cut the date short and go home.,0.0,content_diversity,He had to call her and apologise,Next day he called her and explained what had happened,He asked his date for forgivness,He was so embarrassed while explaining the reason for leaving,Next day he grabbed a phone and called to say sorry,2.611,0.567,-0.041,0.924,-0.273,-0.744,-0.361,18.788877,0.548924,0.515762,9.690597,0.283114,51.643788,1.015839,0.000000,26.635925,0.523931
test.sa-sb.sa::00718,test.sa-sb.sa::00718,John woke up on the beach not remembering who he was. John looked at his belongings. John found a car key. John used the car key to find out the car.,1.0,content_diversity,He tried it until he found the right car.,He went to the hospital to get himself checked out.,He went to the local police station to help with identification.,He drove to the local grocery store and went in.,He drove around aimlessly.,4.389,0.515,-0.084,0.877,-0.400,-0.735,-0.180,10.116416,-0.025474,0.602433,6.094459,-0.015346,37.785211,0.854106,0.000000,22.763045,0.514541
test.sa-sb.sa::00721,test.sa-sb.sa::00721,Randy tells his kids if they massage him all night he will reward them. He tells them he will give them 100 dollars each for doing it. The kids massage their father all night. When the morning comes the kids are excited to be done.,0.0,content_diversity,Every kid bought 100 dollars worth of toys,All kids were happy with their money spent on toys,Each of them decided to buy toys,"With 100 dollars, all kids bought new toys",Receiving their reward made them happy because now they can buy toys,2.000,0.598,-0.043,0.942,-0.320,-0.958,-0.613,21.714570,0.761173,0.464420,10.084677,0.353504,55.543481,0.486524,0.000000,25.795493,0.225952
test.sa-sb.sa::00726,test.sa-sb.sa::00726,Chris is a star runner. Chris has a big race this sunday. He invited all his friends and family to the race. While at the race Chris runs as hard as he can.,1.0,content_diversity,Chris really wanted to show off in front of everyone but he ended up falling down instead.,"Unfortunately, Chris got disqualified from another event after jumping the gun several times.",Chris ended up winning the race and dedicating his win to his mother.,Chris had his best race ever even breaking a state record.,Chris was nervous about his friends and family being there but persevered and won.,4.214,0.995,-0.033,0.953,-0.302,-0.829,-0.389,-8.522151,-0.060314,0.604328,-5.150179,-0.036450,65.698069,0.576050,0.000000,39.703216,0.348123
test.sa-sb.sa::00731,test.sa-sb.sa::00731,I had my special cup on my desk. I accidentally bumped it. It fell and rolled over the edge. It hit the husky and bounced off.,0.0,content_diversity,Cup landed softly on the rug,"When cup bounced off, it landed on the carpet","Fortunately, the cup landed softly and didn't shatter",Cup fell on the carpet but nothing happened,Carpet was soft so when cup fell down it didn't shatter,2.222,0.749,-0.075,0.891,-0.319,-0.961,-0.670,23.719155,0.556156,0.502391,11.916284,0.279408,43.084372,0.444379,0.000000,21.645190,0.223252
test.sa-sb.sa::00738,test.sa-sb.sa::00738,James wanted to go swimming. He made plans with friends. Unfortunately it started to rain. Most of his friends cancelled.,1.0,content_diversity,James didn't care about the rain and went swimming anyway.,James got mad at his friends for canceling and stayed home and played games.,James was really angry about the rain and told his friends he was mad at them too.,One of James' friends didn't cancel and they went swimming together.,James decided to go swimming anyway and found that the pool was closed.,3.722,0.671,-0.075,0.892,-0.364,-0.863,-0.414,15.052915,0.166800,0.678408,10.212021,0.113158,47.595710,0.459888,0.000000,32.289322,0.311992
test.sa-sb.sa::00739,test.sa-sb.sa::00739,Sam went out drinking. He tried to drive home. He couldn't find his keys. He had to call a taxi.,1.0,content_diversity,Sam didn't care about being responsible but the bar did and took his keys.,Sam was furious that his keys were missing but went home anyway.,Sam couldn't find anyone to give him a ride so he had to call for a ride.,Sam's friends at the bar took his keys making Sam angry at everyone.,Sam was so drunk he shouldn't have been driving anyway.,3.611,0.657,-0.047,0.916,-0.274,-0.834,-0.387,29.541731,0.384767,0.536880,15.860350,0.206574,63.043190,0.726931,0.000000,33.846597,0.390275
test.sa-sb.sa::00744,test.sa-sb.sa::00744,Tim always loved reading and writing. He decided to try and write a book. It took him a long time. Not many people read it.,0.0,content_diversity,It was a cult classic,The few you read it were big fans,Tim develop a small loyal fan base,The book was considered an acquired taste but some liked it,"It had a polarizing reaction, people either loved or hated it",3.500,0.527,-0.022,0.967,-0.220,-0.680,-0.502,20.894177,0.735598,0.459682,9.604687,0.338142,65.613399,1.475506,0.000000,30.161329,0.678264
test.sa-sb.sa::00745,test.sa-sb.sa::00745,Brett got new shoes today. His old ones had a hole in them. He really does not like his new shoes. Brett wanted his old shoes back.,1.0,content_diversity,he got his old shoes back,he exchange the new pair for a new pair of his old shoes,he threw the new shoes away,he decided to try the new shoe anyway,he keeps the new shoes,3.222,0.629,-0.122,0.854,-0.432,-0.977,-0.610,24.697251,0.679338,0.487496,12.039819,0.331175,49.866289,0.712608,0.000000,24.309632,0.347394
test.sa-sb.sa::00751,test.sa-sb.sa::00751,Tom was invited to a party. He wasn't much of a beer drinker. He got whatever he saw on sale. Everyone at the party was a bit disappointed.,1.0,content_diversity,it was not his fault though,they wanted better booze,they thought he was not being selective,they wanted him to put in more thoughts,"they were disappointed because the music was bad, not because of tom",3.333,0.745,-0.043,0.939,-0.212,-0.693,-0.243,14.119314,0.697343,0.440313,6.216924,0.307049,56.483645,0.437061,0.000000,24.870511,0.192444
test.sa-sb.sa::00760,test.sa-sb.sa::00760,Karl was getting ready for work. He didn't have enough time to make breakfast. Karl decided to just eat some cereal. He poured out the cereal before checking the milk.,1.0,content_diversity,Turns out that the milk was sour and he ruined a good bowl of cereal.,Karl looked into the fridge and realized he didn't have any milk.,Karl put the cereal back into the box because he was out of milk.,Karl remember he didn't have any milk so put the cereal back.,Karl put the cereal in a sandwich bag and just ate it like granola because he had no milk.,3.722,0.629,-0.131,0.832,-0.404,-0.945,-0.670,-18.475431,-0.149356,0.640792,-11.838901,-0.095706,88.608376,1.025438,0.000000,56.779505,0.657092
test.sa-sb.sa::00762,test.sa-sb.sa::00762,"In college, I heard my first opera. It was called Marriage of Figaro. The singers sang in English so we could understand the words. It was a very funny story.",1.0,content_diversity,I love this opera,I like opera ever since,I did not like other opera though,I enjoy telling other people about this story,I decide to buy the book on this opera,4.111,0.698,-0.072,0.926,-0.222,-0.837,-0.325,14.465124,0.511439,0.507958,7.347681,0.259790,48.491904,0.811005,0.000000,24.631870,0.411957
test.sa-sb.sa::00764,test.sa-sb.sa::00764,Jake went bowling one day. It was his friend's birthday. Jake decided to be nice and let his friend win. The friend was excited over beating him.,0.0,content_diversity,Over ice cream Jake's friend happily reminisced about his win.,They got ice cream cake Jake's friend blew out the candles wishing that every birthday would be so perfect.,It was the perfect end to a lovely evening.,They created some good memories that day.,Over ice cream Jake's friend began to speculate as to whether he should bowl professionally.,4.000,0.624,-0.053,0.902,-0.301,-0.753,-0.264,18.667707,0.446124,0.525169,9.803700,0.234291,98.639926,0.579759,0.000000,51.802627,0.304471
test.sa-sb.sa::00765,test.sa-sb.sa::00765,Jervis wanted to get a dog. He went to a pound to find a puppy. Jervis picked out a small puppy. He brought the puppy home and gave him some water to drink.,0.0,content_diversity,The puppy adored Jervis quickly and couldn't wait to bark out his love.,The puppy couldn't find enough ways to shoe Jervis how crazy he was about him.,Jervis got up to walk away and the puppy barked to tell him to stay with him.,The puppy was so grateful to be out of the cage he didn't know how to act so he barked at Jervis.,Jervis and the puppy played for hours because they were nuts for each other.,3.071,0.728,-0.065,0.910,-0.251,-0.931,-0.635,24.823783,0.278548,0.540068,13.406520,0.150435,34.080992,0.474921,0.000000,18.406038,0.256490
test.sa-sb.sa::00767,test.sa-sb.sa::00767,Kate and her friends drove all the way to Las Vegas. But they didn't like their hotel. So they decided to look online. They sat in the car looking on their phones for a better deal.,1.0,content_diversity,Kate found a hotel for a lot cheaper.,They came across a hotel with more stars.,Kate's friend found a much better deal.,They finally saw one with much better reviews.,Kate found a website with better amenities.,3.333,0.527,-0.078,0.889,-0.462,-0.796,-0.425,5.811825,0.148872,0.618315,3.593538,0.092050,16.972247,0.246546,0.000000,10.494191,0.152443
test.sa-sb.sa::00768,test.sa-sb.sa::00768,"Abby was invited to a girl's trip to Seattle with her friends. Abby accepted the invitation, and were on their way to Seattle. After checking in the hotel, Abby fell straight asleep. When Abby awoke, her friends had returned from their night out.",1.0,content_diversity,abby joined them for dinner,abby missed the event,abby asked how their nights went,abby was upset her friends did not wake her up,abby was sad to be left out,3.778,0.478,-0.037,0.955,-0.457,-0.798,-0.393,22.355759,0.685329,0.440663,9.851347,0.301999,19.973366,0.878056,0.000000,8.801516,0.386927
test.sa-sb.sa::00776,test.sa-sb.sa::00776,Loren decided to wash the dishes for her roommates. She used a glass of water to soak the sponge in. After she washed everything she forgot to wash the glass. She left it next to the sink and a roommate tried to drink from it.,1.0,content_diversity,She grabbed it before her roommate could drink from it.,The roommate drank from it.,The roommate dropped the glass as they picked it up.,Her roommate decided to wash the glass instead.,Her roommate threw the glass at another one as they were fighting.,4.278,0.533,-0.076,0.899,-0.468,-0.949,-0.455,-7.274965,-0.024193,0.652955,-4.750221,-0.015797,54.268341,0.375450,0.000000,35.434757,0.245152
test.sa-sb.sa::00779,test.sa-sb.sa::00779,Charles wanted a raise. He was nervous about asking his boss. He finally built up enough courage to do it. His boss appreciated his initiative.,0.0,content_diversity,Charles was given a raise and a promotion.,Charles was now the new supervisor.,Charles moved up the ranks and now works more closely with his boss.,His boss nominated him for employee of the month.,Charles received compensation and moved up in the ranks.,3.000,0.745,-0.052,0.918,-0.440,-0.840,-0.582,11.267863,0.156051,0.601930,6.782462,0.093932,39.213811,0.653151,0.000000,23.603960,0.393151
test.sa-sb.sa-b::00240,test.sa-sb.sa-b::00240,There once was a person born without a brain. They tried and tried and tried to think. They read books and stared at screens until their eyes bled. Then one day they threw out all of their learning material.,0.0,content_diversity,they quit,they did not care,IT WAS TO HARD SO THEY WERE DONE,he gave up,he was done trying,1.889,0.567,-0.013,0.981,-0.194,-0.665,-0.549,42.175286,2.498957,0.244008,10.291104,0.609765,64.909187,1.367590,0.000000,15.838357,0.333703
test.sa-sb.sa-b::00242,test.sa-sb.sa-b::00242,Chloe is an actress who just turned 19. She is very interested in politics. She decided to use her platform to raise political awareness. She started to campaign for Hillary Clinton.,0.0,content_diversity,she got a lot of offers,she was happy,lots of work came in,everyone wanted to work with her,she was constantly sought after,3.333,0.707,-0.033,0.950,-0.288,-0.711,-0.458,29.532188,1.416056,0.330066,9.747575,0.467392,27.430019,1.508059,0.000000,9.053720,0.497759
test.sa-sb.sa-b::00247,test.sa-sb.sa-b::00247,"Brett was having some issues. He called his best friend Michael. They met at a coffee shop to talk. After a few hours, Brett felt like he knew what to do.",0.0,content_diversity,Michael professional made him an expert,Michael was afew years older and usually knew what to do,Michael has given Brett good advice in the past,Michael walks worked where brett did and knew how to advise him on work siutation,Michael was known for being a helpful friend,3.167,0.745,-0.033,0.959,-0.166,-0.867,-0.572,23.736159,0.290925,0.500541,11.880930,0.145620,160.341935,1.707483,0.000000,80.257777,0.854666
test.sa-sb.sa-b::00249,test.sa-sb.sa-b::00249,Steve and Josie are newlyweds. But Josie suspects that Steve is already cheating. She told her friends and they all agreed Steve was up to something. They all decided to follow him one day.,1.0,content_diversity,he was taking dance lesson,he was learning how to make flower bouquet,he was indeed cheating,he was dating her best friend,he was actually working extra,3.944,0.762,-0.120,0.908,-0.277,-0.654,-0.140,32.664330,1.137280,0.386461,12.623503,0.439515,23.959347,0.327474,0.000000,9.259363,0.126556
test.sa-sb.sa-b::00251,test.sa-sb.sa-b::00251,Don was out on a field. He saw a rabbit get close. Don decided to chase it. The rabbit ran away slowly.,0.0,content_diversity,he went shopping afterwards,went to the store later,he had to go gracery shopping,dan bought groceries,dan went to get food,1.667,0.408,-0.043,0.928,-0.375,-0.836,-0.458,60.496219,2.437141,0.215152,13.015908,0.524357,49.305927,1.487448,0.000000,10.608290,0.320028
test.sa-sb.sa-b::00256,test.sa-sb.sa-b::00256,Jane wanted to watch a big new action movie. She had been waiting a long time for it to come out. When tickets became available she was too busy. By the time she had a chance to buy some it was sold out.,1.0,content_diversity,Jane cried all the way home.,Jane found a ticket scalper to sell her tickets.,A friend of Jane's offered her one of her tickets.,Jane decided to go to another town to see it.,Jane decided to just wait and stream it at home when it becomes available.,4.111,0.567,-0.041,0.920,-0.250,-0.860,-0.333,-12.110498,-0.170999,0.634834,-7.688150,-0.108556,33.277993,0.601554,0.000000,21.125987,0.381887
test.sa-sb.sa-b::00262,test.sa-sb.sa-b::00262,It was a really hot day and Jamie wanted something sweet. Seeing a cute ice cream shop nearby she decided to go in. While waiting she noticed two children who looked very sad. She soon realized they had no money.,1.0,content_diversity,"Tough, thought Jamie and walked passed them holding his ice cream.",Jamie felt sorry for them so asked them what they wanted and got it for them.,Jamie told the shopkeepr to give them some free ice cream but he refused.,Jamie told the kids if they would wash his bike he would give them some money and they agreed.,Jamie gave them his ice cream to share and they were very grateful.,4.056,0.685,-0.085,0.882,-0.276,-0.881,-0.472,20.067424,0.204451,0.590128,11.842358,0.120652,83.542077,1.249962,0.000000,49.300560,0.737638
test.sa-sb.sa-b::00268,test.sa-sb.sa-b::00268,Karl woke up late for work one day. He didn't know why his alarm didn't go off. Later that day his alarm went off. Karl realized he put PM instead of AM>.,1.0,content_diversity,He missed a job interview,He was late for work and got fired,He missed a bus,He had to hurry up,He had to skip breakfast,3.611,0.774,-0.092,0.881,-0.308,-0.690,-0.343,18.441782,1.053092,0.484231,8.930083,0.509940,13.468590,0.779507,0.000000,6.521910,0.377461
test.sa-sb.sa-b::00272,test.sa-sb.sa-b::00272,Every month I start craving chocolate and salt. The cravings get so bad I can't resist them. I end up eating chips and candy bars. Eating those things makes my stomach start hurting.,0.0,content_diversity,"In the end I always throw up, it's awful.","I am always sick after, I hate it.","When I have finished eating I always throw up, it's horrible.","I always end up puking, it's awful.","After I have eaten I am always sick, it's awful.",1.611,0.515,-0.146,0.812,-0.625,-0.924,-0.805,42.740813,0.947579,0.480710,20.545947,0.455511,18.126297,0.713934,0.000000,8.713497,0.343195
