sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.enc.prompt.txt::01248,test.enc.prompt.txt::01248,I'd like you,0.0,content_diversity,to introduce you to my parents,to come and meet my parents,to finally meet with my parents,to meet my mom and dad,to introduce you my mom and dad,-0.166,0.775,-0.470,-0.914,-0.780,25.103329,0.926453,0.507532,12.740745,0.470205,31.342678,0.901431,0.000000,15.907415,0.457505
test.enc.prompt.txt::01249,test.enc.prompt.txt::01249,Nothing. She wanted,1.0,content_diversity,to know directions to the drive through is all.,money but I gave her nothing.,it all just to go away so that she was free again.,to know if I knew someone and I didn't.,to arrest me but couldnt pin anything on me.,-0.029,0.951,-0.133,-0.638,-0.150,-3.190742,-0.061003,0.485415,-1.548834,-0.029612,66.079027,0.805848,0.000000,32.075756,0.391171
test.enc.prompt.txt::01250,test.enc.prompt.txt::01250__row12,Are you for,1.0,content_diversity,a dance,a date in a restaurant,democrats or republicans,a coffee after desert,this new movie,-0.025,0.965,-0.047,-0.571,-0.096,17.153902,0.736684,0.261352,4.483213,0.192534,43.080739,1.630408,0.000000,11.259253,0.426111
test.enc.prompt.txt::01250,test.enc.prompt.txt::01250__row13,Are you for,0.0,content_diversity,a nice dinner in a restaurant,dinner in a fancy restaurant,a date somewhere nice,a date with me in a fancy dinner,a dinner in a classy restaurant,-0.188,0.786,-0.489,-0.882,-0.729,32.732959,1.243061,0.388313,12.710633,0.482697,24.626879,0.909313,0.000000,9.562937,0.353098
test.enc.prompt.txt::01251,test.enc.prompt.txt::01251,It's a good,1.0,content_diversity,day to go shopping.,day to plan a wedding.,day to get some chores done.,time to invest in the stock market.,time to get some work done.,-0.094,0.874,-0.445,-0.737,-0.329,13.025663,0.495802,0.500310,6.516875,0.248055,19.103829,0.700926,0.000000,9.557844,0.350681
test.enc.prompt.txt::01252,test.enc.prompt.txt::01252__row15,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,-0.009,0.974,-0.105,-0.601,-0.125,6.373046,0.222860,0.476318,3.035594,0.106152,55.206227,1.197356,0.000000,26.295692,0.570321
test.enc.prompt.txt::01252,test.enc.prompt.txt::01252__row16,It seems your,0.0,content_diversity,sweet little kitten adores getting attention!,"cat is begging for attention, so have you been giving her any?",cat is very sociable and friendly around other people!,"kitty is extremely affectionate, what a sweetheart!",time spent with your cat isn’t enough because she is starved for attention.,-0.021,0.970,-0.252,-0.840,-0.458,13.450593,0.384190,0.478541,6.436658,0.183850,49.009625,0.365177,0.000000,23.453106,0.174752
test.enc.prompt.txt::01253,test.enc.prompt.txt::01253,I wouldn't accept,1.0,content_diversity,anything but the truth,not loving you anymore,money from her,you leaving,mediocreness,-0.007,0.786,0.028,-0.564,-0.275,4.215839,0.091126,0.345333,1.455867,0.031469,40.353815,4.027193,0.000000,13.935487,1.390721
test.enc.prompt.txt::01254,test.enc.prompt.txt::01254,In a magazine,1.0,content_diversity,so many pages,theres lots of advertisements,i saw there was a model who was pretty,there was a car,that was boring,-0.038,0.919,-0.183,-0.636,-0.191,32.308980,1.128205,0.330071,10.664265,0.372388,43.934757,1.174176,0.000000,14.501600,0.387562
test.enc.prompt.txt::01255,test.enc.prompt.txt::01255,I don't know...,1.0,content_diversity,why this happens,think so,know anyone who can,what time it is,where it went,-0.006,0.787,-0.137,-0.629,-0.350,19.080793,1.288439,0.331463,6.324576,0.427070,18.904938,2.123474,0.000000,6.266287,0.703853
test.enc.prompt.txt::01256,test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,-0.027,0.547,-0.154,-0.637,-0.249,7.824243,0.552783,0.286310,2.240163,0.158268,29.351523,2.408148,0.000000,8.403649,0.689478
test.enc.prompt.txt::01257,test.enc.prompt.txt::01257,Don't you think,1.0,content_diversity,you should check?,you should hear him out?,you've done enough?,it's time to quit?,it's time to try again?,-0.051,0.890,-0.390,-0.716,-0.380,-0.994979,-0.002222,0.479303,-0.476897,-0.001065,9.904329,0.655152,0.000000,4.747177,0.314016
test.enc.prompt.txt::01258,test.enc.prompt.txt::01258__row22,You know what,1.0,content_diversity,"I've had enough, I'm, out of here.",I really think I like the bigger one better than the smaller one.,you have some knid of nerve coming here today.,"I think you are really, really dumb.",this is used for? I bet you can't guess.,-0.025,0.951,-0.092,-0.675,-0.204,8.892496,0.081461,0.400171,3.558517,0.032598,47.124051,1.183441,0.000000,18.857668,0.473579
test.enc.prompt.txt::01258,test.enc.prompt.txt::01258__row23,You know what,0.0,content_diversity,I'd go for the big one over the small one.,I think the small one isn't as good as the bigger one.,I really think the bigger one is the best of the two.,I would choose the big one over the small one every time.,"I like the bigger one much better than the smaller one,",-0.185,0.782,-0.537,-0.935,-0.584,47.732921,0.896653,0.445690,21.274093,0.399630,13.557281,0.288889,0.000000,6.042346,0.128755
test.enc.prompt.txt::01259,test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,-0.089,0.885,-0.266,-0.667,-0.282,12.113993,0.472697,0.521266,6.314610,0.246401,20.668622,0.547236,0.000000,10.773845,0.285255
test.enc.prompt.txt::01260,test.enc.prompt.txt::01260,May I ask,1.0,content_diversity,where did you get this number?,how did you find me,how did you get your driving license,how didn't you see him crossing the road,do you like eggs,-0.087,0.888,-0.297,-0.675,-0.250,9.015245,-0.058891,0.445360,4.015031,-0.026228,42.513364,1.855235,0.000000,18.933757,0.826248
test.enc.prompt.txt::01262,test.enc.prompt.txt::01262,How many questions,1.0,content_diversity,can you possibly have?,are on the test?,are on the intake form?,does she have for me?,am I allowed to ask?,-0.033,0.936,-0.317,-0.715,-0.403,8.786730,0.366236,0.506272,4.448475,0.185415,26.320445,0.873911,0.000000,13.325302,0.442437
test.enc.prompt.txt::01264,test.enc.prompt.txt::01264,Maybe you're fed,0.0,content_diversity,payment will be processed quickly,money will show in your bank account by the end of the day,cash will arrive soon,credit will not give you reason for patience,advance will get to you within the hour,-0.035,0.963,-0.321,-0.781,-0.413,44.544812,1.385725,0.295962,13.183560,0.410122,72.977475,1.544897,0.000000,21.598540,0.457230
test.enc.prompt.txt::01265,test.enc.prompt.txt::01265__row28,"Eve, I don't",1.0,content_diversity,think you have the skills for the job.,think you want to make any hasty decisions.,want you to leave.,think you should stay with your husband.,think you should keep using drugs.,-0.084,0.896,-0.323,-0.768,-0.121,-5.343875,-0.062430,0.557144,-2.977306,-0.034783,27.546373,0.890267,0.000000,15.347288,0.496007
test.enc.prompt.txt::01265,test.enc.prompt.txt::01265__row29,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,-0.147,0.774,-0.476,-0.934,-0.636,26.994555,0.626251,0.559378,15.100159,0.350311,20.591607,0.455039,0.000000,11.518491,0.254539
test.enc.prompt.txt::01266,test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",0.000,1.000,-0.242,-0.670,-0.221,-3.174687,0.277392,0.324337,-1.029667,0.089968,39.005761,1.879215,0.000000,12.650994,0.609498
test.enc.prompt.txt::01267,test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,-0.013,0.974,-0.003,-0.644,-0.158,6.813356,0.192846,0.465391,3.170875,0.089749,74.563625,1.627574,0.000000,34.701250,0.757459
test.enc.prompt.txt::01268,test.enc.prompt.txt::01268,What's wrong with,0.0,content_diversity,"you, has your dog died?","your face, you look so sad, has someone croaked?",your eyes? Are you crying? Did he die?,"You, you lost a relative or something?","you, why so sad? Did something bad happen?",-0.027,0.957,-0.214,-0.709,-0.591,33.167389,0.880982,0.344578,11.428757,0.303567,50.059734,0.859233,0.000000,17.249490,0.296073
test.enc.prompt.txt::01269,test.enc.prompt.txt::01269,Yes! Yes! The,1.0,content_diversity,others said the same thing,boss said we are gonna leave soon,dinner is almost ready,same thing happened to me,light is still on,-0.021,0.958,-0.199,-0.593,-0.237,14.053208,0.446993,0.493158,6.930450,0.220438,52.822992,1.160219,0.000000,26.050073,0.572171
test.enc.prompt.txt::01270,test.enc.prompt.txt::01270,I don't have,0.0,content_diversity,anything to give you.,what you're asking for.,whatever it is you are looking for.,what you need.,anything you want.,-0.046,0.943,-0.344,-0.826,-0.603,11.963317,0.457454,0.479433,5.735607,0.219319,18.146119,0.526009,0.000000,8.699846,0.252186
test.enc.prompt.txt::01272,test.enc.prompt.txt::01272,I think it's,1.0,content_diversity,gonna rain,the best film i've seen,more than complicated,impossible to travel on mars,so ugly sweater,0.000,1.000,-0.085,-0.521,-0.138,9.333871,0.090947,0.356385,3.326451,0.032412,42.311147,2.820667,0.000000,15.079054,1.005243
test.enc.prompt.txt::01273,test.enc.prompt.txt::01273__row36,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,-0.094,0.517,-0.515,-0.766,-0.382,-2.847786,-0.195485,0.328137,-0.934463,-0.064146,18.885723,1.955312,0.000000,6.197101,0.641610
test.enc.prompt.txt::01273,test.enc.prompt.txt::01273__row37,Watching television in,0.0,content_diversity,my panties.,my boxers.,my undergarments.,my skivvies.,my briefs.,-0.100,0.320,-0.615,-0.783,-0.448,6.920774,0.410716,0.226878,1.570171,0.093182,11.269363,0.579717,0.000000,2.556770,0.131525
test.enc.prompt.txt::01274,test.enc.prompt.txt::01274__row38,Why not buy,1.0,content_diversity,in bulk,more toilet paper,his product,new book for uni,this fancy phone,0.000,0.800,-0.223,-0.582,-0.153,8.429622,0.712299,0.325806,2.746425,0.232071,43.577119,2.263432,0.000000,14.197707,0.737441
test.enc.prompt.txt::01274,test.enc.prompt.txt::01274__row39,Why not buy,0.0,content_diversity,new textbook,this book that is for your course,textbook for university,this new book that will help you at uni,textbook for your course at uni,-0.079,0.854,-0.285,-0.917,-0.673,48.890374,1.777296,0.369624,18.071065,0.656932,31.141552,0.617670,0.000000,11.510671,0.228306
test.enc.prompt.txt::01276,test.enc.prompt.txt::01276,Adam? Don't even,1.0,content_diversity,think about it!,utter his name!,know who that is.,tell me.,want to see him.,0.000,0.800,-0.343,-0.687,-0.407,0.453914,0.120392,0.494838,0.224614,0.059574,17.443894,2.018185,0.000000,8.631898,0.998674
test.enc.prompt.txt::01278,test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,-0.056,0.942,-0.218,-0.668,-0.176,11.880958,0.900354,0.394871,4.691445,0.355523,77.624804,1.519006,0.000000,30.651780,0.599811
test.enc.prompt.txt::01279,test.enc.prompt.txt::01279__row42,It didn't used,1.0,content_diversity,to be that way,work before so i see why,to go out all of the time,get so cold this time of the year,"begin that way, it kinda happened",-0.022,0.954,-0.022,-0.672,-0.288,8.803526,0.455053,0.436949,3.846690,0.198835,76.612451,2.306212,0.000000,33.475718,1.007696
test.enc.prompt.txt::01279,test.enc.prompt.txt::01279__row43,It didn't used,0.0,content_diversity,why is it already getting col,it got cold faster than usual,its pretty cold out so sonn,its really cool already,i cant believe how cold it is already,-0.036,0.947,-0.083,-0.754,-0.339,64.238898,2.422050,0.219871,14.124251,0.532538,41.538643,1.842401,0.000000,9.133130,0.405090
test.enc.prompt.txt::01280,test.enc.prompt.txt::01280,He has a,1.0,content_diversity,medical issue.,wife at home.,huge problem with me.,girlfriend already.,mental problem.,-0.007,0.785,-0.442,-0.656,-0.157,13.940768,0.647588,0.285385,3.978491,0.184812,22.750332,1.212900,0.000000,6.492612,0.346144
test.enc.prompt.txt::01281,test.enc.prompt.txt::01281,The guy with,0.0,content_diversity,the playful german shepherd,the hyperactive large canine,the frisbee playing golden retriever,that really happy great pyrennees,a smiling poodle that is light on it's feet,-0.017,0.978,-0.152,-0.566,-0.257,14.244041,0.608117,0.351255,5.003285,0.213604,75.943125,1.655165,0.000000,26.675371,0.581384
test.enc.prompt.txt::01282,test.enc.prompt.txt::01282__row46,"Yep. You know,",1.0,content_diversity,they always act like that,I feel the same way,the beach is relaxing,having a job is a good thing,this pandemic has been bizarre,-0.008,0.977,-0.143,-0.575,-0.238,5.441473,0.483538,0.442413,2.407377,0.213923,44.876013,1.101478,0.000000,19.853718,0.487308
test.enc.prompt.txt::01282,test.enc.prompt.txt::01282__row47,"Yep. You know,",0.0,content_diversity,this virus has not followed norms in any way at all,there are just no models to predict how this epidemic will be,the things everyone is doing for this illness are just stranger than strange,I have never seen anything like covid-19,everything that has been happening with the pandemic has us in a new normal society,-0.016,0.969,-0.057,-0.638,-0.355,28.717305,0.604419,0.440133,12.639421,0.266024,86.467031,0.503276,0.000000,38.056956,0.221508
test.enc.prompt.txt::01283,test.enc.prompt.txt::01283,Then just help,1.0,content_diversity,me instead,everyone please,if you can,as best as you can,all of the kids only,-0.016,0.948,-0.136,-0.623,-0.370,1.718527,0.442294,0.389520,0.669401,0.172282,40.541543,1.574895,0.000000,15.791756,0.613454
test.enc.prompt.txt::01284,test.enc.prompt.txt::01284,I thought I,1.0,content_diversity,knew you i guess not,could trust you,called you this morning,told you about it,confirmed everything,-0.031,0.967,-0.068,-0.661,-0.364,8.620615,0.486385,0.428466,3.693644,0.208400,37.185413,1.618023,0.000000,15.932700,0.693269
test.enc.prompt.txt::01285,test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,-0.019,0.960,-0.241,-0.593,-0.194,1.429183,-0.307639,0.452194,0.646269,-0.139113,37.286980,1.996482,0.000000,16.860965,0.902798
test.enc.prompt.txt::01286,test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,0.000,1.000,-0.034,-0.548,-0.180,4.752210,0.226541,0.449313,2.135231,0.101788,33.071870,1.490762,0.000000,14.859631,0.669819
test.enc.prompt.txt::01287,test.enc.prompt.txt::01287__row52,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,-0.042,0.750,-0.272,-0.717,-0.552,13.738916,0.826766,0.485902,6.675767,0.401727,20.901176,0.883875,0.000000,10.155924,0.429477
test.enc.prompt.txt::01287,test.enc.prompt.txt::01287__row53,No. I admire,0.0,content_diversity,the things you do are cool,"everything you do, its unique",how come everything you do is awesome?,very cool things that you do,everything you do seems cool,-0.122,0.865,-0.383,-0.870,-0.705,47.787061,1.494346,0.347576,16.609613,0.519398,39.056866,0.880907,0.000000,13.575211,0.306182
test.enc.prompt.txt::01289,test.enc.prompt.txt::01289__row54,"Adam...dumb question, but",1.0,content_diversity,do you like me as a friend,do you think we could be together,do you believe in ghosts,do you think trump should resign,do you believe in karma,-0.161,0.827,-0.349,-0.699,-0.270,30.913858,1.065267,0.467335,14.447137,0.497837,34.865335,0.920321,0.000000,16.293802,0.430099
test.enc.prompt.txt::01289,test.enc.prompt.txt::01289__row55,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,-0.416,0.579,-0.770,-0.973,-0.816,50.874442,1.369281,0.442888,22.531694,0.606438,13.561066,0.331377,0.000000,6.006037,0.146763
test.enc.prompt.txt::01292,test.enc.prompt.txt::01292__row56,We can make,1.0,content_diversity,the project work.,dinner together.,our kids happy.,everything better.,our love last.,-0.007,0.585,-0.417,-0.676,-0.245,1.324372,0.027089,0.361951,0.479358,0.009805,18.065089,1.147146,0.000000,6.538676,0.415210
test.enc.prompt.txt::01292,test.enc.prompt.txt::01292__row57,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,-0.018,0.760,-0.435,-0.791,-0.507,18.055067,0.943585,0.239000,4.315159,0.225517,11.917506,1.272657,0.000000,2.848283,0.304165
test.enc.prompt.txt::01294,test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,-0.054,0.941,-0.612,-0.821,-0.641,-5.489129,-0.764339,0.363214,-1.993727,-0.277619,27.794083,3.170689,0.000000,10.095195,1.151638
test.enc.prompt.txt::01296,test.enc.prompt.txt::01296,This is great,0.0,content_diversity,"film, so enjoyable","movie, i enjoyed watching it","movie, everyone should give it a try","movie, i really liked it","film, i think it is worth watching",-0.055,0.924,-0.423,-0.958,-0.646,23.632861,0.869302,0.444785,10.511541,0.386652,18.912967,1.105618,0.000000,8.412203,0.491762
test.enc.prompt.txt::01297,test.enc.prompt.txt::01297__row60,You have very,1.0,content_diversity,pretty eyes,longing smile,soft hands,well got to be kidding me,tall friends,0.000,1.000,-0.131,-0.607,-0.295,8.937134,0.790322,0.319786,2.857970,0.252734,60.476678,2.364153,0.000000,19.339593,0.756023
test.enc.prompt.txt::01297,test.enc.prompt.txt::01297__row61,You have very,0.0,content_diversity,your friends are really tall,they are really tall,"everyone you know, are so tall",how come your friends are so tall,they are very tall,-0.150,0.796,-0.505,-0.955,-0.696,66.295019,2.439344,0.254468,16.869959,0.620735,51.308793,1.429897,0.000000,13.056444,0.363863
test.enc.prompt.txt::01298,test.enc.prompt.txt::01298,I've got goose-bumps,1.0,content_diversity,just thinking about it,from this weather,talking about the past,all over me,from drinking cold water,-0.011,0.778,-0.144,-0.623,-0.242,11.573446,0.597679,0.573325,6.635345,0.342664,19.143247,1.147990,0.000000,10.975301,0.658171
test.enc.prompt.txt::01299,test.enc.prompt.txt::01299,"Oh, yes. It",0.0,content_diversity,hard to stay friends with you,is hard to be your friend,is really hard to be a friend of yours,is impossible to be your friend,is kinda hard to be your pal,-0.200,0.775,-0.544,-0.919,-0.796,22.077135,0.660130,0.415704,9.177563,0.274419,40.751305,1.494000,0.000000,16.940499,0.621062
test.enc.prompt.txt::01301,test.enc.prompt.txt::01301,How old are,1.0,content_diversity,these puppies,your parents,these dirty socks,"people in japan, on average",these tomatoes,-0.026,0.971,-0.270,-0.567,-0.087,15.928555,0.890607,0.419517,6.682302,0.373625,50.280913,1.265174,0.000000,21.093704,0.530762
test.enc.prompt.txt::01302,test.enc.prompt.txt::01302,He seems to,1.0,content_diversity,be sicker than we originally thought.,really like his date.,like driving trucks.,want a dog for his next pet.,hate his job.,-0.020,0.974,-0.302,-0.591,-0.079,9.031634,0.289975,0.361768,3.267357,0.104904,47.296567,0.487213,0.000000,17.110389,0.176258
test.enc.prompt.txt::01303,test.enc.prompt.txt::01303__row66,...and his church,1.0,content_diversity,fought the shooter off quickly,defied the orders on social distancing,became a cult group,snubbed a family that wanted to join,isn't really spiritual it's more a social gathering place,-0.016,0.974,-0.095,-0.551,-0.225,-7.729231,0.346803,0.367865,-2.843314,0.127577,52.787585,1.640626,0.000000,19.418709,0.603529
test.enc.prompt.txt::01303,test.enc.prompt.txt::01303__row67,...and his church,0.0,content_diversity,congregation got together regardless of the rules,refused to comply with the governor's orders,had a large meeting in spite of the virus situation,angrily said they will stay open no matter what,infected a large amount of people due to their actions,-0.026,0.957,-0.227,-0.610,-0.194,34.097228,0.727165,0.443511,15.122483,0.322505,40.238939,0.743982,0.000000,17.846397,0.329964
test.enc.prompt.txt::01305,test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",-0.045,0.922,-0.267,-0.657,-0.276,7.681802,0.402697,0.440568,3.384355,0.177416,33.159342,1.350184,0.000000,14.608940,0.594847
test.enc.prompt.txt::01306,test.enc.prompt.txt::01306,"So...you...survived the blast,",1.0,content_diversity,are you ok after that?,that is insane,how does that happen?,wow how did you do that,that is impressive,-0.056,0.930,-0.200,-0.621,-0.385,20.439096,1.102274,0.409871,8.377402,0.451791,33.205247,1.301935,0.000000,13.609883,0.533626
test.enc.prompt.txt::01309,test.enc.prompt.txt::01309__row70,"Hi, honey! Feeling",1.0,content_diversity,frisky?,hungry?,like going out?,happy today?,like doing the taxes today?,-0.011,0.967,-0.391,-0.710,-0.239,-16.306188,-0.840110,0.444166,-7.242651,-0.373148,44.186239,1.990077,0.000000,19.626018,0.883924
test.enc.prompt.txt::01309,test.enc.prompt.txt::01309__row71,"Hi, honey! Feeling",0.0,content_diversity,like going to do something?,like going on a date?,like getting out and having fun?,letting me take you out?,stepping out with me?,-0.024,0.958,-0.262,-0.806,-0.390,8.006701,0.201971,0.403450,3.230306,0.081485,21.344345,0.996829,0.000000,8.611383,0.402171
test.enc.prompt.txt::01310,test.enc.prompt.txt::01310,We have to,1.0,content_diversity,think logically,go soon,believe in each other,be more clear next time,call again,0.000,1.000,-0.137,-0.693,-0.278,8.904682,0.386450,0.351864,3.133237,0.135978,16.805745,2.547812,0.000000,5.913336,0.896483
test.enc.prompt.txt::01311,test.enc.prompt.txt::01311__row73,Get the presents,1.0,content_diversity,for our family,and pack them,"into car, we'll deliver them",for my orphans,and put them on the table,-0.025,0.960,-0.194,-0.680,-0.227,22.277547,1.074351,0.441136,9.827439,0.473936,53.876940,2.443761,0.000000,23.767083,1.078032
test.enc.prompt.txt::01311,test.enc.prompt.txt::01311__row74,Get the presents,0.0,content_diversity,for our relatives,for the kids,for my parents,for my grandparents,our siblings,-0.065,0.506,-0.521,-0.748,-0.426,5.346537,0.165146,0.462240,2.471381,0.076337,30.518839,2.824903,0.000000,14.107014,1.305782
test.enc.prompt.txt::01312,test.enc.prompt.txt::01312,"Yes, yes it",0.0,content_diversity,will be sure to put your mind to the test.,is the determining factor of whether you go to the next grade or not!,is an important achievement to accomplish.,is up to you what you do with the knowledge you have acquired.,but I have faith you will perform wonderfully.,-0.042,0.937,-0.190,-0.760,-0.354,0.575929,-0.057314,0.473879,0.272920,-0.027160,52.727045,1.220262,0.000000,24.986222,0.578256
test.enc.prompt.txt::01313,test.enc.prompt.txt::01313__row76,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",-0.032,0.961,0.002,-0.634,-0.140,14.956584,0.357189,0.434275,6.495276,0.155118,51.431442,0.535986,0.000000,22.335410,0.232765
test.enc.prompt.txt::01313,test.enc.prompt.txt::01313__row77,We stay down,0.0,content_diversity,"south for a while then head north,",south first and the north.,south for a while then go north.,south for 7 days and then north for another 7.,south to begin with then move north.,-0.124,0.819,-0.384,-0.965,-0.730,13.285517,0.431946,0.433702,5.761957,0.187336,44.768815,1.003714,0.000000,19.416332,0.435313
test.enc.prompt.txt::01315,test.enc.prompt.txt::01315,How long will,0.0,content_diversity,spending time at your mothers be,the doctor appointment last,we spend at the funeral home visitation,you stay over at her house,she sit on my couch today,-0.013,0.979,-0.159,-0.657,-0.297,17.864968,0.409032,0.364793,6.517015,0.149212,38.112606,1.369067,0.000000,13.903211,0.499426
