sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v3,metric_icl_E_rate_qwen25_completion_v3,metric_icl_C_qwen25_completion_v3,metric_icl_D_qwen25_completion_v3,metric_icl_D_rate_qwen25_completion_v3,metric_icl_E_qwen25_completion_v3_std,metric_icl_E_rate_qwen25_completion_v3_std,metric_icl_C_qwen25_completion_v3_std,metric_icl_D_qwen25_completion_v3_std,metric_icl_D_rate_qwen25_completion_v3_std
test.sa-sb.sa-b::00869,test.sa-sb.sa-b::00869__row10,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",1.0,content_diversity,it was a pretty girl,it was someone I never met before,we soon became friends,we started to talk,we went outside and get some food,-0.023,0.961,-0.186,-0.651,-0.262,15.072188,0.861472,0.379395,5.718318,0.326838,40.252822,0.733020,0.000000,15.271734,0.278104
test.sa-sb.sa-b::00869,test.sa-sb.sa-b::00869__row11,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",0.0,content_diversity,a girl bought the drink for me,it was a cute girl,the stranger was a beautiful girl,the buyer for the drink was a woman,it was an attractive lady,-0.089,0.879,-0.440,-0.675,-0.474,35.000312,1.230215,0.418205,14.637304,0.514482,32.104368,0.711529,0.000000,13.426205,0.297565
test.sa-sb.sa-b::00798,test.sa-sb.sa-b::00798__row12,Adam was a bad kid. He was always making trouble. One day while riding on the school bus. Adam starts picking on a kid and won't stop bullying him.,1.0,content_diversity,the kid cry,adam was disciplined,someone interfere,he felt bad after,adam was taken into the police custody,-0.019,0.954,-0.228,-0.639,-0.271,16.689375,1.318004,0.292815,4.886893,0.385931,37.066957,1.332035,0.000000,10.853747,0.390039
test.sa-sb.sa-b::00798,test.sa-sb.sa-b::00798__row13,Adam was a bad kid. He was always making trouble. One day while riding on the school bus. Adam starts picking on a kid and won't stop bullying him.,0.0,content_diversity,the kid was crying,the kid was sad,the kid wails,the kid adam bully shed tears,the kid was shedding so much tears from being bullied,-0.187,0.840,-0.504,-0.889,-0.635,20.477070,1.615962,0.305902,6.263984,0.494327,76.797022,2.208357,0.000000,23.492390,0.675542
test.sa-sb.sa-b::00868,test.sa-sb.sa-b::00868__row14,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,1.0,content_diversity,He decided to make his own breakfast at home instead.,He decided to skip breakfast and just wait for lunch.,He decided to call up his girlfriend and have her make breakfast for him.,He visited the nearest restaurant that served breakfast and ordered it.,He grabbed a snack instead.,-0.077,0.900,-0.415,-0.867,-0.432,18.526875,0.047481,0.594015,11.005246,0.028205,40.071541,1.214412,0.000000,23.803106,0.721379
test.sa-sb.sa-b::00868,test.sa-sb.sa-b::00868__row15,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,0.0,content_diversity,He made the decision to cook his own breakfast at home instead.,He cooked his own breakfast at home instead.,He made his own breakfast at home instead.,"Instead of going out for breakfast, he cooked it at home.",He prepared his own breakfast at home instead of going to a restaurant.,-0.346,0.672,-0.679,-0.988,-0.878,15.216406,0.398295,0.606178,9.223844,0.241438,39.754744,0.486110,0.000000,24.098434,0.294669
test.sa-sb.sa-b::00790,test.sa-sb.sa-b::00790__row16,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",1.0,content_diversity,"To my surprise, it was a local celebrity!",It was my high school enemy!,I was grateful for their help.,It was my best friend!,They helped me get on my way again.,-0.056,0.935,-0.314,-0.669,-0.282,-5.838828,0.057048,0.544862,-3.181356,0.031083,49.472987,1.029568,0.000000,26.955957,0.560973
test.sa-sb.sa-b::00790,test.sa-sb.sa-b::00790__row17,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,"Shockingly, it was my town's most popular radio DJ.","Amazingly, an A-list actor from my town had stopped to give aid.",A local musician had stopped to help.,The mayor had stopped.,I was amazed to see our town's quarterback!,-0.047,0.931,-0.291,-0.744,-0.256,23.884063,0.598332,0.399292,9.536717,0.238909,64.470508,0.775267,0.000000,25.742563,0.309558
test.sa-sb.sa-b::00800,test.sa-sb.sa-b::00800__row18,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,1.0,content_diversity,I play with it,I love it,it was so fun to play with,the owner was friendly,the dog had amazing agility,-0.040,0.928,-0.310,-0.643,-0.434,6.724453,0.517443,0.425591,2.861868,0.220219,42.550130,1.215155,0.000000,18.108963,0.517159
test.sa-sb.sa-b::00800,test.sa-sb.sa-b::00800__row19,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,0.0,content_diversity,I like it,I really like it,I have a warm feeling toward it,I really enjoy this dog,I have a loving feeling for this dog,-0.106,0.846,-0.516,-0.755,-0.658,28.249453,1.315196,0.411825,11.633829,0.541630,36.298817,0.620914,0.000000,14.948758,0.255708
test.sa-sb.sa-b::00822,test.sa-sb.sa-b::00822__row20,Joy had always wanted to see the Grand Canyon. Her daughter recently moved to Phoenix and volunteered to drive. Joy flew to Phoenix. The two drove up to the Grand Canyon and saw it's majesty.,1.0,content_diversity,They were very happy and fulfilled,Joy had slipped and fell into the canyon,"Soon after, their friends joined them","In the canyon, an eagle tried to steal his hat",Clouds were low that day so they couldn't completely enjoy,-0.008,0.985,-0.127,-0.677,-0.126,-0.343438,0.206634,0.472449,-0.162257,0.097624,76.187439,0.761821,0.000000,35.994694,0.359921
test.sa-sb.sa-b::00822,test.sa-sb.sa-b::00822__row21,Joy had always wanted to see the Grand Canyon. Her daughter recently moved to Phoenix and volunteered to drive. Joy flew to Phoenix. The two drove up to the Grand Canyon and saw it's majesty.,0.0,content_diversity,Joy had fell inside of the canyon,Joy had lost control and fell,Joy had lost the balance and slipped in the canyon,Joy hadn't been cautious so she fell in the canyon,Joy had fell down the canyon,-0.158,0.824,-0.519,-0.974,-0.709,51.467187,1.246877,0.363513,18.709016,0.453257,50.629290,0.653637,0.000000,18.404429,0.237606
test.sa-sb.sa-b::00803,test.sa-sb.sa-b::00803__row22,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,1.0,content_diversity,she was glad to save some money,she went to the pool that evening,she went swimming soon after,she went to the beach,she likes how her body look in the new bikini,-0.099,0.886,-0.351,-0.775,-0.390,13.038828,0.793295,0.391375,5.103069,0.310476,72.792703,1.186777,0.000000,28.489231,0.464475
test.sa-sb.sa-b::00803,test.sa-sb.sa-b::00803__row23,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,-0.057,0.904,-0.375,-0.845,-0.777,33.934219,1.211480,0.333834,11.328400,0.404433,43.808183,1.214609,0.000000,14.624666,0.405478
test.sa-sb.sa-b::00853,test.sa-sb.sa-b::00853__row24,"Angelina has a medical condition. The Doctor prescribed her some daily medications. She has been taking them but has had some side effects. Some of them she can tolerate, and others are becoming intolerable.",1.0,content_diversity,She ultimately opted to stop taking the medication because they interfered too much in her life.,She spoke to her doctor about the issues she was having and he switched her medication.,"She wanted to try a different medication, but her doctor said no , so she switched doctors.","There was nothing that could be done about this, so she fell into a deep depression.",She tirelessly researched online alternatives to taking the medication and ended up switching to an herbal remedy that helped immensely.,-0.049,0.929,-0.358,-0.847,-0.432,3.139375,0.183808,0.618094,1.940428,0.113610,89.612122,0.383706,0.000000,55.388678,0.237166
test.sa-sb.sa-b::00853,test.sa-sb.sa-b::00853__row25,"Angelina has a medical condition. The Doctor prescribed her some daily medications. She has been taking them but has had some side effects. Some of them she can tolerate, and others are becoming intolerable.",0.0,content_diversity,She was desperate and asked her doctor for a different medication but he refused.,"Her doctor was terrible, and had no sympathy when she asked for possible alternatives.",She had to switch doctors because her doctor would not help her find a different medication with less side effects.,She took matters into her own hands and got a new doctor when her doctor would not help her find a different medication.,"Her doctor tried to convince her that there were no other medications that treated her condition, but she knew better, and found a different doctor.",-0.119,0.828,-0.456,-0.923,-0.681,37.656562,0.403574,0.615908,23.192968,0.248564,68.740981,0.649989,0.000000,42.338102,0.400333
test.sa-sb.sa-b::00806,test.sa-sb.sa-b::00806__row26,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,1.0,content_diversity,He choked.,Tim cracked under the pressure.,"Tim found strength in the crowd's support, he finished with a perfect score.",The crowd cheered as Tim scored a perfect game.,The crowed moaned as Tim lost it all.,-0.030,0.944,-0.337,-0.773,-0.385,18.935000,0.078928,0.422898,8.007567,0.033379,84.015383,3.180026,0.000000,35.529910,1.344825
test.sa-sb.sa-b::00806,test.sa-sb.sa-b::00806__row27,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,0.0,content_diversity,"Tim became so anxious with the crowd watching him, he failed to get a perfect score.",Tim did not manage to get a perfect score.,Tim lost the game due to the pressure of having an audience.,Tim choked and lost.,Tim cracked under pressure.,-0.067,0.879,-0.408,-0.894,-0.603,25.512188,0.481642,0.478487,12.207258,0.230459,61.672634,1.424324,0.000000,29.509573,0.681521
test.sa-sb.sa-b::00860,test.sa-sb.sa-b::00860__row28,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",1.0,content_diversity,they had a good time together,it was fun,the place was clean after,the living room was tidy again,it was a day of cleaning,-0.043,0.944,-0.320,-0.687,-0.451,22.836953,1.168196,0.363113,8.292393,0.424187,24.567852,0.933260,0.000000,8.920905,0.338879
test.sa-sb.sa-b::00860,test.sa-sb.sa-b::00860__row29,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",0.0,content_diversity,it was fun for them,they enjoy the day,they like the cleaning up,they thought it was great,they have a bonding experience,-0.043,0.939,-0.276,-0.699,-0.544,22.206250,1.069743,0.332067,7.373969,0.355227,19.239687,0.601717,0.000000,6.388871,0.199810
test.sa-sb.sa-b::00829,test.sa-sb.sa-b::00829__row30,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,1.0,content_diversity,he quits smoking,he then ask her out,he was still rejected,the girl was long gone,he still could not quit,-0.038,0.955,-0.194,-0.594,-0.220,23.136250,1.169523,0.293731,6.795832,0.343525,32.089207,1.435840,0.000000,9.425592,0.421750
test.sa-sb.sa-b::00829,test.sa-sb.sa-b::00829__row31,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,0.0,content_diversity,he no longer smokes,smoking is not with him anymore,he never touch cigarette again,he is not smoking anymore,smoking and him are two separate things now,-0.041,0.934,-0.337,-0.929,-0.686,28.986875,1.156138,0.380874,11.040350,0.440343,59.847054,1.098308,0.000000,22.794192,0.418317
test.sa-sb.sa-b::00821,test.sa-sb.sa-b::00821__row32,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",1.0,content_diversity,Those were sleepless nights,I want to play with them,I want them to talk to me,I thought they were my protectors,then one night they fell off the shelves,-0.030,0.941,-0.225,-0.646,-0.154,-9.151875,-0.040341,0.568165,-5.199775,-0.022921,58.554776,1.327323,0.000000,33.268772,0.754139
test.sa-sb.sa-b::00821,test.sa-sb.sa-b::00821__row33,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",0.0,content_diversity,I had some sleepless night,there are nights I could not sleep,some nights I was awake,I miss sleeps sometimes,there are night I stay wide awake,-0.064,0.911,-0.291,-0.906,-0.605,35.585625,1.370824,0.346262,12.321949,0.474664,22.765635,1.160866,0.000000,7.882874,0.401964
test.sa-sb.sa-b::00865,test.sa-sb.sa-b::00865__row34,Kate and her friends were visiting Las Vegas. They decided to go to a casino. Kate played various games for two hours. And she was down $100.,1.0,content_diversity,she was sad,that was little to lose in a place like vegas,her friends lost thousands,she decides she can win it back,she stop playing,-0.026,0.970,-0.124,-0.635,-0.242,27.595469,0.863822,0.328944,9.077359,0.284149,79.327792,0.537988,0.000000,26.094387,0.176968
test.sa-sb.sa-b::00865,test.sa-sb.sa-b::00865__row35,Kate and her friends were visiting Las Vegas. They decided to go to a casino. Kate played various games for two hours. And she was down $100.,0.0,content_diversity,she stops,she decides that was enough,that is more than enough gambling for her,she decides it was time to stop,she decides no more gambling,-0.069,0.908,-0.216,-0.782,-0.373,42.541719,1.524002,0.325066,13.828858,0.495401,37.023989,1.233773,0.000000,12.035233,0.401058
test.sa-sb.sa-b::00872,test.sa-sb.sa-b::00872__row36,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,1.0,content_diversity,She had a whole new set of clothes,Her friends were mocking her,She had help from her grandma,She really enjoyed doing it,She saved a lot of money,-0.035,0.945,-0.288,-0.681,-0.320,8.904531,0.285191,0.572232,5.095457,0.163196,26.180152,0.743778,0.000000,14.981119,0.425614
test.sa-sb.sa-b::00872,test.sa-sb.sa-b::00872__row37,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,0.0,content_diversity,She saved quite a lot,She saved money,She managed to save a large amount of money,She saved large sum of money,She managed to put money in savings,-0.115,0.857,-0.586,-0.975,-0.823,19.986797,0.699426,0.489537,9.784270,0.342395,27.890965,0.679746,0.000000,13.653650,0.332761
test.sa-sb.sa-b::00856,test.sa-sb.sa-b::00856__row38,Ashley was driving with her brother. They decided to take back roads instead of the highway. They soon were lost and had no idea where they were. They spent hours driving around trying to find the right way.,1.0,content_diversity,She eventually remembered the right way.,They pulled over and tried to use their cell phones gps.,They eventually found their way by back tracking.,Ashley decided to switch with her brother.,Her brother took over driving and found the correct way.,-0.028,0.948,-0.328,-0.703,-0.273,13.842500,0.307471,0.570494,7.897070,0.175410,39.095491,0.692670,0.000000,22.303762,0.395165
test.sa-sb.sa-b::00856,test.sa-sb.sa-b::00856__row39,Ashley was driving with her brother. They decided to take back roads instead of the highway. They soon were lost and had no idea where they were. They spent hours driving around trying to find the right way.,0.0,content_diversity,Ashley and her brother use their cell phones gps settings.,They decided to pull up a map on their cell phones.,Their cell phones had gps to help them.,Ashely and her brother used their phones to find their way.,The gps on their phones came in handy.,-0.087,0.882,-0.384,-0.932,-0.545,34.536875,0.719850,0.486472,16.801219,0.350187,32.376018,0.571901,0.000000,15.750023,0.278214
test.sa-sb.sa-b::00809,test.sa-sb.sa-b::00809__row40,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,1.0,content_diversity,They didn't invite him back.,Now they won't return his texts.,Andy apologized and they made up.,Andy decided not to cheat in the future.,Andy watched YouTube videos and got better so he didn't have to cheat.,-0.021,0.957,-0.342,-0.703,-0.214,-11.684687,0.029562,0.565271,-6.605019,0.016711,75.263357,1.572395,0.000000,42.544221,0.888830
test.sa-sb.sa-b::00809,test.sa-sb.sa-b::00809__row41,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,0.0,content_diversity,Andy felt bad afterward and swore he'd never cheat again.,Winning by cheating didn't feel very good so he didn't do it again.,"Andy didn't like feeling like a cheat, so he was honest the next time.",Knowing he cheated was embarrassing so he won't cheat when they play in the future.,Andy pledged not to cheat the next poker night.,-0.039,0.934,-0.399,-0.927,-0.557,20.526875,0.130524,0.575569,11.814630,0.075126,59.515308,0.481745,0.000000,34.255157,0.277278
test.sa-sb.sa-b::00820,test.sa-sb.sa-b::00820__row42,The man turned it on. It did not respond. The man unplugged it. He took it apart.,1.0,content_diversity,he threw it away,it was broken,he fix it,he realize what part he needed,he put it back together,-0.070,0.933,-0.362,-0.701,-0.303,18.255703,1.345569,0.372416,6.798720,0.501112,54.043585,1.752506,0.000000,20.126709,0.652662
test.sa-sb.sa-b::00820,test.sa-sb.sa-b::00820__row43,The man turned it on. It did not respond. The man unplugged it. He took it apart.,0.0,content_diversity,it broke,it no longer function,it was no longer working,it fail,it is now useless,-0.080,0.913,-0.326,-0.716,-0.769,22.044609,1.832491,0.207570,4.575808,0.380371,18.038026,3.275975,0.000000,3.744159,0.679995
test.sa-sb.sa-b::00839,test.sa-sb.sa-b::00839__row44,"Nick and Jennifer met at a golf course. They decided to have their first date at a local restaurant. Jennifer was late because she couldn't decide which dress to wear. When she arrived, Nick told her she looked beautiful.",1.0,content_diversity,She was the most beautiful lady there,She thanked him for kind words,There was Jen's ex boyfriend there,She also got compliments by the staff,She fell on her dress and tore her up,-0.025,0.960,-0.173,-0.605,-0.207,3.171250,0.153667,0.423634,1.343450,0.065099,53.910300,1.371363,0.000000,22.838250,0.580956
test.sa-sb.sa-b::00839,test.sa-sb.sa-b::00839__row45,"Nick and Jennifer met at a golf course. They decided to have their first date at a local restaurant. Jennifer was late because she couldn't decide which dress to wear. When she arrived, Nick told her she looked beautiful.",0.0,content_diversity,She was the prettiest there,Most beautiful person in the room was her,She was by far the best looking lady,She was the prettiest lady in the toom,The best looking person was her,-0.122,0.830,-0.322,-0.803,-0.878,49.303437,1.344126,0.391644,19.309419,0.526420,41.991566,0.937139,0.000000,16.445765,0.367025
test.sa-sb.sa-b::00873,test.sa-sb.sa-b::00873__row46,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,1.0,content_diversity,it was so healthy,he was still hungy,he decide to eat some burger,he went to exercise,he is in top shape,-0.035,0.957,-0.233,-0.609,-0.167,21.606250,0.883994,0.262957,5.681512,0.232452,16.866431,0.896752,0.000000,4.435144,0.235807
test.sa-sb.sa-b::00873,test.sa-sb.sa-b::00873__row47,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,0.0,content_diversity,it was healthy,the carrot is healthy,the carrot is good for his health,it was a healthy meal,eating carrot is good for you,-0.111,0.792,-0.472,-0.835,-0.580,31.139141,1.415877,0.347769,10.829224,0.492398,22.229270,0.636204,0.000000,7.730648,0.221252
test.sa-sb.sa-b::00837,test.sa-sb.sa-b::00837__row48,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",1.0,content_diversity,she makes it anyway,the muffin was still delicious,it was not her best moment,she asked me to make it for her,she decides it was time to deal with the yellow batter,-0.046,0.934,-0.128,-0.633,-0.179,10.172500,0.810728,0.397229,4.040808,0.322044,76.602387,0.908584,0.000000,30.428661,0.360916
test.sa-sb.sa-b::00837,test.sa-sb.sa-b::00837__row49,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",0.0,content_diversity,the muffin is still good,they still taste yummy,"no matter the color, muffin taste very nice",the muffin satisfy my sweet tooth,it was very good muffin,-0.050,0.927,-0.326,-0.872,-0.670,39.218906,1.082468,0.350837,13.759445,0.379770,37.554970,0.604942,0.000000,13.175674,0.212236
test.sa-sb.sa-b::00857,test.sa-sb.sa-b::00857__row50,The tree lost it's leaves. That winter it became very cold. The branches froze. The tree lost it's branches.,1.0,content_diversity,They had to saw the tree,Tree fell down on earth,One of the branches fell off and hit a young boy,"In the spring, the tree started growing again",It was a shame because tree was really old,-0.026,0.953,-0.159,-0.909,-0.357,2.874687,0.095665,0.500459,1.438664,0.047877,40.658776,1.643933,0.000000,20.348060,0.822721
test.sa-sb.sa-b::00857,test.sa-sb.sa-b::00857__row51,The tree lost it's leaves. That winter it became very cold. The branches froze. The tree lost it's branches.,0.0,content_diversity,They had to cut the tree down,They had to cut tree down,Tree had to be sawed,The had to bring down the tree,Tree had to be brought down,-0.206,0.744,-0.522,-0.980,-0.796,31.834062,1.304783,0.469357,14.941525,0.612408,23.574020,1.073511,0.000000,11.064620,0.503860
test.sa-sb.sa-b::00814,test.sa-sb.sa-b::00814__row52,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,1.0,content_diversity,He had to go test himself,The dog unfortunately died,They took him to the vet,Mike felt really sad and depressed,"It was like dog hadn't even noticed, his behaviour was normal",-0.006,0.982,-0.152,-0.663,-0.161,-20.422656,0.025607,0.446893,-9.126751,0.011444,125.516438,1.338848,0.000000,56.092473,0.598323
test.sa-sb.sa-b::00814,test.sa-sb.sa-b::00814__row53,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,0.0,content_diversity,Mike was sad,Mike felt sadness,Mike was really depressed,Mike didn't feel well,Mike had a sad feelings,-0.073,0.923,-0.504,-0.930,-0.832,18.621484,0.999437,0.390044,7.263195,0.389824,31.841741,0.998093,0.000000,12.419674,0.389300
test.sa-sb.sa-b::00826,test.sa-sb.sa-b::00826__row54,Jane had a window frame that was not fully attached to the house. To fix it required climbing on the roof. Jane was too afraid to do this herself. Her grown son did it instead.,1.0,content_diversity,she was thankful,it was a job well done,they had dinner after,he was cautious when doing so,the window was fixed,-0.027,0.974,-0.153,-0.631,-0.238,23.322031,1.029424,0.391302,9.125961,0.402816,32.700396,0.713742,0.000000,12.795735,0.279289
test.sa-sb.sa-b::00826,test.sa-sb.sa-b::00826__row55,Jane had a window frame that was not fully attached to the house. To fix it required climbing on the roof. Jane was too afraid to do this herself. Her grown son did it instead.,0.0,content_diversity,she was glad to have him there,she was appreciative,she thank him for his help,she express her grattitude,she was happy to have his help,-0.088,0.882,-0.334,-0.745,-0.565,32.674531,1.298333,0.391065,12.777869,0.507733,29.450498,1.101641,0.000000,11.517062,0.430813
